τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,,
0.005,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.918918918918919,0.9459459459459459,0.8378378378378378,0.918918918918919,0.918918918918919,0.8918918918918919,0.8918918918918919,0.8108108108108109,0.8918918918918919,0.8918918918918919,0.918918918918919,0.8918918918918919,0.9459459459459459,0.8918918918918919,0.7567567567567568
0.01,0.9688473520249221,0.9657320872274143,0.9688473520249221,0.9813084112149533,0.9813084112149533,0.9470404984423676,0.9688473520249221,0.9750778816199377,0.9719626168224299,0.9813084112149533,0.8535825545171339,0.9688473520249221,0.9781931464174455,0.9844236760124611,0.9750778816199377,0.9813084112149533,0.9719626168224299,0.9345794392523364
0.015,0.9713656387665198,0.9647577092511013,0.9669603524229075,0.9801762114537445,0.9779735682819384,0.9405286343612335,0.9691629955947136,0.9757709251101322,0.9647577092511013,0.9779735682819384,0.8480176211453745,0.9691629955947136,0.9779735682819384,0.9823788546255506,0.9779735682819384,0.9823788546255506,0.9647577092511013,0.9405286343612335
0.02,0.9769503546099291,0.9698581560283688,0.9716312056737588,0.9822695035460993,0.973404255319149,0.9397163120567376,0.973404255319149,0.9716312056737588,0.9592198581560284,0.9769503546099291,0.8421985815602837,0.9698581560283688,0.9787234042553191,0.9840425531914894,0.9804964539007093,0.9804964539007093,0.9680851063829787,0.9432624113475178
0.025,0.9766718506998445,0.968895800933126,0.9704510108864697,0.9813374805598756,0.9673405909797823,0.9331259720062208,0.968895800933126,0.9657853810264385,0.9471228615863142,0.9766718506998445,0.833592534992224,0.9657853810264385,0.973561430793157,0.9828926905132193,0.9782270606531882,0.9797822706065319,0.9626749611197511,0.9346811819595645
0.03,0.9771754636233951,0.9671897289586305,0.9686162624821684,0.9814550641940085,0.9629101283880172,0.9258202567760342,0.9671897289586305,0.9629101283880172,0.9386590584878745,0.9743223965763196,0.8302425106990015,0.9657631954350927,0.9728958630527818,0.9828815977175464,0.9771754636233951,0.9800285306704708,0.9657631954350927,0.9372325249643366
0.035,0.9747675962815405,0.9667994687915007,0.9681274900398407,0.9800796812749004,0.9575033200531209,0.9176626826029216,0.9614873837981408,0.9614873837981408,0.9229747675962815,0.9707835325365206,0.8193891102257637,0.9628154050464808,0.9707835325365206,0.9814077025232404,0.9760956175298805,0.9787516600265604,0.9654714475431607,0.9349269588313412
0.04,0.9750623441396509,0.9675810473815462,0.9688279301745636,0.9800498753117207,0.9513715710723192,0.9139650872817955,0.9600997506234414,0.9588528678304239,0.9201995012468828,0.9713216957605985,0.814214463840399,0.9650872817955112,0.972568578553616,0.9825436408977556,0.9763092269326683,0.9775561097256857,0.9638403990024937,0.9351620947630923
0.045,0.9738406658739596,0.9667063020214031,0.9678953626634959,0.9785969084423306,0.9476813317479191,0.9072532699167658,0.9571938168846611,0.9583828775267539,0.9143876337693222,0.9702734839476813,0.8002378121284186,0.9631391200951248,0.9690844233055886,0.9785969084423306,0.976218787158145,0.9774078478002378,0.9643281807372176,0.9286563614744352
0.05,0.9745664739884393,0.9676300578034682,0.96878612716763,0.9791907514450867,0.9468208092485549,0.9075144508670521,0.9583815028901734,0.9583815028901734,0.9121387283236995,0.9710982658959537,0.7965317919075144,0.9641618497109826,0.96878612716763,0.9780346820809248,0.976878612716763,0.9780346820809248,0.9641618497109826,0.930635838150289
0.055,0.9751693002257337,0.9672686230248307,0.9683972911963883,0.9785553047404063,0.945823927765237,0.9040632054176072,0.9582392776523702,0.9559819413092551,0.9051918735891648,0.9706546275395034,0.7979683972911964,0.963882618510158,0.9661399548532731,0.9762979683972912,0.9740406320541761,0.9762979683972912,0.9616252821670429,0.9243792325056434
0.06,0.9689578713968958,0.9623059866962306,0.9634146341463414,0.9722838137472284,0.9412416851441242,0.8957871396895787,0.9512195121951219,0.9478935698447893,0.9002217294900222,0.9623059866962306,0.7904656319290465,0.9567627494456763,0.9600886917960089,0.9722838137472284,0.9667405764966741,0.9700665188470067,0.9556541019955654,0.9168514412416852
0.065,0.9683060109289617,0.9617486338797814,0.9617486338797814,0.9715846994535519,0.9366120218579235,0.8907103825136612,0.9508196721311475,0.9442622950819672,0.8961748633879781,0.9617486338797814,0.7890710382513662,0.9562841530054644,0.9573770491803278,0.9704918032786886,0.966120218579235,0.9683060109289617,0.9530054644808743,0.9136612021857924
0.07,0.9674972914409534,0.9609967497291441,0.9609967497291441,0.9707475622968581,0.9360780065005417,0.8884073672806068,0.9490790899241603,0.942578548212351,0.894907908992416,0.9599133261105092,0.7865655471289275,0.9534127843986999,0.9544962080173348,0.9685807150595883,0.9653304442036836,0.9664138678223185,0.952329360780065,0.9100758396533044
0.075,0.9676375404530745,0.9611650485436893,0.9611650485436893,0.970873786407767,0.9363538295577131,0.8878101402373247,0.9492988133764833,0.9428263214670982,0.8942826321467098,0.9600862998921251,0.7864077669902912,0.95361380798274,0.9546925566343042,0.9687162891046386,0.9654800431499461,0.9665587918015103,0.9514563106796117,0.9093851132686084
0.08,0.9678456591639871,0.9614147909967846,0.9614147909967846,0.9710610932475884,0.9367631296891747,0.887459807073955,0.947481243301179,0.9431939978563773,0.8938906752411575,0.9592711682743837,0.7867095391211146,0.9517684887459807,0.9528403001071811,0.9689174705251876,0.9657020364415863,0.9667738478027867,0.9506966773847803,0.9088960342979635
0.085,0.9659211927582535,0.9605963791267306,0.9605963791267306,0.9701810436634718,0.9361022364217252,0.88604898828541,0.9456869009584664,0.9435569755058573,0.8924387646432375,0.9595314164004259,0.7838125665601704,0.9499467518636848,0.9510117145899893,0.966986155484558,0.9637912673056444,0.9648562300319489,0.9488817891373802,0.9084132055378061
0.09,0.9660297239915074,0.9607218683651805,0.9607218683651805,0.970276008492569,0.9363057324840764,0.886411889596603,0.945859872611465,0.9437367303609342,0.8927813163481954,0.9585987261146497,0.7834394904458599,0.9501061571125266,0.9511677282377919,0.9670912951167728,0.9639065817409767,0.964968152866242,0.9490445859872612,0.9076433121019108
0.095,0.9661733615221987,0.9608879492600423,0.9608879492600423,0.9704016913319239,0.9355179704016914,0.8868921775898521,0.9460887949260042,0.9429175475687104,0.8911205073995772,0.9577167019027484,0.7832980972515856,0.9503171247357294,0.9503171247357294,0.9661733615221987,0.9630021141649049,0.9651162790697675,0.9482029598308668,0.9069767441860465
0.1,0.9663865546218487,0.9611344537815126,0.9611344537815126,0.9705882352941176,0.9338235294117647,0.8865546218487395,0.9453781512605042,0.9422268907563025,0.8886554621848739,0.9569327731092437,0.7815126050420168,0.9506302521008403,0.9495798319327731,0.9653361344537815,0.9621848739495799,0.9642857142857143,0.9464285714285714,0.9065126050420168
