τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,,,,,,
0.005,,,,,,
0.01,,,,,,
0.015,,,,,,
0.02,,,,,,
0.025,,,,,,
0.03,,,,,,
0.035,0.0,1.0,0.0,0.0,0.0,0.0
0.04,0.8,1.0,0.8,0.6,0.8,0.8
0.045,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
0.05,0.875,1.0,0.875,0.75,0.875,0.875
0.055,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888
0.06,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.8571428571428571,0.8571428571428571
0.065,0.9375,0.9375,0.9375,0.75,0.875,0.875
0.07,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.6666666666666666,0.8888888888888888,0.8888888888888888
0.075,0.9473684210526315,0.8947368421052632,0.9473684210526315,0.6842105263157895,0.8421052631578947,0.8421052631578947
0.08,0.9473684210526315,0.8947368421052632,0.9473684210526315,0.6842105263157895,0.8421052631578947,0.8421052631578947
0.085,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.7272727272727273,0.8181818181818182,0.8181818181818182
0.09,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.7272727272727273,0.8181818181818182,0.8181818181818182
0.095,0.96,0.88,0.96,0.72,0.84,0.84
0.1,0.9259259259259259,0.8888888888888888,0.9259259259259259,0.7037037037037037,0.8148148148148148,0.8148148148148148
0.105,0.8620689655172413,0.8275862068965517,0.896551724137931,0.6551724137931034,0.7931034482758621,0.7931034482758621
0.11,0.8620689655172413,0.8275862068965517,0.896551724137931,0.6551724137931034,0.7931034482758621,0.7931034482758621
0.115,0.8620689655172413,0.8275862068965517,0.896551724137931,0.6551724137931034,0.7931034482758621,0.7931034482758621
0.12,0.8666666666666667,0.8,0.9,0.6333333333333333,0.7666666666666667,0.7666666666666667
0.125,0.8709677419354839,0.7741935483870968,0.9032258064516129,0.6451612903225806,0.7419354838709677,0.7419354838709677
0.13,0.875,0.75,0.90625,0.625,0.71875,0.71875
0.135,0.8787878787878788,0.7575757575757576,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.7272727272727273
0.14,0.8787878787878788,0.7575757575757576,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.7272727272727273
0.145,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.6,0.6857142857142857,0.6857142857142857
0.15,0.825,0.7,0.825,0.575,0.65,0.65
0.155,0.8048780487804879,0.6829268292682927,0.8048780487804879,0.5609756097560976,0.6341463414634146,0.6341463414634146
0.16,0.813953488372093,0.6744186046511628,0.7906976744186046,0.5348837209302325,0.627906976744186,0.627906976744186
0.165,0.8222222222222222,0.6888888888888889,0.7777777777777778,0.5333333333333333,0.6222222222222222,0.6222222222222222
0.17,0.8222222222222222,0.6888888888888889,0.7777777777777778,0.5333333333333333,0.6222222222222222,0.6222222222222222
0.175,0.8222222222222222,0.6888888888888889,0.7777777777777778,0.5333333333333333,0.6222222222222222,0.6222222222222222
0.18,0.8260869565217391,0.6956521739130435,0.782608695652174,0.5217391304347826,0.6304347826086957,0.6304347826086957
0.185,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.5208333333333334,0.6458333333333334,0.6458333333333334
0.19,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.5208333333333334,0.6458333333333334,0.6458333333333334
0.195,0.8367346938775511,0.6938775510204082,0.7755102040816326,0.5306122448979592,0.6326530612244898,0.6326530612244898
0.2,0.8235294117647058,0.6666666666666666,0.7450980392156863,0.5294117647058824,0.6078431372549019,0.6078431372549019
0.205,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.21,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.215,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.22,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.225,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.23,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.5192307692307693,0.5961538461538461,0.5961538461538461
0.235,0.8113207547169812,0.6415094339622641,0.7169811320754716,0.5094339622641509,0.6037735849056604,0.6037735849056604
0.24,0.7962962962962963,0.6296296296296297,0.7037037037037037,0.5,0.5925925925925926,0.5925925925925926
0.245,0.7962962962962963,0.6296296296296297,0.7037037037037037,0.5,0.5925925925925926,0.5925925925925926
0.25,0.7962962962962963,0.6296296296296297,0.7037037037037037,0.5,0.5925925925925926,0.5925925925925926
0.255,0.7962962962962963,0.6296296296296297,0.7037037037037037,0.5,0.5925925925925926,0.5925925925925926
0.26,0.7818181818181819,0.6181818181818182,0.6909090909090909,0.4909090909090909,0.6,0.6
0.265,0.7818181818181819,0.6181818181818182,0.6909090909090909,0.4909090909090909,0.6,0.6
0.27,0.7857142857142857,0.625,0.6964285714285714,0.5,0.6071428571428571,0.6071428571428571
0.275,0.7857142857142857,0.625,0.6964285714285714,0.5,0.6071428571428571,0.6071428571428571
0.28,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.285,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.29,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.295,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.3,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.305,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.31,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.315,0.7758620689655172,0.6206896551724138,0.6896551724137931,0.4827586206896552,0.603448275862069,0.603448275862069
0.32,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.325,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.33,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.335,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.34,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.345,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.35,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.355,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.36,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.365,0.7627118644067796,0.6101694915254238,0.6779661016949152,0.4745762711864407,0.5932203389830508,0.5932203389830508
0.37,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.375,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.38,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.385,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.39,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.395,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.4,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.405,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.41,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
0.415,0.75,0.6166666666666667,0.6666666666666666,0.4666666666666667,0.5833333333333334,0.5833333333333334
