Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.04066265060240964,0.0,0.0,0.0,0.0,0.0,0.6009036144578314,0.572289156626506,0.5828313253012049
0.0005,0.05572289156626506,0.007530120481927711,0.11295180722891567,0.4322289156626506,0.5210843373493976,0.5210843373493976,0.6009036144578314,0.572289156626506,0.5828313253012049
0.001,0.06475903614457831,0.007530120481927711,0.14909638554216867,0.45481927710843373,0.5210843373493976,0.5210843373493976,0.6009036144578314,0.572289156626506,0.5828313253012049
0.0015,0.0677710843373494,0.009036144578313253,0.35240963855421686,0.4578313253012048,0.5240963855421686,0.5240963855421686,0.6024096385542169,0.5753012048192772,0.5858433734939759
0.002,0.07078313253012049,0.01355421686746988,0.3990963855421687,0.45933734939759036,0.5286144578313253,0.5286144578313253,0.6054216867469879,0.5768072289156626,0.5873493975903614
0.0025,0.08433734939759036,0.018072289156626505,0.4066265060240964,0.4608433734939759,0.5286144578313253,0.5286144578313253,0.6069277108433735,0.5768072289156626,0.5873493975903614
0.003,0.12650602409638553,0.018072289156626505,0.40963855421686746,0.4608433734939759,0.5316265060240963,0.5316265060240963,0.6114457831325302,0.5798192771084337,0.5918674698795181
0.0035,0.34789156626506024,0.02108433734939759,0.4171686746987952,0.46686746987951805,0.5331325301204819,0.5331325301204819,0.6129518072289156,0.5828313253012049,0.5948795180722891
0.004,0.35993975903614456,0.02710843373493976,0.42018072289156627,0.46987951807228917,0.5391566265060241,0.5391566265060241,0.6204819277108434,0.5903614457831325,0.6039156626506024
0.0045,0.3810240963855422,0.030120481927710843,0.42319277108433734,0.46987951807228917,0.5406626506024096,0.5406626506024096,0.6204819277108434,0.5918674698795181,0.6039156626506024
0.005,0.3855421686746988,0.030120481927710843,0.42620481927710846,0.47289156626506024,0.5421686746987951,0.5421686746987951,0.6204819277108434,0.5918674698795181,0.6039156626506024
0.0055,0.3960843373493976,0.030120481927710843,0.42620481927710846,0.47289156626506024,0.5421686746987951,0.5421686746987951,0.6219879518072289,0.5978915662650602,0.6054216867469879
