Estimator,Waltz,VienneseWaltz,Tango,Samba,Rumba-Misc,Rumba-International,Rumba-American,Quickstep,Jive,ChaChaCha
boeck2015/tempodetector2016_default,0.9363636363636364,0.7846153846153846,0.9418604651162791,0.9302325581395349,0.9,1.0,1.0,0.1951219512195122,0.7666666666666667,0.990990990990991
davies2009/mirex_qm_tempotracker,0.4090909090909091,0.6615384615384615,0.9767441860465116,0.9418604651162791,0.725,0.9803921568627451,0.8571428571428571,0.06097560975609756,0.3333333333333333,0.9819819819819819
echonest/version_3_2_1,0.3181818181818182,0.15384615384615385,0.7558139534883721,0.8255813953488372,0.875,0.8627450980392157,1.0,0.07317073170731707,0.5166666666666667,0.8468468468468469
gkiokas2012/default,0.8545454545454545,0.015384615384615385,0.6744186046511628,0.9069767441860465,0.95,1.0,1.0,0.04878048780487805,0.0,0.990990990990991
klapuri2006/percival2014,0.6272727272727273,0.015384615384615385,1.0,0.9534883720930233,0.85,1.0,1.0,0.04878048780487805,0.13333333333333333,1.0
oliveira2010/ibt,0.6090909090909091,0.0,0.9767441860465116,0.9418604651162791,0.825,0.9803921568627451,0.8571428571428571,0.04878048780487805,0.23333333333333334,0.990990990990991
percival2014/stem,0.7545454545454545,0.0,0.9186046511627907,0.9534883720930233,0.975,0.9803921568627451,0.8571428571428571,0.04878048780487805,0.06666666666666667,1.0
scheirer1998/percival2014,0.39090909090909093,0.5384615384615384,0.7558139534883721,0.5697674418604651,0.725,0.5294117647058824,1.0,0.04878048780487805,0.4666666666666667,0.7927927927927928
schreiber2014/default,0.8545454545454545,0.0,0.8604651162790697,0.9651162790697675,1.0,1.0,0.5714285714285714,0.04878048780487805,0.11666666666666667,0.9819819819819819
schreiber2017/ismir2017,0.7181818181818181,0.015384615384615385,0.813953488372093,0.9534883720930233,0.875,1.0,1.0,0.04878048780487805,0.18333333333333332,1.0
schreiber2017/mirex2017,0.7545454545454545,0.0,0.813953488372093,0.9534883720930233,0.9,1.0,1.0,0.04878048780487805,0.18333333333333332,1.0
schreiber2018/cnn,0.9363636363636364,0.9076923076923077,1.0,0.9302325581395349,0.95,1.0,1.0,0.926829268292683,0.95,1.0
schreiber2018/fcn,0.9181818181818182,0.9384615384615385,0.9883720930232558,0.8837209302325582,0.975,1.0,1.0,0.7804878048780488,0.95,1.0
schreiber2018/ismir2018,0.9545454545454546,0.8615384615384616,0.9883720930232558,0.9302325581395349,0.975,1.0,1.0,0.7926829268292683,0.8666666666666667,1.0
zplane/auftakt_v3,0.7454545454545455,0.0,0.9767441860465116,0.9186046511627907,0.925,1.0,1.0,0.04878048780487805,0.2,1.0
