Estimator,trance,techno,tech-house,reggae-dub,psy-trance,progressive-house,pop-rock,minimal,indie-dance-nu-disco,house,hip-hop,hardcore-hard-techno,hard-dance,glitch-hop,funk-r-and-b,electronica,electro-house,dubstep,drum-and-bass,dj-tools,deep-house,chill-out,breaks
boeck2015/tempodetector2016_default,0.9594594594594594,0.5901639344262295,0.5454545454545454,0.5,0.47058823529411764,0.8947368421052632,0.6666666666666666,1.0,0.9090909090909091,0.6521739130434783,0.5,0.7857142857142857,0.375,0.6470588235294118,0.0,0.6346153846153846,0.8181818181818182,0.631578947368421,0.39568345323741005,0.25,0.7916666666666666,0.6,0.9230769230769231
boeck2019/multi_task,0.972972972972973,0.8852459016393442,1.0,0.0,0.9117647058823529,0.9473684210526315,0.3333333333333333,1.0,0.9090909090909091,0.8695652173913043,0.5,0.5,0.875,0.7058823529411765,1.0,0.6923076923076923,0.8636363636363636,0.6973684210526315,0.2302158273381295,0.625,0.9583333333333334,0.6,0.8461538461538461
boeck2019/multi_task_hjdb,0.9864864864864865,0.9016393442622951,0.9545454545454546,0.0,0.9411764705882353,0.9473684210526315,0.3333333333333333,1.0,0.9090909090909091,0.9130434782608695,1.0,0.7142857142857143,0.875,0.7647058823529411,1.0,0.7884615384615384,0.9090909090909091,0.75,0.4172661870503597,0.5,0.9583333333333334,0.6,0.8846153846153846
boeck2020/dar,0.972972972972973,0.9672131147540983,1.0,0.0,1.0,0.8947368421052632,0.3333333333333333,1.0,1.0,0.9565217391304348,1.0,0.8571428571428571,0.875,0.7647058823529411,1.0,0.7307692307692307,1.0,0.8157894736842105,0.7913669064748201,0.5,1.0,0.7333333333333333,1.0
davies2009/mirex_qm_tempotracker,0.22972972972972974,0.5737704918032787,0.7272727272727273,0.0,0.38235294117647056,0.631578947368421,0.3333333333333333,0.75,0.2727272727272727,0.30434782608695654,0.0,0.14285714285714285,0.375,0.5294117647058824,1.0,0.3269230769230769,0.6363636363636364,0.32894736842105265,0.12949640287769784,0.5,0.75,0.4666666666666667,0.23076923076923078
percival2014/stem,0.7027027027027027,0.8032786885245902,1.0,0.5,0.7647058823529411,0.6842105263157895,0.6666666666666666,0.875,1.0,0.6956521739130435,0.5,0.07142857142857142,0.625,0.7058823529411765,0.0,0.6153846153846154,0.5909090909090909,0.5526315789473685,0.14388489208633093,0.375,1.0,0.5333333333333333,0.6538461538461539
schreiber2014/default,0.7567567567567568,0.9508196721311475,1.0,1.0,0.8823529411764706,0.8421052631578947,0.6666666666666666,1.0,1.0,0.6956521739130435,0.5,0.14285714285714285,0.75,0.7058823529411765,1.0,0.7115384615384616,0.8181818181818182,0.5394736842105263,0.08633093525179857,0.5,1.0,0.6,0.46153846153846156
schreiber2017/ismir2017,0.9594594594594594,0.9180327868852459,1.0,0.0,0.8529411764705882,0.9473684210526315,0.3333333333333333,1.0,0.8181818181818182,0.782608695652174,0.5,0.5,0.75,0.7647058823529411,1.0,0.6923076923076923,0.8636363636363636,0.618421052631579,0.23741007194244604,0.75,1.0,0.6,0.8461538461538461
schreiber2017/mirex2017,0.9864864864864865,0.9508196721311475,1.0,0.5,0.9117647058823529,1.0,0.3333333333333333,1.0,0.8181818181818182,0.9130434782608695,0.5,0.7857142857142857,0.875,0.7058823529411765,1.0,0.8461538461538461,0.9545454545454546,0.7631578947368421,0.5971223021582733,0.875,1.0,0.5333333333333333,1.0
schreiber2018/cnn,1.0,0.9508196721311475,1.0,0.0,0.9705882352941176,0.9473684210526315,0.6666666666666666,0.875,0.7272727272727273,1.0,0.5,0.8571428571428571,0.875,0.7647058823529411,1.0,0.7307692307692307,0.9090909090909091,0.8289473684210527,0.7482014388489209,0.875,1.0,0.7333333333333333,0.9615384615384616
schreiber2018/fcn,0.9864864864864865,0.9836065573770492,1.0,0.5,0.9411764705882353,0.9473684210526315,0.6666666666666666,1.0,0.8181818181818182,1.0,0.5,1.0,0.875,0.7647058823529411,1.0,0.75,1.0,0.8421052631578947,0.8489208633093526,0.875,1.0,0.6666666666666666,1.0
schreiber2018/ismir2018,1.0,0.9672131147540983,1.0,0.5,0.9117647058823529,1.0,0.6666666666666666,1.0,0.9090909090909091,0.9565217391304348,1.0,0.7142857142857143,0.875,0.7647058823529411,1.0,0.8076923076923077,0.9090909090909091,0.8026315789473685,0.539568345323741,0.75,1.0,0.7333333333333333,0.9615384615384616
