Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,9.440274241692034e-20,3.2565301566478407e-09,1.943111419677734e-05,1.943111419677734e-05,0.16275565745309006,0.047031027439515996,0.5571970939636235
davies2009/mirex_qm_tempotracker,9.440274241692034e-20,1.0,2.3491277762465473e-05,1.3312027775604572e-30,1.3312027775604572e-30,6.449578410896075e-14,2.8269333455725987e-13,3.063290175437988e-17
percival2014/stem,3.2565301566478407e-09,2.3491277762465473e-05,1.0,2.168404344971009e-19,2.168404344971009e-19,2.719187682281854e-05,0.0001538890224443422,2.5715720480823394e-07
schreiber2017/ismir2017,1.943111419677734e-05,1.3312027775604572e-30,2.168404344971009e-19,1.0,1.0,1.5366822481155396e-08,1.0768417268991466e-09,1.6242265701293937e-06
schreiber2017/mirex2017,1.943111419677734e-05,1.3312027775604572e-30,2.168404344971009e-19,1.0,1.0,1.5366822481155396e-08,1.0768417268991466e-09,1.6242265701293937e-06
schreiber2018/cnn,0.16275565745309006,6.449578410896075e-14,2.719187682281854e-05,1.5366822481155396e-08,1.5366822481155396e-08,1.0,0.571588188409805,0.4731296598911284
schreiber2018/fcn,0.047031027439515996,2.8269333455725987e-13,0.0001538890224443422,1.0768417268991466e-09,1.0768417268991466e-09,0.571588188409805,1.0,0.12207812070846553
schreiber2018/ismir2018,0.5571970939636235,3.063290175437988e-17,2.5715720480823394e-07,1.6242265701293937e-06,1.6242265701293937e-06,0.4731296598911284,0.12207812070846553,1.0
