Estimator,Waltz,VienneseWaltz,Tango,Samba,Rumba-Misc,Rumba-International,Rumba-American,Quickstep,Jive,ChaChaCha
boeck2015/tempodetector2016_default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boeck2019/multi_task,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boeck2019/multi_task_hjdb,0.9907407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boeck2020/dar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
davies2009/mirex_qm_tempotracker,0.6944444444444444,0.8307692307692308,0.9651162790697675,0.9759036144578314,0.975,1.0,0.8571428571428571,0.9753086419753086,1.0,1.0
echonest/version_3_2_1,0.4166666666666667,0.8615384615384616,0.9883720930232558,0.963855421686747,0.9,0.9375,1.0,0.9629629629629629,0.9833333333333333,1.0
gkiokas2012/default,0.9351851851851852,0.9692307692307692,1.0,0.9759036144578314,0.975,1.0,1.0,0.9876543209876543,1.0,1.0
klapuri2006/percival2014,0.6574074074074074,0.8307692307692308,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0
oliveira2010/ibt,0.6388888888888888,0.8461538461538461,0.9883720930232558,0.963855421686747,0.95,1.0,0.8571428571428571,0.9135802469135802,0.9666666666666667,1.0
percival2014/stem,0.7685185185185185,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.9876543209876543,1.0,1.0
scheirer1998/percival2014,0.5833333333333334,0.676923076923077,0.9302325581395349,0.6144578313253012,0.85,0.5833333333333334,1.0,0.8888888888888888,0.9166666666666666,0.8317757009345794
schreiber2014/default,0.8981481481481481,0.8923076923076924,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2017/ismir2017,0.9351851851851852,0.9538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2017/mirex2017,0.9722222222222222,0.9384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2018/cnn,0.9814814814814815,0.9538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schreiber2018/fcn,0.9722222222222222,0.9846153846153847,1.0,0.9879518072289156,1.0,1.0,1.0,0.9753086419753086,1.0,1.0
schreiber2018/ismir2018,1.0,0.9692307692307692,1.0,0.9879518072289156,1.0,1.0,1.0,0.9876543209876543,1.0,1.0
sun2021/default,0.9444444444444444,0.9846153846153847,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,1.0,1.0
zplane/auftakt_v3,0.7777777777777778,0.9384615384615385,1.0,0.9518072289156626,1.0,1.0,1.0,0.9876543209876543,1.0,1.0
