Tolerance (%),alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.008602150537634409,0.1032258064516129,0.0,0.25591397849462366,0.24946236559139784,0.0,0.13978494623655913,0.0,0.0,0.0,0.0,0.0,0.0,0.27956989247311825,0.2838709677419355,0.2537634408602151,0.07311827956989247,0.034408602150537634,0.0989247311827957,0.1032258064516129,0.03655913978494624
0.0005,0.002150537634408602,0.034408602150537634,0.12688172043010754,0.015053763440860216,0.02795698924731183,0.05591397849462366,0.11182795698924732,0.04946236559139785,0.2752688172043011,0.2645161290322581,0.05806451612903226,0.15053763440860216,0.06451612903225806,0.034408602150537634,0.03225806451612903,0.0989247311827957,0.09032258064516129,0.09462365591397849,0.2967741935483871,0.3053763440860215,0.2709677419354839,0.07526881720430108,0.03655913978494624,0.1010752688172043,0.11397849462365592,0.06666666666666667
0.001,0.0064516129032258064,0.06236559139784946,0.17634408602150536,0.021505376344086023,0.06666666666666667,0.10752688172043011,0.12258064516129032,0.12903225806451613,0.3010752688172043,0.2946236559139785,0.09247311827956989,0.16559139784946236,0.11612903225806452,0.060215053763440864,0.06451612903225806,0.16559139784946236,0.16344086021505377,0.16774193548387098,0.3333333333333333,0.3333333333333333,0.3010752688172043,0.08817204301075268,0.03870967741935484,0.11182795698924732,0.12258064516129032,0.14193548387096774
0.0015,0.012903225806451613,0.10752688172043011,0.2172043010752688,0.025806451612903226,0.10752688172043011,0.16129032258064516,0.14193548387096774,0.17204301075268819,0.3247311827956989,0.3139784946236559,0.14193548387096774,0.16989247311827957,0.18494623655913978,0.08817204301075268,0.09032258064516129,0.23655913978494625,0.22580645161290322,0.23010752688172043,0.36989247311827955,0.3720430107526882,0.3333333333333333,0.1010752688172043,0.04086021505376344,0.12043010752688173,0.12688172043010754,0.2021505376344086
0.002,0.01935483870967742,0.14623655913978495,0.23440860215053763,0.043010752688172046,0.12473118279569892,0.1978494623655914,0.15268817204301074,0.210752688172043,0.34838709677419355,0.33763440860215055,0.2,0.17419354838709677,0.25591397849462366,0.11612903225806452,0.11182795698924732,0.2903225806451613,0.27741935483870966,0.2817204301075269,0.38924731182795697,0.3935483870967742,0.35268817204301073,0.11612903225806452,0.04086021505376344,0.12473118279569892,0.13118279569892474,0.26666666666666666
0.0025,0.01935483870967742,0.1827956989247312,0.2645161290322581,0.05806451612903226,0.13548387096774195,0.24301075268817204,0.16129032258064516,0.23870967741935484,0.3741935483870968,0.35698924731182796,0.23440860215053763,0.18064516129032257,0.2967741935483871,0.13118279569892474,0.13763440860215054,0.3161290322580645,0.3225806451612903,0.32903225806451614,0.4064516129032258,0.40860215053763443,0.36989247311827955,0.12043010752688173,0.04516129032258064,0.13118279569892474,0.14193548387096774,0.3247311827956989
0.003,0.02795698924731183,0.210752688172043,0.3032258064516129,0.05806451612903226,0.15053763440860216,0.2817204301075269,0.17204301075268819,0.2860215053763441,0.3870967741935484,0.3741935483870968,0.2645161290322581,0.1913978494623656,0.33548387096774196,0.15483870967741936,0.15913978494623657,0.3548387096774194,0.36774193548387096,0.3763440860215054,0.43010752688172044,0.4236559139784946,0.38924731182795697,0.12258064516129032,0.047311827956989246,0.13333333333333333,0.15053763440860216,0.36989247311827955
0.0035,0.03870967741935484,0.24301075268817204,0.35053763440860214,0.08387096774193549,0.16559139784946236,0.3032258064516129,0.17634408602150536,0.32903225806451614,0.3978494623655914,0.3935483870967742,0.33978494623655914,0.2,0.37849462365591396,0.18494623655913978,0.16989247311827957,0.4,0.410752688172043,0.421505376344086,0.44731182795698926,0.43870967741935485,0.4021505376344086,0.13118279569892474,0.047311827956989246,0.14193548387096774,0.15698924731182795,0.3870967741935484
0.004,0.03870967741935484,0.2709677419354839,0.36989247311827955,0.1032258064516129,0.18064516129032257,0.3333333333333333,0.18924731182795698,0.3548387096774194,0.4172043010752688,0.410752688172043,0.38064516129032255,0.210752688172043,0.4172043010752688,0.1978494623655914,0.2021505376344086,0.443010752688172,0.44731182795698926,0.46021505376344085,0.4645161290322581,0.45806451612903226,0.421505376344086,0.13333333333333333,0.047311827956989246,0.14838709677419354,0.15913978494623657,0.41935483870967744
0.0045,0.04516129032258064,0.3010752688172043,0.3913978494623656,0.10967741935483871,0.2,0.3548387096774194,0.2064516129032258,0.38064516129032255,0.43010752688172044,0.421505376344086,0.42795698924731185,0.21935483870967742,0.45161290322580644,0.2129032258064516,0.221505376344086,0.47096774193548385,0.4645161290322581,0.4774193548387097,0.4752688172043011,0.4645161290322581,0.43010752688172044,0.13763440860215054,0.04946236559139785,0.15483870967741936,0.16559139784946236,0.43870967741935485
0.005,0.04516129032258064,0.3311827956989247,0.40860215053763443,0.12473118279569892,0.21935483870967742,0.3827956989247312,0.23440860215053763,0.4129032258064516,0.443010752688172,0.43010752688172044,0.4752688172043011,0.22795698924731184,0.4817204301075269,0.22580645161290322,0.24301075268817204,0.5075268817204301,0.4989247311827957,0.513978494623656,0.4946236559139785,0.4860215053763441,0.44516129032258067,0.14193548387096774,0.05806451612903226,0.15913978494623657,0.17419354838709677,0.46236559139784944
