Estimator,Accuracy1,Accuracy2
boeck2020/dar,0.9927007299270073,1.0
boeck2019/multi_task,0.9854014598540146,1.0
boeck2019/multi_task_hjdb,0.983941605839416,0.9985401459854014
sun2021/default,0.9751824817518249,0.9883211678832117
schreiber2018/cnn,0.9678832116788321,0.9927007299270073
schreiber2018/ismir2018,0.945985401459854,0.9941605839416059
schreiber2018/fcn,0.9445255474452555,0.9897810218978103
schreiber2017/mirex2017,0.9153284671532846,0.9883211678832117
schreiber2017/ismir2017,0.8656934306569343,0.983941605839416
boeck2015/tempodetector2016_default,0.8423357664233576,1.0
davies2009/mirex_qm_tempotracker,0.672992700729927,0.9226277372262773
schreiber2014/default,0.6671532846715329,0.9722627737226277
zplane/auftakt_v3,0.6642335766423357,0.9518248175182482
percival2014/stem,0.654014598540146,0.9547445255474453
klapuri2006/percival2014,0.6423357664233577,0.9284671532846716
oliveira2010/ibt,0.6408759124087591,0.9051094890510949
gkiokas2012/default,0.6248175182481752,0.981021897810219
echonest/version_3_2_1,0.5693430656934306,0.872992700729927
scheirer1998/percival2014,0.5416058394160584,0.7635036496350365
