T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
52.0,0.43283582089552236,0.014925373134328358,0.11940298507462686,0.29850746268656714,0.47761194029850745,0.5522388059701493,0.582089552238806,0.6567164179104478
53.0,0.48148148148148145,0.012345679012345678,0.12345679012345678,0.345679012345679,0.5061728395061729,0.5679012345679012,0.6296296296296297,0.6790123456790124
54.0,0.4823529411764706,0.011764705882352941,0.12941176470588237,0.35294117647058826,0.49411764705882355,0.5529411764705883,0.6352941176470588,0.6705882352941176
55.0,0.5178571428571429,0.026785714285714284,0.14285714285714285,0.41964285714285715,0.49107142857142855,0.5357142857142857,0.6160714285714286,0.6696428571428571
56.0,0.5371900826446281,0.024793388429752067,0.14049586776859505,0.4380165289256198,0.512396694214876,0.5537190082644629,0.6198347107438017,0.6611570247933884
57.0,0.4858757062146893,0.05084745762711865,0.21468926553672316,0.423728813559322,0.4858757062146893,0.519774011299435,0.5536723163841808,0.5480225988700564
58.0,0.507537688442211,0.05527638190954774,0.24623115577889448,0.4623115577889447,0.4824120603015075,0.5125628140703518,0.5678391959798995,0.592964824120603
59.0,0.5141509433962265,0.05660377358490566,0.25,0.47641509433962265,0.4858490566037736,0.5141509433962265,0.5754716981132075,0.6084905660377359
60.0,0.5351170568561873,0.09364548494983277,0.30434782608695654,0.4682274247491639,0.4414715719063545,0.46488294314381273,0.6086956521739131,0.6254180602006689
61.0,0.541795665634675,0.09597523219814241,0.33126934984520123,0.48606811145510836,0.4551083591331269,0.48297213622291024,0.631578947368421,0.6439628482972136
62.0,0.5545977011494253,0.10344827586206896,0.35344827586206895,0.5,0.4540229885057471,0.48563218390804597,0.6408045977011494,0.6551724137931034
63.0,0.5354523227383863,0.1198044009779951,0.39119804400978,0.5036674816625917,0.43031784841075793,0.4718826405867971,0.6259168704156479,0.6552567237163814
64.0,0.5242290748898678,0.1145374449339207,0.394273127753304,0.5022026431718062,0.40969162995594716,0.45594713656387664,0.6167400881057269,0.6475770925110133
65.0,0.5463510848126233,0.1222879684418146,0.4240631163708087,0.5384615384615384,0.40039447731755423,0.4457593688362919,0.6035502958579881,0.6331360946745562
66.0,0.5551330798479087,0.13307984790874525,0.4429657794676806,0.5551330798479087,0.3916349809885932,0.4372623574144487,0.6007604562737643,0.6387832699619772
67.0,0.5263929618768328,0.12609970674486803,0.45454545454545453,0.5366568914956011,0.3533724340175953,0.39296187683284456,0.5821114369501467,0.6085043988269795
68.0,0.5423728813559322,0.1421121251629726,0.4915254237288136,0.5736636245110821,0.36114732724902215,0.39504563233376794,0.5710560625814863,0.6153846153846154
69.0,0.5380774032459426,0.14232209737827714,0.5093632958801498,0.5880149812734082,0.352059925093633,0.38451935081148564,0.5630461922596754,0.6179775280898876
