Estimator,Vocal,Symphony,Solo,Orchestral,Concerto,Chamber,8/4,7/8,7/4,6/4,5/4,4/4,3/4,2/4
boeck2015/tempodetector2016_default,0.8333333333333334,0.75,0.7428571428571429,0.75,0.5,0.8,0.0,1.0,1.0,0.5,1.0,0.7142857142857143,0.7894736842105263,0.9090909090909091
davies2009/mirex_qm_tempotracker,0.6666666666666666,0.75,0.6,0.75,0.5,0.6,0.0,0.0,0.5,0.75,1.0,0.6190476190476191,0.6842105263157895,0.6363636363636364
percival2014/stem,0.6666666666666666,0.75,0.6857142857142857,0.5,0.5,0.7,0.0,0.0,0.5,0.5,1.0,0.6190476190476191,0.7368421052631579,0.9090909090909091
schreiber2014/default,0.8333333333333334,0.25,0.5142857142857142,0.25,0.0,0.3,0.0,0.0,1.0,0.0,1.0,0.42857142857142855,0.5263157894736842,0.5454545454545454
schreiber2017/ismir2017,0.6666666666666666,0.5,0.5714285714285714,0.5,0.5,0.8,0.0,0.0,0.5,0.75,1.0,0.5714285714285714,0.631578947368421,0.7272727272727273
schreiber2017/mirex2017,0.6666666666666666,0.75,0.5714285714285714,0.5,0.5,0.8,0.0,0.0,0.5,0.75,1.0,0.6190476190476191,0.631578947368421,0.7272727272727273
schreiber2018/cnn,0.6666666666666666,0.75,0.6571428571428571,0.25,0.5,0.7,0.0,0.0,0.5,0.25,1.0,0.6666666666666666,0.631578947368421,0.9090909090909091
schreiber2018/fcn,0.6666666666666666,1.0,0.6571428571428571,0.25,0.5,0.6,0.0,0.0,0.5,0.25,1.0,0.7142857142857143,0.6842105263157895,0.7272727272727273
schreiber2018/ismir2018,0.5,0.75,0.6285714285714286,0.5,0.5,0.7,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.631578947368421,0.7272727272727273
