τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,
0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
0.025,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
0.03,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
0.035,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364
0.04,0.7692307692307693,0.5384615384615384,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.6923076923076923,0.7692307692307693,0.5384615384615384,0.6153846153846154
0.045,0.7083333333333334,0.4583333333333333,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.7083333333333334,0.625,0.5416666666666666,0.5
0.05,0.6486486486486487,0.3783783783783784,0.40540540540540543,0.5405405405405406,0.4864864864864865,0.6756756756756757,0.5675675675675675,0.5675675675675675,0.4864864864864865
0.055,0.673469387755102,0.3469387755102041,0.42857142857142855,0.5510204081632653,0.46938775510204084,0.6122448979591837,0.5510204081632653,0.5714285714285714,0.4489795918367347
0.06,0.6779661016949152,0.288135593220339,0.4067796610169492,0.5423728813559322,0.4915254237288136,0.5932203389830508,0.5254237288135594,0.576271186440678,0.4406779661016949
0.065,0.6714285714285714,0.2857142857142857,0.42857142857142855,0.5571428571428572,0.4857142857142857,0.5714285714285714,0.5428571428571428,0.5714285714285714,0.4714285714285714
0.07,0.6071428571428571,0.25,0.38095238095238093,0.5238095238095238,0.42857142857142855,0.5357142857142857,0.5119047619047619,0.5238095238095238,0.44047619047619047
0.075,0.6043956043956044,0.23076923076923078,0.38461538461538464,0.5384615384615384,0.42857142857142855,0.5274725274725275,0.5054945054945055,0.5384615384615384,0.45054945054945056
0.08,0.625,0.21153846153846154,0.34615384615384615,0.5192307692307693,0.4230769230769231,0.5192307692307693,0.49038461538461536,0.5384615384615384,0.4423076923076923
0.085,0.6071428571428571,0.19642857142857142,0.32142857142857145,0.5,0.4107142857142857,0.5089285714285714,0.4732142857142857,0.5178571428571429,0.41964285714285715
0.09,0.6068376068376068,0.19658119658119658,0.3162393162393162,0.48717948717948717,0.41025641025641024,0.5042735042735043,0.46153846153846156,0.5042735042735043,0.41025641025641024
0.095,0.6062992125984252,0.18110236220472442,0.33858267716535434,0.48031496062992124,0.4094488188976378,0.5118110236220472,0.47244094488188976,0.49606299212598426,0.4015748031496063
0.1,0.5939849624060151,0.18045112781954886,0.3308270676691729,0.47368421052631576,0.41353383458646614,0.5112781954887218,0.46616541353383456,0.48120300751879697,0.38345864661654133
0.105,0.583941605839416,0.17518248175182483,0.3357664233576642,0.45985401459854014,0.40875912408759124,0.5036496350364964,0.45255474452554745,0.46715328467153283,0.3722627737226277
0.11,0.5673758865248227,0.1702127659574468,0.3262411347517731,0.46099290780141844,0.3971631205673759,0.48936170212765956,0.44680851063829785,0.45390070921985815,0.3617021276595745
