Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,664,41.1,214.29,112.49022590361446,37.3437133423182,74.0,0.6987951807228916
boeck2019/multi_task,664,57.49,201.91,118.31893072289157,26.409473840044864,76.0,0.9186746987951807
boeck2019/multi_task_hjdb,664,58.62,201.92,124.60871987951808,27.134523539955858,83.0,0.8885542168674698
boeck2020/dar,664,47.65,201.5,134.27182228915663,28.63816716981377,91.0,0.8614457831325302
davies2009/mirex_qm_tempotracker,664,63.8021,191.406,115.45660813253012,27.089697704087023,84.0,0.8900602409638554
percival2014/stem,664,54.9784,160.247,106.58827545180723,27.216281585818013,75.0,0.8509036144578314
schreiber2014/default,664,63.026413,171.90814,112.05373026204819,27.00566684411979,78.0,0.8734939759036144
schreiber2017/ismir2017,664,63.499554,176.0087,118.56964209638555,27.312904186523845,80.0,0.8825301204819277
schreiber2017/mirex2017,664,68.999825,190.04524,132.44568764457833,26.884249957723203,88.0,0.8614457831325302
schreiber2018/cnn,664,67.0,216.0,135.25301204819277,27.236118940222525,90.0,0.8810240963855421
schreiber2018/fcn,664,63.0,201.0,138.375,26.854606156018594,90.0,0.9036144578313253
schreiber2018/ismir2018,664,69.0,186.0,129.65813253012047,26.962277320679924,89.0,0.8433734939759037
sun2021/default,664,58.0,211.0,139.15813253012047,27.57122672485994,94.0,0.9021084337349398
