Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.04815274386582876,0.0,0.0,0.0,0.0,0.0
0.001,0.05847976624104391,0.004282912380418685,0.0,0.23696113357082815,0.2400032021774807,0.2377216507224913
0.002,0.06284273305847976,0.030340631629508067,0.0,0.26890285394067964,0.27094424208461754,0.26814233678901656
0.003,0.09190249369571309,0.032061802025377256,0.0,0.2937197294160029,0.2957611175599408,0.2927590761717968
0.004,0.1288476163791378,0.05099467637993836,0.0,0.3245006604491054,0.3270223752151463,0.32321978945683066
0.005,0.1461794019933555,0.055517752071408556,0.0,0.36248649081375334,0.36508826001681144,0.36060521154384984
0.006,0.17147660409078172,0.06120161709962775,0.0,0.41680342632990436,0.42104631149181443,0.4146019293119321
0.007,0.1936516831445383,0.06576472000960654,0.0,0.4581115158307649,0.46175399271504625,0.4548292839130609
0.008,0.2345995276788216,0.07709242284753633,0.0,0.49621742785093864,0.49873914261697955,0.4914541888484169
0.009,0.27454669175039026,0.09574510667253733,0.0,0.5260377056398351,0.5307208902053396,0.5228755553776568
0.01,0.28651483008445744,0.12704639154625144,0.0,0.5424088380098467,0.548573029660169,0.5405275587399432
0.011,0.3182163871432574,0.13501180802946003,0.0,0.5542969219068967,0.5597005964055558,0.5518552615778729
0.012,0.3428731537445463,0.14449825881599487,0.0,0.5635031821638714,0.5697874554697194,0.5613817395829164
0.013,0.36076532041788417,0.15814754032742265,0.0,0.5709482448064684,0.5770323820197735,0.5688668294440219
0.014,0.39614938157947405,0.17784093183364688,0.0,0.5773926269863507,0.5833967097626386,0.5751110755313613
0.015,0.417804106792619,0.18644678381299284,0.0,0.5825161109554498,0.5885201937317376,0.5801545050634431
0.016,0.42380818956890687,0.19261097546331504,0.0,0.5880798943281431,0.5938438137933795,0.5855982067806108
0.017,0.430852980026418,0.21510627226514029,0.0,0.5924028339270704,0.5983668894848497,0.5898410919425209
