Estimator,rock,reggae,pop,metal,jazz,hip-hop,disco,country,classical,blues
boeck2015/tempodetector2016_default,0.98,1.0,0.99,0.95,0.91,0.99,0.99,0.99,0.81,0.95
boeck2019/multi_task,0.97,0.9797979797979798,0.97,0.98,0.89,0.98,0.98,0.98,0.79,0.95
boeck2019/multi_task_hjdb,0.97,0.9797979797979798,0.97,0.97,0.91,0.99,0.98,0.98,0.8,0.95
davies2009/mirex_qm_tempotracker,0.95,0.98989898989899,0.95,0.94,0.78,0.99,0.98,0.95,0.62,0.86
echonest/version_3_2_1,0.94,0.9797979797979798,0.92,0.94,0.71,0.97,0.97,0.91,0.53,0.83
gkiokas2012/default,0.97,0.98989898989899,0.99,0.94,0.8,0.98,0.99,1.0,0.77,0.95
klapuri2006/percival2014,0.98,1.0,0.98,0.97,0.87,0.99,0.99,0.97,0.6,0.9
oliveira2010/ibt,0.96,0.9696969696969697,0.98,0.93,0.64,0.99,1.0,0.92,0.49,0.82
percival2014/stem,0.99,0.9797979797979798,0.98,0.99,0.91,1.0,0.98,1.0,0.66,0.93
scheirer1998/percival2014,0.85,0.8888888888888888,0.8,0.8,0.62,0.8,0.9,0.83,0.43,0.71
schreiber2014/default,0.99,0.98989898989899,0.98,0.93,0.9,1.0,0.99,0.97,0.7,0.89
schreiber2017/ismir2017,0.98,1.0,0.98,0.93,0.91,1.0,0.99,0.98,0.71,0.91
schreiber2017/mirex2017,0.99,1.0,0.99,0.96,0.95,1.0,1.0,0.99,0.76,0.96
schreiber2018/cnn,1.0,1.0,1.0,0.98,0.93,1.0,0.98,1.0,0.67,0.95
schreiber2018/fcn,1.0,0.98989898989899,0.99,0.94,0.87,1.0,0.99,0.98,0.65,0.97
schreiber2018/ismir2018,0.99,1.0,0.99,0.95,0.87,0.99,0.98,0.99,0.65,0.92
zplane/auftakt_v3,0.96,0.9595959595959596,0.96,0.88,0.8,0.98,0.97,0.94,0.6,0.87
