Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,1.650309580862261e-38,4.9526943888748544e-43,1.6878201384070368e-17,2.520271834849749e-16,1.6107099341839672e-08,0.2872980061018492,4.3517084543689775e-05,3.167878693966406e-21,9.327834253692218e-15,1.0440507457930358e-27,2.733136299922038e-22,2.080038301068474e-43,0.025643306791135,7.044726384385455e-07,0.5785289872133117,0.004876747873575224
boeck2019/multi_task,1.650309580862261e-38,1.0,0.0011909452803812214,1.4289312606927312e-73,1.1331887202048288e-07,1.1784380713609818e-11,3.3835600025339606e-35,3.9268592151738226e-60,2.373092187208154e-06,0.0001882606010938066,4.235644618366931e-05,5.012052793358644e-08,0.16142125528350434,4.25979593439576e-32,1.1676488691821387e-19,1.9748606052633807e-43,1.4266472078586395e-26
boeck2019/multi_task_hjdb,4.9526943888748544e-43,0.0011909452803812214,1.0,2.3436790755886987e-81,2.903905654221387e-12,3.5870299352550187e-16,1.478446974895661e-41,3.8732452165465047e-66,9.173168539303617e-11,4.712126560099994e-07,5.577654327131131e-09,1.066387876406469e-12,0.6815349187191295,8.586561828228273e-38,6.231497056447255e-25,2.2251481350669508e-48,4.893448967215384e-33
davies2009/mirex_qm_tempotracker,1.6878201384070368e-17,1.4289312606927312e-73,2.3436790755886987e-81,1.0,7.361319516172013e-53,3.5491595410010546e-39,2.8832991134319874e-36,9.931848518844841e-11,2.0238533561023486e-69,1.0882477092381174e-58,2.964923108820347e-73,1.0740278928484514e-65,1.5300469157561522e-81,2.2410138896606954e-24,1.8322361530314593e-33,6.633865946749298e-21,4.0836169172017523e-35
echonest/version_3_2_1,2.520271834849749e-16,1.1331887202048288e-07,2.903905654221387e-12,7.361319516172013e-53,1.0,0.0071826590923041505,3.3383168491547916e-16,2.2528832878566938e-37,0.6144444398623028,0.6944903845357612,0.092582713472624,0.8349834984438461,1.5898996931936876e-10,9.148062293129468e-12,4.811197379783852e-05,5.855074023790531e-18,3.036608808288788e-10
gkiokas2012/default,1.6107099341839672e-08,1.1784380713609818e-11,3.5870299352550187e-16,3.5491595410010546e-39,0.0071826590923041505,1.0,2.0248199002260351e-07,5.637700434251999e-22,0.000566192422558046,0.005110014436020746,6.450270932426225e-06,0.0025068706948805433,7.228322127365391e-17,7.935921620371411e-05,0.2040379912874646,1.1079413051592315e-07,0.0005096880725158252
klapuri2006/percival2014,0.2872980061018492,3.3835600025339606e-35,1.478446974895661e-41,2.8832991134319874e-36,3.3383168491547916e-16,2.0248199002260351e-07,1.0,1.1932618218240066e-16,1.5958350024151736e-29,3.2751423764821986e-17,2.25733837026211e-30,9.593812808203732e-24,4.4087873247442044e-44,0.324351154470237,0.00012360240019146677,0.493491476639514,0.02408471416196304
oliveira2010/ibt,4.3517084543689775e-05,3.9268592151738226e-60,3.8732452165465047e-66,9.931848518844841e-11,2.2528832878566938e-37,5.637700434251999e-22,1.1932618218240066e-16,1.0,5.02672558136179e-50,2.984774869430659e-38,6.462516550527783e-54,4.63853939176499e-47,2.8434683805051256e-66,5.054347146619496e-10,3.5187541946906906e-17,6.946283200139888e-08,6.532529972821312e-20
percival2014/stem,3.167878693966406e-21,2.373092187208154e-06,9.173168539303617e-11,2.0238533561023486e-69,0.6144444398623028,0.000566192422558046,1.5958350024151736e-29,5.02672558136179e-50,1.0,0.9736862490283679,0.18748729372651315,0.7277372141705363,3.696164382612415e-10,1.558102312047803e-14,1.1243379291721756e-06,1.1682934895647577e-22,3.478199420110887e-17
scheirer1998/percival2014,9.327834253692218e-15,0.0001882606010938066,4.712126560099994e-07,1.0882477092381174e-58,0.6944903845357612,0.005110014436020746,3.2751423764821986e-17,2.984774869430659e-38,0.9736862490283679,1.0,0.3727254477036943,0.8061850496852457,3.2591862852311834e-06,6.780740013019468e-10,7.204029609138403e-05,7.957099441957998e-15,6.817643863427114e-11
