Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.4051220304137614,0.43300854037017095,0.009795239268705765,0.00878211294335248,0.008132078722995215,0.008132078722995215,0.008267615983600572,0.0,0.008267615983600572
1,0.014355292977070054,0.0047487842554576176,0.009329052980369124,0.003157741720295561,0.00259346711248151,0.00259346711248151,0.0,0.0,0.0
2,0.00549046274753558,0.4350813332241681,0.011866273404001043,0.010856276360557346,0.010450245334062677,0.010450245334062677,0.010341944221458961,0.010341944221458961,0.010341944221458961
3,0.008888096132200913,0.43337960680416554,0.001667051308266115,0.0001611369614836671,0.0001611369614836671,0.0001611369614836671,0.00808234629785853,0.0,0.0
4,0.017921907997262457,0.004468581314585076,0.015696464850193572,0.01827090206844963,0.017915325716154177,0.017915325716154177,0.017921907997262457,0.017921907997262457,0.017921907997262457
5,0.0006634605961439046,0.034458605558681084,0.002379921334930202,0.0003447955654340049,0.0003447955654340049,0.0003447955654340049,0.0,0.0,0.0
6,0.015119816927750678,0.025908417656872972,0.008744006271284922,0.010160034341223258,0.010566385814820767,0.010566385814820767,0.010268335453827113,0.010268335453827113,0.010268335453827113
7,0.02290040211007877,0.010855269820209868,0.010855269820209868,0.011702767823938481,0.011251341957619709,0.011251341957619709,0.011404763272249362,0.011404763272249362,0.011404763272249362
8,0.011145087252848762,0.43526935859258314,0.011583263426570867,0.00992216405158226,0.00992216405158226,0.00992216405158226,0.009781020792585396,0.009781020792585396,0.009781020792585396
9,0.017373771576956843,0.04997920270779139,0.01106069496810915,0.00853212176077499,0.00925694012488297,0.00925694012488297,0.009218530029378632,0.0,0.0
10,0.002853654920838868,0.4281134980720881,0.0025195721163206305,0.00016421599930443458,0.00016430237839391333,0.00016430237839391333,0.0,0.0,0.0
