T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
60.0,0.5063911888077364,0.18525903247187944,0.19628382479610756,0.31513251837330863,1.005337827813921,0.38183085846287185,0.5967232696580823,0.8893048406133482,0.9388181968828485,0.5825046672754509,0.6833238289376232,0.45542075016053907,0.4435283642366338,0.23253295995242151,0.4327305753283425,0.44665404218156557,0.5739320944302906,0.4378992856293985,0.770959723724461
61.0,0.48176721773666303,0.16489468690591513,0.17563806350685007,0.292964627129525,1.000579941775629,0.3657012243413059,0.5840937439160737,0.8632026077051129,0.9262966998537406,0.5642857974483354,0.6687788360128947,0.44527685671872674,0.41987126563387256,0.2254377602355356,0.40177597843028917,0.42755104121749266,0.5587032062204421,0.41440384374055844,0.7638871848728387
62.0,0.4696493499007111,0.14679347049508723,0.15753552402898016,0.272000305530567,0.9744197660413806,0.37988715295347214,0.5609306248803653,0.8520478015129437,0.9191659866272563,0.5506169902852539,0.6689223740662789,0.433736809708765,0.3879913912635694,0.2065422781182748,0.3803443151267102,0.39202970376679935,0.5402294952911539,0.39003002113518886,0.7398780252016643
63.0,0.4013489999402762,0.12503392294015306,0.1346575537884582,0.22516721297471404,0.9478808993260766,0.3537673959344026,0.5183392880689315,0.8063726149552168,0.918971756151819,0.5330210354428313,0.616892633726954,0.4117541348644185,0.35856476531581816,0.18556364126489083,0.35731023162801157,0.38026091624950514,0.49995324224348636,0.3672156982545591,0.6842245831525985
64.0,0.36844025520517315,0.10719061720433967,0.11566910929963874,0.20076296398458796,0.933645342041212,0.3392891625321962,0.4912921109164117,0.758228479758124,0.8844410407659903,0.5104166910922129,0.5984384762557688,0.3842713221191556,0.32217581936699297,0.17857043073081127,0.32614911343741676,0.34848825633747244,0.47070083291713644,0.34268643663981757,0.6591870624420716
65.0,0.352852386117895,0.10280616388868771,0.11079898648969097,0.18137169953019122,0.9037048816405528,0.3308449680692784,0.4694713756041137,0.7303781316943655,0.8865619929912557,0.46529183784828765,0.5815742119676485,0.356170977921011,0.29676352935087547,0.15961231548485924,0.329945876931683,0.33357009143675914,0.44991256294074916,0.32794248151334293,0.6452741746087196
66.0,0.3283917439723646,0.09662553174858933,0.10430448517394086,0.15473646664726334,0.8472394357922927,0.3083626307660148,0.4206423483573243,0.7045445180107331,0.8875310016790244,0.43168763981399616,0.5382459569194408,0.3328325238742419,0.253973974109118,0.15947270873168287,0.30499198839208375,0.30465714556138246,0.4278304667897251,0.3008267346366809,0.6101988878362156
67.0,0.34628838149317415,0.09545570424790345,0.10310542989202374,0.15287425601999194,0.8482607476067078,0.30277037468608314,0.4225251709405661,0.696719222878001,0.8924598627860402,0.4316745841542688,0.5084107619920368,0.3188155118007155,0.24043027139745682,0.15760396014869113,0.30634599619763997,0.2948020418020011,0.4117492304572189,0.28072628405720645,0.5880981890645804
68.0,0.3284215560512567,0.08560104633136084,0.09330683516179618,0.1545416448392826,0.8464078597738317,0.29524158595506,0.4162254397617632,0.6824662576022628,0.8914367250492624,0.41459924318530245,0.49183064025039175,0.300586045388625,0.2321891520204537,0.15933211999724495,0.29870519107575205,0.27602923677603414,0.3943845474468482,0.28386550123672366,0.5729431646180929
69.0,0.2781045454527224,0.08041032430775907,0.08758949468744265,0.1349192409912847,0.8113905259171241,0.2869917357459181,0.3731969694443493,0.6545680959382327,0.8867870677189995,0.3771102318209897,0.47447855207098244,0.28316580895359755,0.20743052624253774,0.15057775563600057,0.2757284487982894,0.23713762923879533,0.3664590908460117,0.25125523722983245,0.5435466757531753
70.0,0.2691265453113585,0.07088024833842253,0.07794768740716669,0.11799848129295422,0.8117236521950771,0.26949581636343806,0.3724332917984708,0.6436404482036244,0.8825172297661461,0.3612002276622915,0.4576097433745,0.2633970408365437,0.17917217046105893,0.1501622765971092,0.2717587204775429,0.2485910477894269,0.3459721280811624,0.25113022814992636,0.5282162245593868
