Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
0.0,0.012893982808022923,0.0014326647564469914,0.0,0.0014326647564469914,0.0,0.0,0.027220630372492838,0.0,0.0071633237822349575,0.0,0.0,0.0,0.0,0.0,0.024355300859598854,0.022922636103151862,0.024355300859598854,0.027220630372492838,0.008595988538681949
0.0005,0.21203438395415472,0.15472779369627507,0.14326647564469913,0.1332378223495702,0.0071633237822349575,0.167621776504298,0.17191977077363896,0.07306590257879657,0.027220630372492838,0.1361031518624642,0.022922636103151862,0.2664756446991404,0.2593123209169054,0.25787965616045844,0.1833810888252149,0.17048710601719197,0.17908309455587393,0.16905444126074498,0.2020057306590258
0.001,0.2349570200573066,0.3137535816618911,0.32664756446991405,0.2922636103151863,0.008595988538681949,0.28653295128939826,0.26504297994269344,0.12177650429799428,0.044412607449856735,0.29083094555873923,0.07163323782234957,0.4283667621776504,0.4326647564469914,0.43123209169054444,0.2836676217765043,0.2664756446991404,0.27650429799426934,0.2621776504297994,0.34097421203438394
0.0015,0.25644699140401145,0.44412607449856734,0.46418338108882523,0.4283667621776504,0.014326647564469915,0.40114613180515757,0.37249283667621774,0.22636103151862463,0.06303724928366762,0.4455587392550143,0.11461318051575932,0.5386819484240688,0.5587392550143266,0.5587392550143266,0.38968481375358166,0.36962750716332377,0.3825214899713467,0.3438395415472779,0.4684813753581662
0.002,0.2822349570200573,0.5830945558739254,0.5945558739255015,0.5415472779369628,0.02005730659025788,0.498567335243553,0.4140401146131805,0.2679083094555874,0.0830945558739255,0.5386819484240688,0.14469914040114612,0.667621776504298,0.667621776504298,0.667621776504298,0.42550143266475643,0.40257879656160456,0.42263610315186245,0.3667621776504298,0.5845272206303725
0.0025,0.31805157593123207,0.6575931232091691,0.6747851002865329,0.6160458452722063,0.02865329512893983,0.5587392550143266,0.5286532951289399,0.3467048710601719,0.09742120343839542,0.6017191977077364,0.16905444126074498,0.7621776504297995,0.7779369627507163,0.7793696275071633,0.5372492836676218,0.5100286532951289,0.5415472779369628,0.45988538681948427,0.667621776504298
0.003,0.3524355300859599,0.7320916905444126,0.7421203438395415,0.6790830945558739,0.034383954154727794,0.6103151862464183,0.6217765042979942,0.3954154727793696,0.12034383954154727,0.671919770773639,0.19340974212034384,0.8166189111747851,0.8223495702005731,0.8237822349570201,0.6489971346704871,0.6146131805157593,0.6575931232091691,0.5544412607449857,0.7349570200573066
0.0035,0.4183381088825215,0.7951289398280802,0.8123209169054442,0.7435530085959885,0.04154727793696275,0.6461318051575932,0.666189111747851,0.502865329512894,0.13896848137535817,0.7077363896848138,0.21060171919770773,0.8409742120343839,0.8553008595988538,0.8567335243553008,0.6891117478510028,0.666189111747851,0.6962750716332379,0.5902578796561605,0.7808022922636103
0.004,0.4484240687679083,0.839541547277937,0.8638968481375359,0.8123209169054442,0.045845272206303724,0.6747851002865329,0.6934097421203438,0.5716332378223495,0.15759312320916904,0.7507163323782235,0.23638968481375358,0.8610315186246418,0.8767908309455588,0.8796561604584527,0.7106017191977078,0.6905444126074498,0.7191977077363897,0.6045845272206304,0.8065902578796562
0.0045,0.5286532951289399,0.8667621776504298,0.8839541547277937,0.8495702005730659,0.050143266475644696,0.6905444126074498,0.7378223495702005,0.6131805157593123,0.1819484240687679,0.7808022922636103,0.25358166189111747,0.8753581661891118,0.8853868194842407,0.8882521489971347,0.7521489971346705,0.7292263610315186,0.7578796561604585,0.6418338108882522,0.8166189111747851
0.005,0.5873925501432665,0.8896848137535817,0.9025787965616046,0.8739255014326648,0.07593123209169055,0.7091690544412608,0.7578796561604585,0.6819484240687679,0.1977077363896848,0.8065902578796562,0.30945558739255014,0.8896848137535817,0.9068767908309455,0.9097421203438395,0.7736389684813754,0.7521489971346705,0.7779369627507163,0.6504297994269341,0.832378223495702
0.0055,0.667621776504298,0.9111747851002865,0.9154727793696275,0.9011461318051576,0.08595988538681948,0.7277936962750716,0.7908309455587392,0.7593123209169055,0.2148997134670487,0.8094555873925502,0.34813753581661894,0.9054441260744985,0.9183381088825215,0.9212034383954155,0.7965616045845272,0.7765042979942693,0.8051575931232091,0.671919770773639,0.8510028653295129
0.006,0.6891117478510028,0.9197707736389685,0.9255014326647565,0.9183381088825215,0.09598853868194843,0.7378223495702005,0.8080229226361032,0.7865329512893983,0.3151862464183381,0.835243553008596,0.39111747851002865,0.9111747851002865,0.9240687679083095,0.9269340974212035,0.8209169054441261,0.7979942693409742,0.8252148997134671,0.6948424068767909,0.8595988538681948
0.0065,0.6977077363896849,0.9240687679083095,0.9312320916905444,0.9326647564469914,0.0988538681948424,0.7564469914040115,0.8223495702005731,0.8080229226361032,0.32808022922636104,0.8438395415472779,0.4154727793696275,0.9183381088825215,0.9283667621776505,0.9312320916905444,0.832378223495702,0.8108882521489972,0.836676217765043,0.7106017191977078,0.8638968481375359
0.007,0.7177650429799427,0.9326647564469914,0.9369627507163324,0.9426934097421203,0.1346704871060172,0.7636103151862464,0.839541547277937,0.8581661891117478,0.3553008595988539,0.8610315186246418,0.4383954154727794,0.9197707736389685,0.9312320916905444,0.9340974212034384,0.8438395415472779,0.828080229226361,0.8481375358166189,0.7263610315186246,0.8681948424068768
0.0075,0.7421203438395415,0.9412607449856734,0.9426934097421203,0.9498567335243553,0.166189111747851,0.7679083094555874,0.8510028653295129,0.8681948424068768,0.38968481375358166,0.8724928366762178,0.4498567335243553,0.9297994269340975,0.9398280802292264,0.9441260744985673,0.8510028653295129,0.836676217765043,0.8567335243553008,0.7535816618911175,0.8753581661891118
0.008,0.7636103151862464,0.9455587392550143,0.9441260744985673,0.9555873925501432,0.17478510028653296,0.7736389684813754,0.8638968481375359,0.8710601719197708,0.4197707736389685,0.8796561604584527,0.4670487106017192,0.9369627507163324,0.9455587392550143,0.9498567335243553,0.8667621776504298,0.8510028653295129,0.8696275071633238,0.7765042979942693,0.8796561604584527
0.0085,0.7908309455587392,0.9584527220630372,0.9484240687679083,0.9598853868194842,0.18911174785100288,0.7765042979942693,0.8710601719197708,0.8753581661891118,0.45702005730659023,0.8825214899713467,0.5386819484240688,0.9412607449856734,0.9498567335243553,0.9541547277936963,0.8796561604584527,0.8610315186246418,0.8796561604584527,0.7994269340974212,0.8839541547277937
0.009,0.8065902578796562,0.9627507163323782,0.9527220630372493,0.9613180515759312,0.2034383954154728,0.7836676217765043,0.8782234957020058,0.8825214899713467,0.5315186246418339,0.8853868194842407,0.5444126074498568,0.9441260744985673,0.9527220630372493,0.9570200573065902,0.8868194842406877,0.8739255014326648,0.8882521489971347,0.8180515759312321,0.8896848137535817
0.0095,0.8180515759312321,0.9627507163323782,0.9541547277936963,0.9656160458452722,0.2163323782234957,0.7879656160458453,0.8796561604584527,0.8868194842406877,0.5487106017191977,0.8896848137535817,0.5601719197707736,0.9455587392550143,0.9570200573065902,0.9613180515759312,0.8911174785100286,0.8753581661891118,0.8939828080229226,0.8223495702005731,0.8925501432664756
0.01,0.83810888252149,0.9656160458452722,0.9570200573065902,0.9656160458452722,0.23925501432664756,0.7965616045845272,0.8925501432664756,0.8882521489971347,0.6088825214899714,0.8896848137535817,0.5702005730659025,0.9469914040114613,0.9584527220630372,0.9627507163323782,0.8982808022922636,0.8853868194842407,0.9068767908309455,0.839541547277937,0.8997134670487106
