Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.7217209802012199,0.8501632570850428,0.0004831440154374693,2.555237029601645e-10,1.500316428475733e-07,0.9721945515252293,0.25525070389093135,3.2745233104152684e-08,0.1165121810757778,8.034754344227818e-35,0.0036018139549826296,0.43464332055545796,0.0003048497742657312,0.007829735779886469,0.20864532480844036,0.8691767815706091,1.138436013511118e-06
boeck2019/multi_task,0.7217209802012199,1.0,0.3124440923002839,0.0014785459152290633,1.8636792452353912e-10,2.4411475794187523e-08,0.73458141853769,0.16569959786428293,3.750776998390453e-08,0.17537346594558775,4.4245931844510255e-34,0.0007014814808062219,0.3078612958170685,0.002941939212015603,0.012495176604651688,0.3208038424317378,0.8276231834829857,6.679818119613062e-08
boeck2019/multi_task_hjdb,0.8501632570850428,0.3124440923002839,1.0,0.0001641108375614479,7.701666171879852e-09,4.6081281618692715e-07,0.8276718745715346,0.386040527623817,3.960022267657636e-07,0.08056058612999682,2.3593732449765087e-33,0.004981972093346019,0.5965999842764398,0.0004200152672888173,0.0032264657111946067,0.12875700547507973,0.7469920111322264,4.198476282153777e-07
boeck2020/dar,0.0004831440154374693,0.0014785459152290633,0.0001641108375614479,1.0,6.489872389705501e-21,2.1441076451947623e-15,0.001981999734200706,1.507540618959272e-05,1.2931601071071828e-15,0.06311241063382146,1.8832920683836444e-42,1.9082337678783554e-08,0.00011136428455427634,0.8028327442039392,0.4661054675595723,0.020493001309800994,0.0010680403805304426,3.8880155829767713e-13
davies2009/mirex_qm_tempotracker,2.555237029601645e-10,1.8636792452353912e-10,7.701666171879852e-09,6.489872389705501e-21,1.0,0.6021585680780324,2.331619248146608e-09,1.0450774821033603e-08,0.4540026149560008,1.7647886051787202e-14,5.682485935406444e-19,0.002858997888297907,2.0454840665090898e-07,6.649985107818086e-20,3.096021262428672e-17,4.642991652426208e-13,5.212682778907907e-10,0.5308939782710532
echonest/version_3_2_1,1.500316428475733e-07,2.4411475794187523e-08,4.6081281618692715e-07,2.1441076451947623e-15,0.6021585680780324,1.0,7.269407516427526e-09,3.1993735570993963e-06,0.888536038583402,1.2166756501204308e-12,3.33666872203913e-18,0.0013141507252706591,2.2726461718105916e-08,6.526366803523305e-16,4.931146207632254e-14,1.4871163896945464e-11,1.9447725759606552e-08,0.8916159281674422
gkiokas2012/default,0.9721945515252293,0.73458141853769,0.8276718745715346,0.001981999734200706,2.331619248146608e-09,7.269407516427526e-09,1.0,0.2317116666354992,5.1980374096131066e-08,0.08978083256590773,1.3144269629297156e-34,0.000809690658585139,0.4282027999141461,0.001930139516422696,0.005240135764555756,0.18123442253343397,0.8989928812013889,2.986164278366149e-07
klapuri2006/percival2014,0.25525070389093135,0.16569959786428293,0.386040527623817,1.507540618959272e-05,1.0450774821033603e-08,3.1993735570993963e-06,0.2317116666354992,1.0,1.1763719956968588e-07,0.005306171164681045,1.2613643373426595e-31,0.051108944701004036,0.6882819902434922,2.849516245689648e-05,0.0001468256744881471,0.019789197313957098,0.20042700160191634,8.113998356093518e-06
oliveira2010/ibt,3.2745233104152684e-08,3.750776998390453e-08,3.960022267657636e-07,1.2931601071071828e-15,0.4540026149560008,0.888536038583402,5.1980374096131066e-08,1.1763719956968588e-07,1.0,2.8335763218226656e-12,6.258980308188159e-20,0.004338920072999426,8.145040207094707e-07,1.1630885027231757e-16,4.662798682404945e-14,7.598502703405517e-10,1.7029117250694334e-08,0.9999741073064985
percival2014/stem,0.1165121810757778,0.17537346594558775,0.08056058612999682,0.06311241063382146,1.7647886051787202e-14,1.2166756501204308e-12,0.08978083256590773,0.005306171164681045,2.8335763218226656e-12,1.0,1.905315663495127e-37,6.145198233139206e-06,0.02662686956903772,0.060829538462232415,0.2646816058947925,0.6958788121417633,0.09067931658570799,7.111583462053307e-11
scheirer1998/percival2014,8.034754344227818e-35,4.4245931844510255e-34,2.3593732449765087e-33,1.8832920683836444e-42,5.682485935406444e-19,3.33666872203913e-18,1.3144269629297156e-34,1.2613643373426595e-31,6.258980308188159e-20,1.905315663495127e-37,1.0,1.5882100694299053e-26,1.247617164221746e-32,3.833891928315033e-43,2.5057774527283165e-40,7.965078611461829e-38,2.583358890893172e-34,5.263031088559814e-19
schreiber2014/default,0.0036018139549826296,0.0007014814808062219,0.004981972093346019,1.9082337678783554e-08,0.002858997888297907,0.0013141507252706591,0.000809690658585139,0.051108944701004036,0.004338920072999426,6.145198233139206e-06,1.5882100694299053e-26,1.0,0.0007295391695350543,9.98196373776501e-10,1.0003240610706364e-07,5.682238013352656e-06,0.00044368573961478075,0.0031409575594993095
schreiber2017/ismir2017,0.43464332055545796,0.3078612958170685,0.5965999842764398,0.00011136428455427634,2.0454840665090898e-07,2.2726461718105916e-08,0.4282027999141461,0.6882819902434922,8.145040207094707e-07,0.02662686956903772,1.247617164221746e-32,0.0007295391695350543,1.0,9.086199378594017e-06,0.0005595593174742122,0.03350403688977966,0.32112326079828085,5.575301761737848e-07
schreiber2017/mirex2017,0.0003048497742657312,0.002941939212015603,0.0004200152672888173,0.8028327442039392,6.649985107818086e-20,6.526366803523305e-16,0.001930139516422696,2.849516245689648e-05,1.1630885027231757e-16,0.060829538462232415,3.833891928315033e-43,9.98196373776501e-10,9.086199378594017e-06,1.0,0.41182728162683124,0.0189838092139852,0.0007631009787508567,1.4611764583327261e-13
schreiber2018/cnn,0.007829735779886469,0.012495176604651688,0.0032264657111946067,0.4661054675595723,3.096021262428672e-17,4.931146207632254e-14,0.005240135764555756,0.0001468256744881471,4.662798682404945e-14,0.2646816058947925,2.5057774527283165e-40,1.0003240610706364e-07,0.0005595593174742122,0.41182728162683124,1.0,0.06053680878558622,0.005136921386249211,4.9654098026883966e-12
schreiber2018/fcn,0.20864532480844036,0.3208038424317378,0.12875700547507973,0.020493001309800994,4.642991652426208e-13,1.4871163896945464e-11,0.18123442253343397,0.019789197313957098,7.598502703405517e-10,0.6958788121417633,7.965078611461829e-38,5.682238013352656e-06,0.03350403688977966,0.0189838092139852,0.06053680878558622,1.0,0.1904415089504314,1.5063112943230567e-09
schreiber2018/ismir2018,0.8691767815706091,0.8276231834829857,0.7469920111322264,0.0010680403805304426,5.212682778907907e-10,1.9447725759606552e-08,0.8989928812013889,0.20042700160191634,1.7029117250694334e-08,0.09067931658570799,2.583358890893172e-34,0.00044368573961478075,0.32112326079828085,0.0007631009787508567,0.005136921386249211,0.1904415089504314,1.0,2.2289521013742141e-07
