Estimator,P-Score,One Correct,Both Correct
schreiber2018/cnn,0.9635849189758342,0.9954614220877458,0.6354009077155824
schreiber2018/fcn,0.9571703925410334,0.9939485627836612,0.6157337367624811
schreiber2018/ismir2018,0.9563524846203193,0.9924357034795764,0.6142208774583964
schreiber2017/mirex2017,0.9536732820582076,0.9878971255673222,0.6384266263237519
boeck2019/multi_task_hjdb,0.9465663156890656,0.9924357034795764,0.6006051437216339
schreiber2017/ismir2017,0.9446269968918722,0.9757942511346445,0.6369137670196672
boeck2020/dar,0.9436000566336779,0.983358547655068,0.556732223903177
boeck2019/multi_task,0.9268408080191319,0.983358547655068,0.5642965204236006
schreiber2014/default,0.9118802177635694,0.9531013615733737,0.6021180030257186
boeck2015/tempodetector2016_default,0.8441843364704181,0.9818456883509834,0.31316187594553707
percival2014/stem,0.5908603042398867,0.8956127080181543,0.04084720121028744
davies2009/mirex_qm_tempotracker,0.40598541577314534,0.5506807866868382,0.21482602118003025
