Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0,0.007658381518890444,0.02494673223089317,0.0025865961210036984,0.0007257896117056148,0.00017021534948015538,0.00017021534948015538
1,0.00012021957767228401,0.011408568801404296,0.0038655856212475256,0.0004199334570034057,0.0014635146132338235,0.0014635146132338235
2,0.003622100924291289,0.023272387713125002,0.0014415237820293262,0.0001275042616078735,0.0003311671755580361,0.0003311671755580361
3,0.0,0.013453326682677274,0.002225443147068983,0.0010602293275969608,6.582281108277653e-06,6.582281108277653e-06
4,0.0,0.03617507814770278,0.0019609929066089007,0.00023036869978592092,0.00023036869978592092,0.00023036869978592092
5,0.0,0.013453326682677274,0.002225443147068983,0.0010727858137180616,6.582281108277653e-06,6.582281108277653e-06
6,5.770895582354862e-05,0.025641898207389872,0.003948585822229681,0.0007744327818859543,0.0015131703542137455,0.0015131703542137455
7,8.896893743047978e-05,0.007027057523238901,0.0024100037323030307,0.4135241207538201,0.0015133420951332758,0.0015133420951332758
8,0.0052338416712527595,0.0018687023354040488,0.0018653524074652428,0.0001915934091502731,0.0004699316450781273,0.0004699316450781273
9,0.0179219079972601,0.03702123949900018,0.005548381866877802,0.002840192700842098,0.0025357362728458937,0.0025357362728458937
10,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.003391963245788336,0.002954434518720495,0.002954434518720495
11,1.2813706015259665e-15,0.012045132289870187,0.0010853148002771484,0.0001356197080684819,0.0001356197080684819,0.0001356197080684819
12,1.2022408579252243e-05,0.04402042752224425,0.0009519847914791741,0.0009307237259192343,0.000930818642086602,0.000930818642086602
13,8.008566259537297e-16,0.019104077232526957,0.005026239996700278,0.002138219972409625,0.0015701535913708073,0.0015701535913708073
14,0.007658381518890444,0.02494673223089317,0.0018545135493356734,0.00017021534948015538,0.00017021534948015538,0.00017021534948015538
15,0.004147090680907789,0.03677775084523535,0.002125326917077778,0.4150055164869198,0.0011153298736338614,0.0011153298736338614
16,0.0052338416712566175,0.026113261563374204,0.0018653524074614036,0.001513332126955432,0.001513332126955432,0.001513332126955432
17,3.523769154196405e-15,0.019104077232531384,0.001961956011838409,0.0001354754250066727,0.0001354754250066727,0.0001354754250066727
18,0.00010820618585023425,0.024464721626838652,0.002151579879133837,0.0009891730332848632,0.00046271764182566826,0.00046271764182566826
19,0.006229194243683197,0.004959566159857591,0.002232794675736986,0.00023983131553237136,0.00023983131553237136,0.00023983131553237136
20,0.009926379616802664,0.010347024989425578,0.010347024989425578,0.029286732172083847,0.0006571601834697807,0.0006571601834697807
21,9.136779264099252e-05,0.01243887874272296,0.002977293267216135,0.001835157078711456,0.001835157078711456,0.001835157078711456
22,0.008462735026295862,0.0325654995583278,0.002086924369830109,0.003909303913366054,0.003909303913366054,0.003909303913366054
23,0.00010098511842273605,0.02699547375583894,0.005164609824743349,0.003391918867155962,0.003391918867155962,0.003391918867155962
24,0.006229194243683197,0.004959566159857591,0.002232794675736986,0.00023983131553237136,0.00023983131553237136,0.00023983131553237136
