Estimator,Accuracy1,Accuracy2
schreiber2018/cnn,0.9,1.0
schreiber2018/ismir2018,0.89,1.0
schreiber2017/mirex2017,0.89,1.0
schreiber2017/ismir2017,0.87,1.0
schreiber2018/fcn,0.86,1.0
percival2014/stem,0.85,1.0
schreiber2014/default,0.82,0.96
davies2009/mirex_qm_tempotracker,0.79,0.99
boeck2015/tempodetector2016_default,0.65,1.0
