Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0,0.03648980819824235,0.027611389679336986,0.017900129015361088,4.805364279834213e-05,4.805364279834213e-05,4.805364279834213e-05,0.0,0.0
1,0.4117761172065085,0.014863594839644058,0.0018076653428610822,0.0010411326805336975,0.0004292113199623707,0.41460825692394954,0.41503749927884376,0.41503749927884376
2,0.011599996683792588,0.10655770616766541,0.030940094773480684,0.3582117401144684,0.3582117401144684,0.3582117401144684,0.2630344058337938,0.058893689053568614
3,0.0,0.019104077232527907,0.005026239996700916,0.0010018346101612174,0.0010018346101612174,0.0010018346101612174,0.0,0.0
4,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,0.00038947508426937465,0.00038947508426937465,0.0,0.0
5,0.21799608238297158,0.4538886658481796,0.029433154256774632,0.23350197065086606,0.23098637089646631,0.23098637089646631,0.4088055455673292,0.4088055455673292
6,0.004759307341953563,0.030461985274524088,0.001958375776071256,0.0008282191873643972,0.0008282191873643972,0.0008282191873643972,0.0,0.012490944183196828
7,0.007231569231075703,0.021363042701795433,0.002169980246455213,0.0019368795485902774,0.0019368795485902774,0.0019368795485902774,0.0,0.0
8,0.035623909730721375,0.43867367661149925,0.017823437043903965,0.0011219334675876816,0.0025796855512472887,0.0025796855512472887,0.08453351021166772,0.08453351021166772
9,0.007649883168444964,0.020235488401988754,0.005579639699847006,0.0007175623040156084,0.0007176316298628838,0.0007175623040156084,0.0,0.0
10,0.011587974275211825,0.21126010974085224,0.008320323252511946,0.0007938843176082958,0.0007938843176082958,0.0007938843176082958,0.0,0.0
11,0.011466785225546831,0.004470256281471457,0.030940094773480684,0.02196488212183717,0.02136335996352404,0.02136335996352404,0.0,0.0
12,0.0,0.019104077232527907,0.0019619560118419375,0.00013547542501019682,0.00013547542501019682,0.00013547542501019682,0.0,0.0
13,0.0,0.03617507814770278,0.0022224421620449684,0.0007174421392058368,0.0007174421392058368,0.0007174421392058368,0.0,0.0
14,0.0072315692310758635,0.01063822732732532,0.008221093043072317,0.00024371472564080788,0.00024371472564080788,0.00024371472564080788,0.0,0.0
15,0.014355292977070054,0.0047487842554576176,0.002315883498758304,0.003157741720295561,0.003157741720295561,0.003157741720295561,0.0,0.0
16,0.0006634605961439046,0.009795239268705765,0.009795239268705765,0.006831130965343152,0.006831130965343152,0.006831130965343152,0.016488122788569093,0.0
17,0.11547240844448128,0.0566712468915237,0.10613768986404871,0.1546692193359882,0.44925044710713224,0.44925044710713224,0.08314123530024586,0.08314123530024586
18,0.004764116509774755,0.027611389679336986,0.00013316570391323857,4.805364279834213e-05,4.805364279834213e-05,4.805364279834213e-05,0.0,0.0
19,0.011466785225546831,0.004468748811186093,0.004468748811186093,0.004028182753242732,0.004028182753242732,0.004028182753242732,0.0,0.0
20,0.0,0.019104077232527907,0.008914486345777045,0.0010018346101612174,0.00013547542501019682,0.00013547542501019682,0.0,0.0
21,0.2264724628834924,0.24393032860126607,0.3724087250075936,0.2723009571367349,0.2723009571367349,0.2723009861765636,0.48542682717024166,0.28293396327149856
22,0.4066633979766761,0.4176359614691769,0.41084810088396,0.40941318206796284,0.40999963664099226,0.40999963664099226,0.41008828330711045,0.41008828330711045
23,0.0072315692310758635,0.01063822732732532,0.001961795494258182,0.0008755142984312865,0.0015069092026112005,0.0015069092026112005,0.0,0.0
24,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0001084041545105661,0.0001083011126038656,0.0001083011126038656,0.0,0.0
25,0.015502666816364894,0.03617675311069971,0.004462868488536361,0.005279043711620475,0.005279043711620475,0.005279043711620475,0.0,0.0
26,0.014499569695115169,0.4206225826281817,0.01952580969181604,0.0330161017126824,0.01379507399475686,0.01379507399475686,0.014499569695115169,0.014499569695115169
27,0.0033557948625981735,0.4451171445489303,0.021434943685563135,0.009743260386341344,0.009743260386341344,0.009743260386341344,0.0,0.0
28,0.008931076579744379,0.02619098957508047,0.0015276232851052986,0.00013553726060531836,0.00013545481314590545,0.00013545481314590545,0.0,0.00826761598360044
29,0.4436932157750231,0.30847700149429885,0.4665592576203677,0.16890417407486785,0.16827168774366602,0.16827168774366602,0.12101540096136584,0.12101540096136584
30,0.014487547186347073,0.025908138496508214,0.0007054900427225776,0.0011261957644516894,0.0011261957644516894,0.0011261957644516894,0.0,0.0
31,0.0033389631539520737,0.02363271573964792,0.0005488234655184055,0.0001973894027983882,0.0001973894027983882,0.0001973894027983882,0.0,0.0
32,0.0033389631539520737,0.023636177332655328,0.0005488234655184055,0.0001973894027983882,0.0001973894027983882,0.0001973894027983882,0.0,0.0
33,0.008711096712083578,0.015712650550984537,0.0007617856592848874,0.0002168959423721415,0.0002168959423721415,0.0002168959423721415,0.0,0.0
34,0.0033557948625981735,0.05809346311760366,0.021434943685563135,0.011290348396985592,0.011290348396985592,0.011290348396985592,0.009847785956347206,0.009847785956347206
35,0.010106964845150033,0.0224984662856843,0.030036186799705687,0.012077727452985595,0.013160467407432179,0.013160467407432179,0.0,0.07943446749440491
36,0.011972641666075944,0.0242024364816268,0.0013360055573390763,0.00039888281603520196,0.00039888281603520196,0.00039888281603520196,0.0,0.0
