Estimator,male,female,World,Vocal,Traditional Japanese,Techno,Tango,Soul / R&B,Samba,Romantic (Solo),Romantic (Orchestral),Romantic (Chamber),Rock,Reggae,Rap / Hip-Hop,Popular (Enka),Popular,Modern Jazz,Modern (Solo),Modern (Orchestral),March,Latin,Jazz,Indian,House,Heavy Metal,Gospel,Fusion,Funk,Folk (Min'you),Folk,Flamenco,Dance,Court (Gagaku),Country,Classical,Classic (Solo),Classic (Orchestral),Classic (Chamber),Chanson,Canzone,Brass Band,Bossa Nova,Blues,Big Band,Baroque (Solo),Baroque (Orchestral),Ballade,African,A Cappella,9/8,7/4,6/8,6/4,5/4,4/4,3/8,3/4,3/2,2/4,2/2
boeck2015/tempodetector2016_default,0.8571428571428571,0.64,0.5714285714285714,0.6666666666666666,0.4444444444444444,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.0,0.5,1.0,0.4166666666666667,0.8888888888888888,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.25,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,0.7213114754098361,1.0,0.5454545454545454,1.0,0.4444444444444444,0.7
davies2009/mirex_qm_tempotracker,0.5714285714285714,0.76,0.6190476190476191,0.16666666666666666,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,1.0,0.4166666666666667,0.7777777777777778,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.2857142857142857,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.7049180327868853,0.0,0.36363636363636365,1.0,0.2222222222222222,0.5
percival2014/stem,0.75,0.76,0.6666666666666666,0.0,0.5555555555555556,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5833333333333334,0.8888888888888888,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.9333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.7868852459016393,0.0,0.45454545454545453,1.0,0.4444444444444444,0.7
schreiber2014/default,0.9285714285714286,0.72,0.5238095238095238,0.3333333333333333,0.5555555555555556,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,1.0,0.5833333333333334,0.7777777777777778,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.7540983606557377,0.5,0.36363636363636365,1.0,0.3333333333333333,0.7
schreiber2017/ismir2017,0.7857142857142857,0.72,0.7619047619047619,0.16666666666666666,0.2222222222222222,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,1.0,0.0,0.0,1.0,0.75,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.7704918032786885,0.5,0.45454545454545453,1.0,0.4444444444444444,0.9
schreiber2017/mirex2017,0.75,0.72,0.7619047619047619,0.0,0.2222222222222222,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,1.0,0.0,0.0,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.7377049180327869,0.0,0.45454545454545453,1.0,0.3333333333333333,0.9
