Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0315,0.98,0.88,0.98,0.68,0.86,0.86,0.84,0.84,0.9
0.032,0.98,0.88,0.98,0.7,0.86,0.86,0.84,0.84,0.9
0.0325,0.98,0.88,0.98,0.7,0.86,0.86,0.84,0.84,0.9
0.033,0.98,0.88,0.98,0.7,0.86,0.86,0.84,0.84,0.9
0.0335,0.98,0.88,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.034,0.98,0.88,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.0345,0.98,0.88,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.035,0.98,0.9,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.0355,0.98,0.9,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.036,0.98,0.9,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.0365,0.98,0.9,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.037,0.98,0.9,0.98,0.72,0.86,0.86,0.84,0.86,0.9
0.0375,0.98,0.9,0.98,0.72,0.88,0.88,0.84,0.86,0.9
0.038,0.98,0.9,0.98,0.72,0.88,0.88,0.84,0.86,0.9
0.0385,0.98,0.9,0.98,0.74,0.88,0.88,0.84,0.86,0.9
0.039,0.98,0.9,0.98,0.74,0.88,0.88,0.84,0.86,0.9
0.0395,0.98,0.9,0.98,0.74,0.88,0.88,0.86,0.86,0.9
0.04,0.98,0.9,0.98,0.74,0.88,0.88,0.86,0.86,0.9
0.0405,0.98,0.9,0.98,0.74,0.88,0.88,0.88,0.88,0.92
0.041,0.98,0.9,0.98,0.74,0.88,0.88,0.88,0.88,0.94
0.0415,0.98,0.9,0.98,0.74,0.88,0.88,0.88,0.88,0.94
0.042,0.98,0.9,0.98,0.74,0.88,0.88,0.88,0.9,0.94
0.0425,0.98,0.9,0.98,0.74,0.88,0.88,0.88,0.9,0.94
0.043,0.98,0.9,0.98,0.74,0.88,0.9,0.88,0.9,0.94
0.0435,0.98,0.9,0.98,0.74,0.88,0.9,0.88,0.9,0.94
0.044,0.98,0.9,0.98,0.74,0.88,0.9,0.9,0.9,0.94
0.0445,0.98,0.9,0.98,0.74,0.88,0.9,0.9,0.92,0.94
0.045,0.98,0.9,0.98,0.74,0.88,0.9,0.9,0.92,0.94
0.0455,0.98,0.9,0.98,0.74,0.88,0.9,0.9,0.92,0.94
0.046,0.98,0.9,0.98,0.76,0.88,0.9,0.9,0.92,0.94
0.0465,0.98,0.9,0.98,0.76,0.88,0.9,0.9,0.92,0.94
0.047,0.98,0.9,0.98,0.76,0.88,0.9,0.9,0.92,0.94
0.0475,0.98,0.9,0.98,0.76,0.88,0.9,0.9,0.92,0.94
0.048,0.98,0.9,0.98,0.78,0.88,0.9,0.9,0.92,0.94
0.0485,0.98,0.9,0.98,0.78,0.88,0.9,0.9,0.92,0.94
0.049,0.98,0.9,0.98,0.78,0.88,0.9,0.9,0.92,0.94
0.0495,0.98,0.9,0.98,0.78,0.88,0.9,0.9,0.92,0.94
0.05,0.98,0.9,0.98,0.8,0.88,0.9,0.9,0.92,0.94
