Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.35294117647058826
0.001,0.0784313725490196,0.0,0.0,0.17647058823529413,0.19607843137254902,0.13725490196078433,0.47058823529411764,0.35294117647058826
0.002,0.11764705882352941,0.0392156862745098,0.0,0.23529411764705882,0.2549019607843137,0.19607843137254902,0.47058823529411764,0.35294117647058826
0.003,0.13725490196078433,0.0392156862745098,0.0,0.27450980392156865,0.3137254901960784,0.2549019607843137,0.47058823529411764,0.35294117647058826
0.004,0.13725490196078433,0.09803921568627451,0.0,0.27450980392156865,0.3333333333333333,0.2549019607843137,0.47058823529411764,0.35294117647058826
0.005,0.13725490196078433,0.09803921568627451,0.0,0.3137254901960784,0.37254901960784315,0.27450980392156865,0.47058823529411764,0.35294117647058826
0.006,0.17647058823529413,0.09803921568627451,0.0,0.3333333333333333,0.39215686274509803,0.29411764705882354,0.5098039215686274,0.37254901960784315
0.007,0.19607843137254902,0.09803921568627451,0.0,0.35294117647058826,0.39215686274509803,0.29411764705882354,0.5294117647058824,0.4117647058823529
0.008,0.21568627450980393,0.09803921568627451,0.0,0.35294117647058826,0.4117647058823529,0.3137254901960784,0.5490196078431373,0.43137254901960786
0.009,0.2549019607843137,0.11764705882352941,0.0,0.35294117647058826,0.47058823529411764,0.35294117647058826,0.5490196078431373,0.45098039215686275
0.01,0.27450980392156865,0.11764705882352941,0.0,0.37254901960784315,0.49019607843137253,0.37254901960784315,0.5686274509803921,0.47058823529411764
0.011,0.35294117647058826,0.11764705882352941,0.0,0.37254901960784315,0.49019607843137253,0.37254901960784315,0.5686274509803921,0.47058823529411764
0.012,0.39215686274509803,0.11764705882352941,0.0,0.4117647058823529,0.5098039215686274,0.39215686274509803,0.5686274509803921,0.5098039215686274
0.013,0.39215686274509803,0.13725490196078433,0.0,0.45098039215686275,0.5098039215686274,0.39215686274509803,0.6274509803921569,0.5882352941176471
0.014,0.4117647058823529,0.1568627450980392,0.0,0.47058823529411764,0.5098039215686274,0.39215686274509803,0.6666666666666666,0.6078431372549019
0.015,0.4117647058823529,0.1568627450980392,0.0,0.49019607843137253,0.5098039215686274,0.39215686274509803,0.6666666666666666,0.6274509803921569
0.016,0.4117647058823529,0.17647058823529413,0.0,0.49019607843137253,0.5098039215686274,0.39215686274509803,0.6666666666666666,0.6274509803921569
0.017,0.4117647058823529,0.19607843137254902,0.0,0.49019607843137253,0.5098039215686274,0.39215686274509803,0.7058823529411765,0.6666666666666666
0.018,0.4117647058823529,0.19607843137254902,0.0,0.49019607843137253,0.5098039215686274,0.39215686274509803,0.7058823529411765,0.6862745098039216
0.019,0.4117647058823529,0.21568627450980393,0.0,0.5098039215686274,0.5294117647058824,0.4117647058823529,0.7254901960784313,0.7058823529411765
0.02,0.4117647058823529,0.23529411764705882,0.0,0.5098039215686274,0.5294117647058824,0.4117647058823529,0.7254901960784313,0.7058823529411765
0.021,0.4117647058823529,0.23529411764705882,0.0,0.5294117647058824,0.5294117647058824,0.4117647058823529,0.7450980392156863,0.7058823529411765
0.022,0.4117647058823529,0.27450980392156865,0.0,0.5294117647058824,0.5294117647058824,0.4117647058823529,0.7450980392156863,0.7058823529411765
0.023,0.4117647058823529,0.27450980392156865,0.0,0.5490196078431373,0.5294117647058824,0.4117647058823529,0.7450980392156863,0.7058823529411765
0.024,0.4117647058823529,0.29411764705882354,0.0,0.5490196078431373,0.5490196078431373,0.4117647058823529,0.7450980392156863,0.7058823529411765
0.025,0.4117647058823529,0.29411764705882354,0.0,0.5490196078431373,0.5490196078431373,0.4117647058823529,0.7450980392156863,0.7058823529411765
0.026,0.4117647058823529,0.4117647058823529,0.0,0.5490196078431373,0.5686274509803921,0.43137254901960786,0.7450980392156863,0.7058823529411765
0.027,0.43137254901960786,0.4117647058823529,0.0,0.5490196078431373,0.5686274509803921,0.43137254901960786,0.7450980392156863,0.7058823529411765
0.028,0.45098039215686275,0.4117647058823529,0.0,0.5490196078431373,0.5686274509803921,0.43137254901960786,0.7450980392156863,0.7254901960784313
0.029,0.45098039215686275,0.43137254901960786,0.0,0.5490196078431373,0.5686274509803921,0.43137254901960786,0.7450980392156863,0.7254901960784313
0.03,0.45098039215686275,0.45098039215686275,0.0,0.5490196078431373,0.5882352941176471,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.031,0.45098039215686275,0.45098039215686275,0.0,0.5686274509803921,0.5882352941176471,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.032,0.45098039215686275,0.45098039215686275,0.0,0.5686274509803921,0.5882352941176471,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.033,0.45098039215686275,0.45098039215686275,0.0,0.5882352941176471,0.5882352941176471,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.034,0.45098039215686275,0.45098039215686275,0.0,0.5882352941176471,0.5882352941176471,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.035,0.45098039215686275,0.45098039215686275,0.0,0.6078431372549019,0.6078431372549019,0.45098039215686275,0.7450980392156863,0.7254901960784313
0.036,0.47058823529411764,0.5098039215686274,0.0,0.6078431372549019,0.6078431372549019,0.45098039215686275,0.7647058823529411,0.7254901960784313
0.037,0.47058823529411764,0.5098039215686274,0.0,0.6078431372549019,0.6078431372549019,0.45098039215686275,0.7647058823529411,0.7254901960784313
