Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,0.00390625,1.0,1.7763568394002505e-15,1.0,0.0625,0.125,0.125,1.0,1.0,0.5
boeck2019/multi_task,0.00390625,1.0,0.00390625,5.805322444984992e-09,0.00390625,0.4239501953124999,0.26684570312499983,0.26684570312499983,0.00390625,0.00390625,0.06542968749999997
boeck2019/multi_task_hjdb,1.0,0.00390625,1.0,1.7763568394002505e-15,1.0,0.0625,0.125,0.125,1.0,1.0,0.5
davies2009/mirex_qm_tempotracker,1.7763568394002505e-15,5.805322444984992e-09,1.7763568394002505e-15,1.0,1.7763568394002505e-15,7.053979622639873e-11,1.0426770558069612e-11,1.0426770558069612e-11,1.7763568394002505e-15,1.7763568394002505e-15,7.105427357601002e-15
percival2014/stem,1.0,0.00390625,1.0,1.7763568394002505e-15,1.0,0.0625,0.125,0.125,1.0,1.0,0.5
schreiber2014/default,0.0625,0.4239501953124999,0.0625,7.053979622639873e-11,0.0625,1.0,1.0,1.0,0.0625,0.0625,0.4531249999999996
schreiber2017/ismir2017,0.125,0.26684570312499983,0.125,1.0426770558069612e-11,0.125,1.0,1.0,1.0,0.125,0.125,0.6875000000000002
schreiber2017/mirex2017,0.125,0.26684570312499983,0.125,1.0426770558069612e-11,0.125,1.0,1.0,1.0,0.125,0.125,0.6875000000000002
schreiber2018/cnn,1.0,0.00390625,1.0,1.7763568394002505e-15,1.0,0.0625,0.125,0.125,1.0,1.0,0.5
schreiber2018/fcn,1.0,0.00390625,1.0,1.7763568394002505e-15,1.0,0.0625,0.125,0.125,1.0,1.0,0.5
schreiber2018/ismir2018,0.5,0.06542968749999997,0.5,7.105427357601002e-15,0.5,0.4531249999999996,0.6875000000000002,0.6875000000000002,0.5,0.5,1.0
