Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,0.25,0.25,0.015625,0.125,1.0,3.0517578125e-05,1.0,0.25,0.0625,0.5,0.125
boeck2019/multi_task,0.25,1.0,1.0,0.2890624999999999,0.9999999999999998,0.25,0.0009765624999999998,0.625,1.0,0.625,1.0,1.0
boeck2019/multi_task_hjdb,0.25,1.0,1.0,0.2890624999999999,0.9999999999999998,0.25,0.0009765624999999998,0.625,1.0,0.625,1.0,1.0
boeck2020/dar,0.015625,0.2890624999999999,0.2890624999999999,1.0,0.548828125,0.015625,0.035156250000000014,0.0703125,0.3437499999999999,0.7539062500000002,0.125,0.5078125
davies2009/mirex_qm_tempotracker,0.125,0.9999999999999998,0.9999999999999998,0.548828125,1.0,0.125,0.004180908203124999,0.25,1.0,0.9999999999999998,0.625,1.0
percival2014/stem,1.0,0.25,0.25,0.015625,0.125,1.0,3.0517578125e-05,1.0,0.25,0.0625,0.5,0.125
schreiber2014/default,3.0517578125e-05,0.0009765624999999998,0.0009765624999999998,0.035156250000000014,0.004180908203124999,3.0517578125e-05,1.0,6.103515625e-05,0.0009765624999999998,0.0009765625,0.0001220703125,0.0018310546875000002
schreiber2017/ismir2017,1.0,0.625,0.625,0.0703125,0.25,1.0,6.103515625e-05,1.0,0.5,0.21875000000000003,1.0,0.375
schreiber2017/mirex2017,0.25,1.0,1.0,0.3437499999999999,1.0,0.25,0.0009765624999999998,0.5,1.0,0.6875000000000002,1.0,1.0
schreiber2018/cnn,0.0625,0.625,0.625,0.7539062500000002,0.9999999999999998,0.0625,0.0009765625,0.21875000000000003,0.6875000000000002,1.0,0.375,1.0
schreiber2018/fcn,0.5,1.0,1.0,0.125,0.625,0.5,0.0001220703125,1.0,1.0,0.375,1.0,0.625
schreiber2018/ismir2018,0.125,1.0,1.0,0.5078125,1.0,0.125,0.0018310546875000002,0.375,1.0,1.0,0.625,1.0
