Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0.0,0.019667170953101363,0.0030257186081694403,0.0030257186081694403,0.0,0.0,0.0,0.0,0.0,0.0,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.0005,0.03328290468986384,0.03328290468986384,0.046898638426626324,0.0226928895612708,0.015128593040847202,0.04236006051437216,0.14674735249621784,0.1875945537065053,0.2329803328290469,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.001,0.036308623298033284,0.060514372163388806,0.07110438729198185,0.05143721633888049,0.015128593040847202,0.07110438729198185,0.16036308623298035,0.18910741301059,0.23600605143721634,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.0015,0.036308623298033284,0.08472012102874432,0.10136157337367625,0.0832072617246596,0.015128593040847202,0.11195158850226929,0.16036308623298035,0.19213313161875945,0.23903177004538578,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.002,0.04236006051437216,0.10892586989409984,0.13313161875945537,0.09833585476550681,0.03177004538577912,0.14523449319213314,0.16187594553706505,0.19364599092284418,0.2405446293494705,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.0025,0.0453857791225416,0.12859304084720122,0.14674735249621784,0.1361573373676248,0.03177004538577912,0.14674735249621784,0.1664145234493192,0.1951588502269289,0.24205748865355523,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.003,0.06354009077155824,0.15431164901664146,0.16338880484114976,0.1800302571860817,0.03177004538577912,0.14674735249621784,0.17095310136157338,0.19969742813918306,0.24659606656580937,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.0035,0.09531013615733737,0.17095310136157338,0.17397881996974282,0.2314674735249622,0.039334341906202726,0.15128593040847202,0.17246596066565809,0.20121028744326777,0.2481089258698941,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.004,0.2617246596066566,0.19364599092284418,0.19364599092284418,0.28290468986384265,0.0529500756429652,0.16187594553706505,0.17700453857791226,0.20574886535552195,0.2526475037821483,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.0045,0.291981845688351,0.21482602118003025,0.2087745839636914,0.3691376701966717,0.059001512859304085,0.1649016641452345,0.1800302571860817,0.2087745839636914,0.2556732223903177,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
0.005,0.29954614220877457,0.2314674735249622,0.22995461422087746,0.4130105900151286,0.06959152798789713,0.1800302571860817,0.18910741301059,0.2178517397881997,0.264750378214826,0.2813918305597579,0.3040847201210287,0.26626323751891073,0.264750378214826
