Estimator,Waltz,VienneseWaltz,Tango,Samba,Rumba-Misc,Rumba-International,Rumba-American,Quickstep,Jive,ChaChaCha
boeck2015/tempodetector2016_default,0.9,0.9846153846153847,0.9418604651162791,0.9651162790697675,0.95,0.9411764705882353,0.8571428571428571,0.9512195121951219,1.0,0.9819819819819819
boeck2019/multi_task,0.9090909090909091,1.0,0.9767441860465116,0.9534883720930233,0.975,0.8823529411764706,0.8571428571428571,0.9390243902439024,1.0,0.9459459459459459
boeck2019/multi_task_hjdb,0.9090909090909091,1.0,0.9767441860465116,0.9534883720930233,0.95,0.8823529411764706,0.8571428571428571,0.926829268292683,1.0,0.9459459459459459
davies2009/mirex_qm_tempotracker,0.7,0.8,0.9651162790697675,0.9534883720930233,0.925,0.9411764705882353,0.7142857142857143,0.9146341463414634,1.0,0.963963963963964
echonest/version_3_2_1,0.38181818181818183,0.8615384615384616,0.9534883720930233,0.9418604651162791,0.85,0.8823529411764706,0.8571428571428571,0.8902439024390244,0.9833333333333333,0.9819819819819819
gkiokas2012/default,0.8636363636363636,0.9846153846153847,0.9651162790697675,0.9534883720930233,0.925,0.9411764705882353,0.7142857142857143,0.926829268292683,1.0,0.9819819819819819
klapuri2006/percival2014,0.6272727272727273,0.8307692307692308,0.9767441860465116,0.9767441860465116,0.925,0.9411764705882353,0.8571428571428571,0.9512195121951219,1.0,0.9819819819819819
oliveira2010/ibt,0.5909090909090909,0.8769230769230769,0.9651162790697675,0.9534883720930233,0.925,0.9215686274509803,0.5714285714285714,0.8780487804878049,0.9666666666666667,0.972972972972973
percival2014/stem,0.7090909090909091,0.9230769230769231,0.9767441860465116,0.9651162790697675,0.95,0.9411764705882353,0.8571428571428571,0.926829268292683,1.0,0.9819819819819819
scheirer1998/percival2014,0.5454545454545454,0.676923076923077,0.9186046511627907,0.5930232558139535,0.8,0.5294117647058824,0.8571428571428571,0.8292682926829268,0.9166666666666666,0.8288288288288288
schreiber2014/default,0.8272727272727273,0.8923076923076924,0.9767441860465116,0.9767441860465116,0.95,0.9411764705882353,0.8571428571428571,0.9512195121951219,0.9833333333333333,0.9819819819819819
schreiber2017/ismir2017,0.8545454545454545,0.9538461538461539,0.9767441860465116,0.9767441860465116,0.95,0.9411764705882353,0.8571428571428571,0.9512195121951219,0.9833333333333333,0.9819819819819819
schreiber2017/mirex2017,0.8909090909090909,0.9384615384615385,0.9767441860465116,0.9767441860465116,0.95,0.9411764705882353,0.8571428571428571,0.9512195121951219,0.9833333333333333,0.9819819819819819
schreiber2018/cnn,0.9090909090909091,0.9538461538461539,0.9883720930232558,0.9651162790697675,0.95,0.9411764705882353,0.8571428571428571,0.9390243902439024,1.0,0.9819819819819819
schreiber2018/fcn,0.9090909090909091,0.9846153846153847,0.9883720930232558,0.9651162790697675,0.95,0.9411764705882353,0.8571428571428571,0.9512195121951219,1.0,0.9819819819819819
schreiber2018/ismir2018,0.9272727272727272,0.9692307692307692,0.9767441860465116,0.9651162790697675,0.95,0.9411764705882353,0.8571428571428571,0.9390243902439024,1.0,0.9819819819819819
zplane/auftakt_v3,0.7090909090909091,0.9384615384615385,0.9767441860465116,0.9534883720930233,0.975,0.9411764705882353,0.8571428571428571,0.926829268292683,1.0,0.9819819819819819
