Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.0,-0.01430528041586515,-0.008391991606841414,0.01909933150174009,-0.012373526130382215,-0.009648233531608335,-0.010030258892285033,-0.010030258892285033,-0.009650170033719367,-0.009650170033719367,-0.009650170033719367
1,0.0,0.0017085672591064937,-0.00018996577035672573,0.44454214727410046,0.0009399623828998066,0.0009187962335072223,0.0009187013173399493,0.0009187962335072223,0.0009494538288642538,0.0009494538288642538,0.0009494538288642538
2,0.0,0.021674614216868077,0.015540850895778346,0.44764293040967823,0.015797548227653203,0.016311709371978997,0.016311709371978997,0.016311709371978997,0.019152104448157115,0.019152104448157115,0.019152104448157115
3,0.0,0.0031992757641890733,0.009399853422311772,0.4395214569678026,0.00542214632221364,-0.019339416355677708,-0.019339506523703545,-0.019339506523703545,0.0074539705389033905,-0.0014241808075495107,-0.0014241808075495107
4,0.0,-0.06762336622127388,-0.0028353606151401227,0.4178992161038757,-0.006313076608847781,-0.005583106229089789,-0.005221285750572602,-0.005221285750572602,-0.0081552415475781,-0.0081552415475781,-0.0081552415475781
5,0.0,-0.04117875616284416,-0.004074065670231229,0.43096715299292704,0.006163733886777844,0.003017957299232626,0.003017957299232626,0.003017957299232626,0.0028536549208387062,0.0028536549208387062,0.0028536549208387062
6,0.0,-0.011927717097206842,0.007745909930117597,0.03260543113083455,0.01023761810238005,0.008453632978588197,0.008453632978588197,0.008453632978588197,0.010106964845150328,0.010106964845150328,0.010106964845150328
7,-0.018402573831461287,-0.027931637806861375,-0.01650429060904814,0.3975796335610701,-0.017462611448561507,-0.018232480710800532,-0.017858080585871114,-0.017858080585871114,-0.017453120002596845,-0.017453120002596845,-0.017453120002596845
8,0.0,0.010732106117764246,0.004513377190691033,0.01909933150174009,0.003276004410550914,0.0013806715437524287,0.0013806715437524287,0.0013806715437524287,0.0,0.0,0.0
9,0.0,0.0213157311152278,0.006549210524678608,0.02560583128220377,0.003912518897043466,0.004797590499414862,0.004797590499414862,0.004797590499414862,0.010743771828055193,0.0014059072487190615,0.0014059072487190615
