Estimator,Male,Hi-hat only,Guitar,Female,English vocals,Drum sequences,Bass,4/4,3/4
boeck2015/tempodetector2016_default,0.8,1.0,0.8333333333333334,0.9,0.8,0.8666666666666667,1.0,0.8333333333333334,1.0
davies2009/mirex_qm_tempotracker,0.8,0.8333333333333334,0.75,0.7,0.8,0.7333333333333333,0.75,0.6666666666666666,1.0
percival2014/stem,0.8,1.0,0.8333333333333334,0.9,0.8,0.8666666666666667,1.0,0.8333333333333334,1.0
schreiber2014/default,0.8,1.0,0.8333333333333334,0.7,0.7,0.7333333333333333,1.0,0.75,0.6666666666666666
schreiber2017/ismir2017,0.8,1.0,0.8333333333333334,0.8,0.7,0.8,1.0,0.8333333333333334,0.6666666666666666
schreiber2017/mirex2017,0.8,1.0,0.8333333333333334,0.8,0.7,0.8,1.0,0.8333333333333334,0.6666666666666666
