Estimator,Waltz,VienneseWaltz,Tango,Samba,Rumba-Misc,Rumba-International,Rumba-American,Quickstep,Jive,ChaChaCha
boeck2015/tempodetector2016_default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boeck2019/multi_task,0.9818181818181818,1.0,1.0,0.9651162790697675,1.0,0.9411764705882353,1.0,0.9878048780487805,1.0,0.963963963963964
boeck2019/multi_task_hjdb,0.9727272727272728,1.0,1.0,0.9651162790697675,1.0,0.9411764705882353,1.0,0.9878048780487805,1.0,0.963963963963964
boeck2020/dar,0.9818181818181818,1.0,1.0,0.9651162790697675,1.0,0.9411764705882353,1.0,0.9878048780487805,1.0,0.963963963963964
davies2009/mirex_qm_tempotracker,0.7,0.8307692307692308,0.9651162790697675,0.9767441860465116,0.975,1.0,0.8571428571428571,0.975609756097561,1.0,1.0
echonest/version_3_2_1,0.41818181818181815,0.8615384615384616,0.9883720930232558,0.9651162790697675,0.9,0.9411764705882353,1.0,0.9634146341463414,0.9833333333333333,1.0
gkiokas2012/default,0.9363636363636364,0.9692307692307692,1.0,0.9767441860465116,0.975,1.0,1.0,0.9878048780487805,1.0,1.0
klapuri2006/percival2014,0.6545454545454545,0.8307692307692308,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0
oliveira2010/ibt,0.6454545454545455,0.8461538461538461,0.9883720930232558,0.9651162790697675,0.95,1.0,0.8571428571428571,0.9146341463414634,0.9666666666666667,1.0
percival2014/stem,0.7727272727272727,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0
scheirer1998/percival2014,0.5909090909090909,0.676923076923077,0.9302325581395349,0.6162790697674418,0.85,0.5490196078431373,1.0,0.8902439024390244,0.9166666666666666,0.8288288288288288
schreiber2014/default,0.9,0.8923076923076924,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2017/ismir2017,0.9363636363636364,0.9538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2017/mirex2017,0.9727272727272728,0.9384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,1.0
schreiber2018/cnn,0.9818181818181818,0.9538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schreiber2018/fcn,0.9727272727272728,0.9846153846153847,1.0,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,1.0,1.0
schreiber2018/ismir2018,1.0,0.9692307692307692,1.0,0.9883720930232558,1.0,1.0,1.0,0.9878048780487805,1.0,1.0
zplane/auftakt_v3,0.7727272727272727,0.9384615384615385,1.0,0.9534883720930233,1.0,1.0,1.0,0.9878048780487805,1.0,1.0
