T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
66.0,0.5,0.6,0.6,0.6,0.0,0.8,0.9,0.8,0.8,0.9,0.9
67.0,0.5,0.6,0.6,0.6,0.0,0.8,0.9,0.8,0.8,0.9,0.9
68.0,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091
69.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666
70.0,0.5,0.75,0.75,0.75,0.0,0.875,0.9375,0.875,0.875,0.9375,0.9375
71.0,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.0,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444
72.0,0.4,0.8,0.8,0.75,0.0,0.9,0.95,0.9,0.9,0.95,0.95
73.0,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.6818181818181818,0.0,0.8636363636363636,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.9545454545454546
74.0,0.34782608695652173,0.8260869565217391,0.8260869565217391,0.6956521739130435,0.0,0.8695652173913043,0.9565217391304348,0.9130434782608695,0.9130434782608695,0.9565217391304348,0.9565217391304348
75.0,0.27586206896551724,0.7931034482758621,0.8275862068965517,0.5862068965517241,0.0,0.896551724137931,0.9310344827586207,0.896551724137931,0.896551724137931,0.9655172413793104,0.896551724137931
76.0,0.29411764705882354,0.7941176470588235,0.8235294117647058,0.5,0.0,0.9117647058823529,0.9411764705882353,0.9117647058823529,0.8823529411764706,0.9411764705882353,0.8823529411764706
77.0,0.3333333333333333,0.8222222222222222,0.8666666666666667,0.37777777777777777,0.0,0.9333333333333333,0.9555555555555556,0.9333333333333333,0.9111111111111111,0.9555555555555556,0.9111111111111111
78.0,0.3404255319148936,0.8085106382978723,0.851063829787234,0.3617021276595745,0.0,0.9361702127659575,0.9574468085106383,0.9361702127659575,0.8936170212765957,0.9361702127659575,0.8936170212765957
79.0,0.3333333333333333,0.8125,0.8541666666666666,0.3541666666666667,0.0,0.9375,0.9583333333333334,0.9375,0.8958333333333334,0.9375,0.8958333333333334
80.0,0.3333333333333333,0.803921568627451,0.8431372549019608,0.3137254901960784,0.0,0.9411764705882353,0.9607843137254902,0.9411764705882353,0.9019607843137255,0.9019607843137255,0.9019607843137255
81.0,0.30612244897959184,0.7959183673469388,0.8367346938775511,0.2857142857142857,0.0,0.9387755102040817,0.9591836734693877,0.9387755102040817,0.8979591836734694,0.8979591836734694,0.8979591836734694
82.0,0.30434782608695654,0.8260869565217391,0.8913043478260869,0.2826086956521739,0.0,0.9565217391304348,0.9782608695652174,0.9565217391304348,0.9347826086956522,0.9130434782608695,0.9130434782608695
83.0,0.2978723404255319,0.8085106382978723,0.8723404255319149,0.2765957446808511,0.0,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9361702127659575,0.8936170212765957,0.9148936170212766
84.0,0.2978723404255319,0.8085106382978723,0.8723404255319149,0.2765957446808511,0.0,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9361702127659575,0.8936170212765957,0.9148936170212766
