Estimator,wide dynamic range,ternary meter,tempo discontinuity,strong syncopation,slow tempo,rich ornamentation in the interpretation,quiet accompaniment,poor sound quality,pauses,none,no repetition,missing bass,low familiarity with the song/style,lack of transient sounds,lack of harmonic change,gradual tempo change,expressive timing,excerpt is the introduction of the song,changing time signature,cd skips,beat phase ambiguity,ambiguity of metrical level,acapella
boeck2015/tempodetector2016_default,0.3076923076923077,0.44285714285714284,0.42857142857142855,0.4166666666666667,0.5211267605633803,0.28,0.46808510638297873,0.3333333333333333,0.30303030303030304,0.6842105263157895,0.5,0.4722222222222222,0.21739130434782608,0.4714285714285714,0.5714285714285714,0.4909090909090909,0.3709677419354839,0.36363636363636365,0.14285714285714285,1.0,0.36363636363636365,0.2857142857142857,0.0
boeck2019/multi_task,0.23076923076923078,0.34285714285714286,0.2857142857142857,0.4583333333333333,0.4507042253521127,0.28,0.5106382978723404,0.42857142857142855,0.3939393939393939,0.5789473684210527,0.16666666666666666,0.4166666666666667,0.34782608695652173,0.44285714285714284,0.2857142857142857,0.4,0.3629032258064516,0.4090909090909091,0.21428571428571427,1.0,0.2727272727272727,0.21428571428571427,1.0
boeck2019/multi_task_hjdb,0.23076923076923078,0.3,0.2619047619047619,0.4166666666666667,0.4788732394366197,0.32,0.5531914893617021,0.2857142857142857,0.3333333333333333,0.631578947368421,0.16666666666666666,0.4305555555555556,0.21739130434782608,0.4857142857142857,0.2857142857142857,0.32727272727272727,0.3467741935483871,0.2727272727272727,0.21428571428571427,1.0,0.18181818181818182,0.21428571428571427,0.0
davies2009/mirex_qm_tempotracker,0.07692307692307693,0.1,0.09523809523809523,0.16666666666666666,0.028169014084507043,0.04,0.0,0.0,0.030303030303030304,0.631578947368421,0.0,0.08333333333333333,0.043478260869565216,0.05714285714285714,0.0,0.05454545454545454,0.07258064516129033,0.09090909090909091,0.0,0.0,0.36363636363636365,0.21428571428571427,0.0
percival2014/stem,0.07692307692307693,0.12857142857142856,0.2619047619047619,0.25,0.16901408450704225,0.16,0.23404255319148937,0.19047619047619047,0.12121212121212122,0.6842105263157895,0.16666666666666666,0.19444444444444445,0.08695652173913043,0.2,0.14285714285714285,0.18181818181818182,0.18548387096774194,0.2727272727272727,0.14285714285714285,1.0,0.09090909090909091,0.07142857142857142,0.0
schreiber2014/default,0.07692307692307693,0.18571428571428572,0.23809523809523808,0.4583333333333333,0.29577464788732394,0.28,0.3617021276595745,0.14285714285714285,0.30303030303030304,0.631578947368421,0.16666666666666666,0.3194444444444444,0.21739130434782608,0.24285714285714285,0.14285714285714285,0.32727272727272727,0.2903225806451613,0.22727272727272727,0.21428571428571427,1.0,0.18181818181818182,0.07142857142857142,0.0
schreiber2017/ismir2017,0.15384615384615385,0.2,0.2619047619047619,0.5,0.2676056338028169,0.24,0.3191489361702128,0.23809523809523808,0.24242424242424243,0.631578947368421,0.5,0.2777777777777778,0.21739130434782608,0.2571428571428571,0.42857142857142855,0.34545454545454546,0.28225806451612906,0.36363636363636365,0.21428571428571427,1.0,0.36363636363636365,0.21428571428571427,0.0
schreiber2017/mirex2017,0.07692307692307693,0.35714285714285715,0.38095238095238093,0.4583333333333333,0.4225352112676056,0.28,0.44680851063829785,0.23809523809523808,0.36363636363636365,0.7368421052631579,0.3333333333333333,0.4305555555555556,0.17391304347826086,0.4142857142857143,0.5714285714285714,0.45454545454545453,0.3467741935483871,0.3181818181818182,0.21428571428571427,0.0,0.36363636363636365,0.21428571428571427,0.0
schreiber2018/cnn,0.23076923076923078,0.17142857142857143,0.30952380952380953,0.5,0.23943661971830985,0.12,0.3617021276595745,0.047619047619047616,0.18181818181818182,0.631578947368421,0.0,0.2916666666666667,0.08695652173913043,0.18571428571428572,0.14285714285714285,0.34545454545454546,0.24193548387096775,0.22727272727272727,0.07142857142857142,1.0,0.36363636363636365,0.14285714285714285,0.0
schreiber2018/fcn,0.15384615384615385,0.2,0.2619047619047619,0.5416666666666666,0.2535211267605634,0.32,0.3829787234042553,0.23809523809523808,0.21212121212121213,0.7894736842105263,0.0,0.2361111111111111,0.21739130434782608,0.21428571428571427,0.2857142857142857,0.36363636363636365,0.2903225806451613,0.36363636363636365,0.07142857142857142,1.0,0.18181818181818182,0.2857142857142857,0.0
schreiber2018/ismir2018,0.15384615384615385,0.11428571428571428,0.30952380952380953,0.5,0.19718309859154928,0.24,0.2553191489361702,0.14285714285714285,0.15151515151515152,0.631578947368421,0.16666666666666666,0.2222222222222222,0.0,0.2,0.14285714285714285,0.23636363636363636,0.23387096774193547,0.22727272727272727,0.14285714285714285,1.0,0.45454545454545453,0.21428571428571427,0.0
