Estimator,Rock,Pop,International,Instrumental,Hip-Hop,Folk,Experimental,Electronic
boeck2015/tempodetector2016_default,0.6246246246246246,0.587,0.538,0.498,0.512,0.546,0.3123123123123123,0.5065065065065065
davies2009/mirex_qm_tempotracker,0.5985985985985987,0.559,0.454,0.471,0.264,0.462,0.28128128128128127,0.5435435435435435
percival2014/stem,0.012012012012012012,0.015,0.014,0.011,0.005,0.016,0.02002002002002002,0.004004004004004004
schreiber2014/default,0.7627627627627628,0.729,0.679,0.581,0.798,0.645,0.3863863863863864,0.7147147147147147
schreiber2017/ismir2017,0.7607607607607607,0.741,0.679,0.595,0.765,0.639,0.38538538538538536,0.7337337337337337
schreiber2017/mirex2017,0.7627627627627628,0.726,0.665,0.592,0.703,0.622,0.37737737737737737,0.7287287287287287
schreiber2018/cnn,0.7887887887887888,0.756,0.7,0.63,0.709,0.674,0.43543543543543545,0.7507507507507507
schreiber2018/fcn,0.7817817817817818,0.719,0.697,0.619,0.713,0.642,0.44644644644644643,0.7367367367367368
