Estimator,trance,techno,tech-house,reggae-dub,psy-trance,progressive-house,pop-rock,minimal,indie-dance-nu-disco,house,hip-hop,hardcore-hard-techno,hard-dance,glitch-hop,funk-r-and-b,electronica,electro-house,dubstep,drum-and-bass,dj-tools,deep-house,chill-out,breaks
boeck2015/tempodetector2016_default,0.9109840386311706,0.9129683563792,0.9792607709251656,0.6902066929133859,0.9692943860103973,0.9251502796398684,0.8033033033033034,0.9536142135939276,0.8774182811763483,0.9510956582193885,0.9268292682926829,0.993618301833716,0.928743800774583,0.802650852930747,0.11728395061728394,0.8225610122294515,0.8821455598241573,0.7727281884531054,0.7063399872119787,0.6403410505636107,0.94011169558719,0.8875512210737423,0.8782327555463236
boeck2019/multi_task,0.9415762494375526,0.9351977377845626,0.9705333583632743,0.6902066929133859,0.9876052950803792,0.9485264573504769,1.0,0.9520527144268338,0.9375913316999355,0.9760736878691532,1.0,0.9858613529002965,0.928743800774583,0.9172420314699357,1.0,0.8702349764144244,0.9608395695462238,0.8633121572005262,0.9301788691463645,0.7198709516960382,0.9715800558870119,0.9477812471201748,0.9149888790189602
boeck2019/multi_task_hjdb,0.9485682555482595,0.9310049597747558,0.976874911730066,0.6902066929133859,0.9890165756419869,0.9485264573504769,1.0,0.9481867350453905,0.959414036358461,0.978361292946096,1.0,0.993618301833716,0.928743800774583,0.9388322060012866,1.0,0.9024056725668246,0.9748607136559978,0.9291959564545349,0.9533759506978285,0.7328439246690113,0.9660158736923949,0.9781639619820626,0.9616488095830396
boeck2020/dar,0.9341296689534812,0.9491313930446583,0.9611543386039959,1.0,0.9816149771059427,0.9459632013150998,1.0,0.9429219937698189,0.9556879765045699,0.9747118194158892,1.0,0.9858613529002965,0.9921099568650278,0.941244889824816,1.0,0.8945839492064237,0.9589992291055307,0.9081978236836704,0.9621350644156096,0.6990063450511769,0.960467204593496,0.9802592861267623,0.9332959340208759
davies2009/mirex_qm_tempotracker,0.2286166324463065,0.605395620933551,0.7315155733523081,0.5,0.3810117585922295,0.6453081989120445,0.8033033033033034,0.7851681957186545,0.5877152423190755,0.3644763361580527,0.0,0.1958850907709606,0.43663384390955506,0.5094549471249683,1.0,0.3797194797380867,0.6605102697545367,0.4007293648978525,0.20220562978130585,0.4305480063016643,0.7864178538440147,0.7441755112087709,0.24792402320161308
percival2014/stem,0.6934985400622695,0.7867528814328973,0.9499692870963637,0.2505622572071151,0.7896899943690051,0.6781186591460446,0.6919032166106288,0.8882583852071277,0.8571703472920508,0.7048393047194562,0.6614051037682613,0.1568423682917282,0.5927567479927018,0.6191932525315174,0.11728395061728394,0.5931362607984858,0.5809941312535233,0.5677823542854891,0.2855189593195697,0.32355028918202955,0.9189187298023139,0.5917612223998502,0.6309645450501867
schreiber2014/default,0.9061459190253418,0.9464458366144947,0.9743491393440405,1.0,0.9323111774333207,0.9669299259261628,1.0,0.9481867350453905,0.9706940352952625,0.7745331913112474,1.0,0.9221897304051446,0.9304761129554728,0.9263951994881631,1.0,0.94955447202158,0.8952681837704491,0.9058719899209509,0.8721302292069977,0.6398849946944636,0.9622940641179906,0.9522967539472393,0.9474857897170744
schreiber2017/ismir2017,0.9543536803360834,0.9164863574387788,0.9820358451970335,1.0,0.9323111774333207,0.9669299259261628,1.0,0.9522154516997994,0.9706940352952625,0.8989482154653158,1.0,0.993618301833716,0.928743800774583,0.9233736836698514,1.0,0.9488107084401065,0.9529690866040954,0.9087693354179895,0.957447599395724,0.7300750333286914,0.9832838639138091,0.9948220064724919,0.9757513736856035
schreiber2017/mirex2017,0.9577888807551641,0.9591566587242883,0.980790475785377,1.0,0.9323111774333207,0.9669299259261628,1.0,0.9574801929753709,0.9706940352952625,0.9381526595725411,1.0,0.993618301833716,0.928743800774583,0.9700833284254126,1.0,0.9622276458414235,0.9436411446074416,0.9167947110941917,0.9519588869174308,0.8837374537108569,0.9858292608175745,0.9948220064724919,0.967373022934149
schreiber2018/cnn,0.9521241067374638,0.9644153937625636,0.9891857231491802,0.6902066929133859,0.9699928064839881,0.9833941634430318,1.0,0.9872209101454882,0.959414036358461,0.9779848865362667,1.0,0.954817905043579,0.9921099568650278,0.9385090841443667,1.0,0.974814033293826,0.9570932852145617,0.9446642638294509,0.9651582828742769,0.8796809130618104,0.9813155172718258,0.9892664509169363,0.9810200775844444
schreiber2018/fcn,0.9464589606019932,0.9627766513247354,0.9733124960640093,1.0,0.9735222182486939,0.9542752801623121,1.0,0.9872209101454882,0.9759359103888674,0.980309534657951,1.0,0.9731996408166191,0.9921099568650278,0.9253622781440295,1.0,0.9485635147743319,0.9631082628601907,0.9640355363061409,0.9452170503525955,0.7885184926796448,0.9842308910203247,0.9858148416823179,0.9585749149737117
schreiber2018/ismir2018,0.9606470187891923,0.9470843306919651,0.9722060994553778,1.0,0.97197095338023,0.988606636280694,1.0,0.9520527144268338,0.959414036358461,0.9736374748832141,1.0,0.954817905043579,0.9921099568650278,0.9360964003208373,1.0,0.974284747725224,0.9711721267270317,0.9410275298106595,0.9416719772044965,0.7092104266838299,0.9888480461084259,0.9948220064724919,0.9815704433301463
sun2021/default,0.9193813085323459,0.9223595366459842,0.9538941244181111,0.7494377427928849,0.9493111096899601,0.956459726919167,0.7780667533593412,0.9429219937698189,0.8955149259809829,0.9170948798481319,0.9268292682926829,0.8926906071037202,0.9677567479927018,0.7203758985490467,0.8827160493827161,0.7538937816674441,0.9065042268737524,0.7484457332409115,0.7788928809741361,0.74192977522545,0.9189187298023139,0.7029217676351158,0.8680368010533142
