Tempo (BPM),boeck2015/tempodetector2016_default,boeck2015/tempodetector2016_default_lowerci,boeck2015/tempodetector2016_default_upperci,boeck2019/multi_task,boeck2019/multi_task_lowerci,boeck2019/multi_task_upperci,boeck2019/multi_task_hjdb,boeck2019/multi_task_hjdb_lowerci,boeck2019/multi_task_hjdb_upperci,davies2009/mirex_qm_tempotracker,davies2009/mirex_qm_tempotracker_lowerci,davies2009/mirex_qm_tempotracker_upperci,percival2014/stem,percival2014/stem_lowerci,percival2014/stem_upperci,schreiber2014/default,schreiber2014/default_lowerci,schreiber2014/default_upperci,schreiber2017/ismir2017,schreiber2017/ismir2017_lowerci,schreiber2017/ismir2017_upperci,schreiber2017/mirex2017,schreiber2017/mirex2017_lowerci,schreiber2017/mirex2017_upperci,schreiber2018/cnn,schreiber2018/cnn_lowerci,schreiber2018/cnn_upperci,schreiber2018/fcn,schreiber2018/fcn_lowerci,schreiber2018/fcn_upperci,schreiber2018/ismir2018,schreiber2018/ismir2018_lowerci,schreiber2018/ismir2018_upperci
121.59581425768476,0.9999999996872725,0.9999999996496559,0.9999999997248891,0.9995226403769605,0.9141832333197607,1.0848620474341604,0.9999999996872725,0.9999999996496559,0.9999999997248891,1.082587563586873,0.8963976685377385,1.2687774586360074,0.9999999996872725,0.9999999996496559,0.9999999997248891,0.9999999921015604,0.8469051278601207,1.1530948563430001,0.9999999785621418,0.8549256701817021,1.1450742869425816,0.9999999785621418,0.8549256701817021,1.1450742869425816,0.9999999996872725,0.9999999996496559,0.9999999997248891,0.9999999996872725,0.9999999996496559,0.9999999997248891,1.0041321077403882,0.9608048462498073,1.047459369230969
122.12775234357967,0.9999999996956388,0.9999999996588362,0.9999999997324414,0.9983047729238657,0.9148122016252821,1.081797344222449,0.9999999996956388,0.9999999996588362,0.9999999997324414,1.078363374588525,0.8962028273861512,1.2605239217908988,0.9999999996956388,0.9999999996588362,0.9999999997324414,0.9999999861677458,0.8596512706750286,1.140348701660463,0.9999999735289128,0.8601063261010949,1.1398936209567305,0.9999999735289128,0.8601063261010949,1.1398936209567305,0.9999999996956388,0.9999999996588362,0.9999999997324414,0.9999999996956388,0.9999999996588362,0.9999999997324414,1.003860140332621,0.9614705269767417,1.0462497536885003
122.6596904294746,0.999999999703963,0.9999999996679683,0.9999999997399578,0.9970868380395156,0.9154268695292999,1.0787468065497314,0.999999999703963,0.9999999996679683,0.9999999997399578,1.074137098151205,0.8959748459053951,1.252299350397015,0.999999999703963,0.9999999996679683,0.9999999997399578,0.9999999794027565,0.8698313450114472,1.1301686137940659,0.999999969130674,0.8633276477682014,1.1366722904931468,0.999999969130674,0.8633276477682014,1.1366722904931468,0.999999999703963,0.9999999996679683,0.9999999997399578,0.999999999703963,0.9999999996679683,0.9999999997399578,1.0035880646047588,0.9621288732304473,1.0450472559790704
123.19162851536952,0.9999999997122392,0.9999999996770454,0.9999999997474329,0.9958688228039606,0.9160262670093589,1.0757113785985624,0.9999999997122392,0.9999999996770454,0.9999999997474329,1.0699083291745646,0.8957112308295114,1.2441054275196177,0.9999999997122392,0.9999999996770454,0.9999999997474329,0.9999999716653822,0.8781051735682938,1.1218947697624706,0.999999965543294,0.867116152743924,1.132883778342664,0.999999965543294,0.867116152743924,1.132883778342664,0.9999999997122392,0.9999999996770454,0.9999999997474329,0.9999999997122392,0.9999999996770454,0.9999999997474329,1.0033158595436937,0.9627793780718887,1.0438523410154987
123.72356660126444,0.9999999997204609,0.9999999996860612,0.9999999997548606,0.9946507247643928,0.9166093705014823,1.0726920790273033,0.9999999997204609,0.9999999996860612,0.9999999997548606,1.0656765841177167,0.8954092708006185,1.235943897434815,0.9999999997204609,0.9999999996860612,0.9999999997548606,0.9999999630652908,0.8852518890288861,1.1147480371016956,0.999999963169432,0.8730848751288607,1.1269150512100032,0.999999963169432,0.8730848751288607,1.1269150512100032,0.9999999997204609,0.9999999996860612,0.9999999997548606,0.9999999997204609,0.9999999996860612,0.9999999997548606,1.0030435007003273,0.9634214986285082,1.0426655027721465
124.25550468715936,0.9999999997286207,0.9999999996950073,0.9999999997622342,0.9934325664222972,0.9171750790949105,1.0696900537496838,0.9999999997286207,0.9999999996950073,0.9999999997622342,1.0614411924328429,0.8950658442577589,1.2278165406079267,0.9999999997286207,0.9999999996950073,0.9999999997622342,0.9999999543102589,0.8917937627929202,1.1082061458275976,0.9999999629524299,0.8810274710347886,1.1189724548700712,0.9999999629524299,0.8810274710347886,1.1189724548700712,0.9999999997286207,0.9999999996950073,0.9999999997622342,0.9999999997286207,0.9999999996950073,0.9999999997622342,1.002770955433956,0.9640546318973536,1.041487278970558
124.78744277305428,0.9999999997367103,0.999999999703875,0.9999999997695456,0.9922143739185197,0.917722263102017,1.0667064847350225,0.9999999997367103,0.999999999703875,0.9999999997695456,1.0572014562988312,0.8946777316423332,1.2197251809553293,0.9999999997367103,0.999999999703875,0.9999999997695456,0.9999999461952922,0.8981273329549322,1.1018725594356522,0.9999999659144835,0.8901851603975244,1.1098147714314426,0.9999999659144835,0.8901851603975244,1.1098147714314426,0.9999999997367103,0.999999999703875,0.9999999997695456,0.9999999997367103,0.999999999703875,0.9999999997695456,1.0024981899092031,0.9646781572229126,1.0403182225954937
125.3193808589492,0.9999999997447219,0.9999999997126561,0.9999999997767877,0.9909961733939066,0.9182497694877201,1.063742577300093,0.9999999997447219,0.9999999997126561,0.9999999997767877,1.0529566778945691,0.894241662457254,1.2116716933318843,0.9999999997447219,0.9999999997126561,0.9999999997767877,0.9999999395153962,0.9045819839263312,1.0954178951044613,0.9999999730777884,0.8998240248931328,1.100175921262444,0.9999999730777884,0.8998240248931328,1.100175921262444,0.9999999997447219,0.9999999997126561,0.9999999997767877,0.9999999997447219,0.9999999997126561,0.9999999997767877,1.0022251702906921,0.9652914420960476,1.0391588984853368
125.85131894484411,0.9999999997526472,0.9999999997213417,0.9999999997839527,0.9897779909893036,0.9187564188495136,1.0607995631290936,0.9999999997526472,0.9999999997213417,0.9999999997839527,1.0487061593989453,0.8937543086781076,1.2036580101197831,0.9999999997526472,0.9999999997213417,0.9999999997839527,0.9999999350655766,0.9114229131618303,1.0885769569693229,0.9999999854645405,0.9095322465473668,1.0904677243817142,0.9999999854645405,0.9095322465473668,1.0904677243817142,0.9999999997526472,0.9999999997213417,0.9999999997839527,0.9999999997526472,0.9999999997213417,0.9999999997839527,1.0019518627430468,0.9658938406207426,1.038009884865351
126.38325703073903,0.9999999997604786,0.9999999997299236,0.9999999997910336,0.9885598552498893,0.9192410020573897,1.057878708442389,0.9999999997604786,0.9999999997299236,0.9999999997910336,1.044449196580648,0.8932122657664094,1.1956861273948864,0.9999999997604786,0.9999999997299236,0.9999999997910336,0.9999999336548707,0.918800341624672,1.0811995256850695,1.0000000040435861,0.9193190862963472,1.080680921790825,1.0000000040435861,0.9193190862963472,1.080680921790825,0.9999999997604786,0.9999999997299236,0.9999999997910336,0.9999999997604786,0.9999999997299236,0.9999999997910336,1.0016782332256822,0.9664846903822739,1.0368717760690904
