Estimator,wide dynamic range,ternary meter,tempo discontinuity,strong syncopation,slow tempo,rich ornamentation in the interpretation,quiet accompaniment,poor sound quality,pauses,none,no repetition,missing bass,low familiarity with the song/style,lack of transient sounds,lack of harmonic change,gradual tempo change,expressive timing,excerpt is the introduction of the song,changing time signature,cd skips,beat phase ambiguity,ambiguity of metrical level,acapella
boeck2015/tempodetector2016_default,0.6153846153846154,0.6714285714285714,0.5476190476190477,0.5416666666666666,0.7323943661971831,0.48,0.7659574468085106,0.5238095238095238,0.42424242424242425,0.9473684210526315,0.5,0.6666666666666666,0.34782608695652173,0.7,0.7142857142857143,0.6545454545454545,0.5806451612903226,0.5,0.14285714285714285,1.0,0.5454545454545454,0.5,0.0
boeck2019/multi_task,0.38461538461538464,0.5428571428571428,0.4523809523809524,0.5416666666666666,0.647887323943662,0.48,0.6170212765957447,0.6666666666666666,0.5151515151515151,0.8947368421052632,0.16666666666666666,0.6527777777777778,0.4782608695652174,0.6428571428571429,0.2857142857142857,0.5636363636363636,0.5806451612903226,0.6363636363636364,0.21428571428571427,1.0,0.5454545454545454,0.5,1.0
boeck2019/multi_task_hjdb,0.38461538461538464,0.5,0.4523809523809524,0.5,0.7183098591549296,0.44,0.7021276595744681,0.47619047619047616,0.36363636363636365,0.9473684210526315,0.3333333333333333,0.5972222222222222,0.34782608695652173,0.6714285714285714,0.2857142857142857,0.4909090909090909,0.5161290322580645,0.4090909090909091,0.21428571428571427,1.0,0.36363636363636365,0.5,0.0
davies2009/mirex_qm_tempotracker,0.3076923076923077,0.22857142857142856,0.3333333333333333,0.3333333333333333,0.22535211267605634,0.2,0.1702127659574468,0.19047619047619047,0.21212121212121213,0.8947368421052632,0.16666666666666666,0.20833333333333334,0.13043478260869565,0.21428571428571427,0.14285714285714285,0.2545454545454545,0.1774193548387097,0.2727272727272727,0.07142857142857142,1.0,0.6363636363636364,0.2857142857142857,1.0
percival2014/stem,0.38461538461538464,0.3,0.42857142857142855,0.4166666666666667,0.36619718309859156,0.32,0.3404255319148936,0.42857142857142855,0.30303030303030304,0.8421052631578947,0.3333333333333333,0.4027777777777778,0.2608695652173913,0.35714285714285715,0.2857142857142857,0.36363636363636365,0.33064516129032256,0.45454545454545453,0.2857142857142857,1.0,0.7272727272727273,0.2857142857142857,0.0
schreiber2014/default,0.15384615384615385,0.44285714285714284,0.38095238095238093,0.5416666666666666,0.5774647887323944,0.36,0.5531914893617021,0.38095238095238093,0.36363636363636365,0.9473684210526315,0.16666666666666666,0.5138888888888888,0.2608695652173913,0.4857142857142857,0.2857142857142857,0.509090909090909,0.47580645161290325,0.45454545454545453,0.2857142857142857,1.0,0.36363636363636365,0.42857142857142855,0.0
schreiber2017/ismir2017,0.3076923076923077,0.38571428571428573,0.42857142857142855,0.7083333333333334,0.5070422535211268,0.4,0.48936170212765956,0.38095238095238093,0.45454545454545453,0.9473684210526315,0.6666666666666666,0.4722222222222222,0.391304347826087,0.45714285714285713,0.5714285714285714,0.5272727272727272,0.46774193548387094,0.45454545454545453,0.2857142857142857,1.0,0.5454545454545454,0.42857142857142855,0.0
schreiber2017/mirex2017,0.23076923076923078,0.44285714285714284,0.47619047619047616,0.625,0.5633802816901409,0.4,0.5319148936170213,0.3333333333333333,0.45454545454545453,0.9473684210526315,0.6666666666666666,0.5277777777777778,0.391304347826087,0.5142857142857142,0.5714285714285714,0.5636363636363636,0.47580645161290325,0.45454545454545453,0.2857142857142857,1.0,0.5454545454545454,0.42857142857142855,0.0
schreiber2018/cnn,0.23076923076923078,0.35714285714285715,0.42857142857142855,0.5416666666666666,0.39436619718309857,0.28,0.48936170212765956,0.2857142857142857,0.30303030303030304,0.8947368421052632,0.0,0.4305555555555556,0.34782608695652173,0.34285714285714286,0.2857142857142857,0.4727272727272727,0.3870967741935484,0.3181818181818182,0.14285714285714285,1.0,0.7272727272727273,0.5,0.0
schreiber2018/fcn,0.3076923076923077,0.3,0.38095238095238093,0.5833333333333334,0.352112676056338,0.4,0.48936170212765956,0.2857142857142857,0.24242424242424243,1.0,0.16666666666666666,0.3611111111111111,0.43478260869565216,0.3,0.42857142857142855,0.43636363636363634,0.3951612903225806,0.36363636363636365,0.14285714285714285,1.0,0.5454545454545454,0.42857142857142855,0.0
schreiber2018/ismir2018,0.3076923076923077,0.35714285714285715,0.47619047619047616,0.5833333333333334,0.352112676056338,0.36,0.40425531914893614,0.3333333333333333,0.2727272727272727,0.8947368421052632,0.16666666666666666,0.4166666666666667,0.17391304347826086,0.32857142857142857,0.42857142857142855,0.38181818181818183,0.4032258064516129,0.2727272727272727,0.21428571428571427,1.0,0.7272727272727273,0.42857142857142855,0.0
