Estimator,Accuracy1,Accuracy2
schreiber2017/mirex2017,0.8898898898898899,0.95995995995996
percival2014/stem,0.7807807807807807,0.9419419419419419
schreiber2017/ismir2017,0.7807807807807807,0.938938938938939
schreiber2014/default,0.7737737737737738,0.933933933933934
boeck2019/multi_task_hjdb,0.7737737737737738,0.94994994994995
boeck2019/multi_task,0.7687687687687688,0.9469469469469469
schreiber2018/fcn,0.7267267267267268,0.9379379379379379
schreiber2018/cnn,0.7167167167167167,0.950950950950951
gkiokas2012/default,0.7167167167167167,0.9379379379379379
boeck2015/tempodetector2016_default,0.7067067067067067,0.955955955955956
klapuri2006/percival2014,0.7037037037037037,0.924924924924925
zplane/auftakt_v3,0.6886886886886887,0.8918918918918919
schreiber2018/ismir2018,0.6856856856856857,0.9329329329329329
echonest/version_3_2_1,0.6796796796796797,0.8698698698698699
boeck2020/dar,0.6776776776776777,0.965965965965966
sun2021/default,0.6616616616616616,0.924924924924925
oliveira2010/ibt,0.6096096096096096,0.8698698698698699
davies2009/mirex_qm_tempotracker,0.6006006006006006,0.9009009009009009
scheirer1998/percival2014,0.5665665665665666,0.7627627627627628
