Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,0.06557377049180328,0.0,0.04918032786885246,0.0,0.0,0.0,0.03278688524590164,0.01639344262295082,0.0
0.001,0.06557377049180328,0.0,0.04918032786885246,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.0
0.0015,0.06557377049180328,0.0,0.06557377049180328,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.01639344262295082
0.002,0.06557377049180328,0.01639344262295082,0.09836065573770492,0.01639344262295082,0.04918032786885246,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.03278688524590164
0.0025,0.08196721311475409,0.01639344262295082,0.09836065573770492,0.03278688524590164,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.03278688524590164,0.04918032786885246
0.003,0.08196721311475409,0.01639344262295082,0.09836065573770492,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.03278688524590164,0.06557377049180328
0.0035,0.11475409836065574,0.01639344262295082,0.16393442622950818,0.08196721311475409,0.08196721311475409,0.08196721311475409,0.04918032786885246,0.04918032786885246,0.06557377049180328
0.004,0.13114754098360656,0.01639344262295082,0.19672131147540983,0.08196721311475409,0.08196721311475409,0.08196721311475409,0.04918032786885246,0.04918032786885246,0.06557377049180328
0.0045,0.14754098360655737,0.01639344262295082,0.19672131147540983,0.09836065573770492,0.08196721311475409,0.08196721311475409,0.04918032786885246,0.04918032786885246,0.06557377049180328
0.005,0.14754098360655737,0.04918032786885246,0.19672131147540983,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.06557377049180328,0.04918032786885246,0.06557377049180328
0.0055,0.21311475409836064,0.04918032786885246,0.22950819672131148,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.08196721311475409,0.06557377049180328,0.09836065573770492
0.006,0.22950819672131148,0.04918032786885246,0.22950819672131148,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.08196721311475409,0.13114754098360656
0.0065,0.26229508196721313,0.04918032786885246,0.22950819672131148,0.14754098360655737,0.13114754098360656,0.13114754098360656,0.13114754098360656,0.08196721311475409,0.13114754098360656
0.007,0.2786885245901639,0.06557377049180328,0.2786885245901639,0.14754098360655737,0.13114754098360656,0.13114754098360656,0.13114754098360656,0.11475409836065574,0.16393442622950818
0.0075,0.29508196721311475,0.06557377049180328,0.29508196721311475,0.14754098360655737,0.13114754098360656,0.13114754098360656,0.13114754098360656,0.14754098360655737,0.18032786885245902
0.008,0.3114754098360656,0.08196721311475409,0.29508196721311475,0.14754098360655737,0.18032786885245902,0.18032786885245902,0.16393442622950818,0.16393442622950818,0.21311475409836064
0.0085,0.3770491803278688,0.09836065573770492,0.3114754098360656,0.14754098360655737,0.18032786885245902,0.18032786885245902,0.21311475409836064,0.18032786885245902,0.2459016393442623
0.009,0.39344262295081966,0.13114754098360656,0.36065573770491804,0.16393442622950818,0.19672131147540983,0.19672131147540983,0.21311475409836064,0.18032786885245902,0.2459016393442623
0.0095,0.39344262295081966,0.13114754098360656,0.36065573770491804,0.16393442622950818,0.19672131147540983,0.19672131147540983,0.21311475409836064,0.18032786885245902,0.2459016393442623
0.01,0.4098360655737705,0.13114754098360656,0.3770491803278688,0.16393442622950818,0.21311475409836064,0.21311475409836064,0.2459016393442623,0.18032786885245902,0.2459016393442623
0.0105,0.4262295081967213,0.14754098360655737,0.4098360655737705,0.16393442622950818,0.21311475409836064,0.21311475409836064,0.2459016393442623,0.18032786885245902,0.26229508196721313
0.011,0.4426229508196721,0.14754098360655737,0.4098360655737705,0.18032786885245902,0.26229508196721313,0.26229508196721313,0.2786885245901639,0.21311475409836064,0.2786885245901639
0.0115,0.4426229508196721,0.16393442622950818,0.4098360655737705,0.18032786885245902,0.2786885245901639,0.2786885245901639,0.29508196721311475,0.2459016393442623,0.2786885245901639
0.012,0.4426229508196721,0.19672131147540983,0.4262295081967213,0.18032786885245902,0.29508196721311475,0.29508196721311475,0.3114754098360656,0.26229508196721313,0.2786885245901639
0.0125,0.4426229508196721,0.21311475409836064,0.4262295081967213,0.18032786885245902,0.29508196721311475,0.29508196721311475,0.32786885245901637,0.26229508196721313,0.2786885245901639
0.013,0.45901639344262296,0.21311475409836064,0.4262295081967213,0.18032786885245902,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.29508196721311475,0.2786885245901639
0.0135,0.4918032786885246,0.21311475409836064,0.4426229508196721,0.19672131147540983,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.3114754098360656,0.29508196721311475
0.014,0.4918032786885246,0.21311475409836064,0.4426229508196721,0.21311475409836064,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.3114754098360656,0.3114754098360656
0.0145,0.5081967213114754,0.21311475409836064,0.45901639344262296,0.21311475409836064,0.3770491803278688,0.3770491803278688,0.36065573770491804,0.3114754098360656,0.3114754098360656
0.015,0.5081967213114754,0.21311475409836064,0.45901639344262296,0.22950819672131148,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3114754098360656,0.3114754098360656
0.0155,0.5245901639344263,0.22950819672131148,0.45901639344262296,0.2459016393442623,0.3770491803278688,0.3770491803278688,0.39344262295081966,0.32786885245901637,0.3114754098360656
0.016,0.5245901639344263,0.2459016393442623,0.45901639344262296,0.2459016393442623,0.3770491803278688,0.3770491803278688,0.39344262295081966,0.32786885245901637,0.32786885245901637
0.0165,0.5245901639344263,0.2459016393442623,0.47540983606557374,0.2459016393442623,0.39344262295081966,0.39344262295081966,0.4098360655737705,0.32786885245901637,0.32786885245901637
0.017,0.5245901639344263,0.2459016393442623,0.47540983606557374,0.2459016393442623,0.39344262295081966,0.39344262295081966,0.4426229508196721,0.36065573770491804,0.3770491803278688
0.0175,0.5245901639344263,0.26229508196721313,0.47540983606557374,0.26229508196721313,0.4098360655737705,0.4098360655737705,0.4426229508196721,0.36065573770491804,0.3770491803278688
0.018,0.5245901639344263,0.26229508196721313,0.47540983606557374,0.26229508196721313,0.4098360655737705,0.4098360655737705,0.45901639344262296,0.36065573770491804,0.3770491803278688
0.0185,0.5573770491803278,0.2786885245901639,0.4918032786885246,0.2786885245901639,0.4262295081967213,0.4262295081967213,0.5245901639344263,0.4098360655737705,0.39344262295081966
