τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,,,,,,,,,,,
0.005,-0.0001383039661236854,0.0037237861873821504,0.0029882953892698635,0.09837427121345892,0.0021604181518265386,0.000767641673790722,0.002031492935926965,0.0020314924182169795,0.0030788387329048214,0.0032806559755324282,0.004266275412661118
0.01,0.0001850918622723998,0.0034536262675364153,0.0027230879096304447,0.1025117343640567,0.0018990319770181084,0.0016871222605040473,0.0011678626282105294,0.0011678623951052272,0.0030038915884764966,0.0030655902398505244,0.004456513646908169
0.015,0.00018350309092242205,0.0034969109672526493,0.002689999066477447,0.10359134601876492,0.0018991921461013572,0.0030711853622650293,0.002560310576774309,0.00256031034566991,0.0029992769208576713,0.0030604459700739814,0.004436541693585171
0.02,0.00018350309092242205,0.0034969109672526493,0.002689999066477447,0.10359134601876492,0.0018991921461013572,0.0030711853622650293,0.002560310576774309,0.00256031034566991,0.0029992769208576713,0.0030604459700739814,0.004436541693585171
0.025,0.00018350309092242205,0.0034969109672526493,0.002689999066477447,0.10359134601876492,0.0018991921461013572,0.0030711853622650293,0.002560310576774309,0.00256031034566991,0.0029992769208576713,0.0030604459700739814,0.004436541693585171
0.03,0.00018271888967916376,0.003511489849196772,0.002673569079263902,0.10323026903364943,0.0018826935708652621,0.0030509951953380586,0.002542303635426358,0.0025423034053095855,0.002986459498118963,0.0030473671411420412,0.004417582113698055
0.035,0.00018271888967916376,0.003511489849196772,0.002673569079263902,0.10323026903364943,0.0018826935708652621,0.0030509951953380586,0.002542303635426358,0.0025423034053095855,0.002986459498118963,0.0030473671411420412,0.004417582113698055
0.04,0.00018271888967916376,0.003511489849196772,0.002673569079263902,0.10323026903364943,0.0018826935708652621,0.0030509951953380586,0.002542303635426358,0.0025423034053095855,0.002986459498118963,0.0030473671411420412,0.004417582113698055
0.045,0.00018271888967916376,0.003511489849196772,0.002673569079263902,0.10323026903364943,0.0018826935708652621,0.0030509951953380586,0.002542303635426358,0.0025423034053095855,0.002986459498118963,0.0030473671411420412,0.004417582113698055
0.05,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.055,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.06,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.065,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.07,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.075,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.08,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
