Estimator,Accuracy1,Accuracy2
boeck2015/tempodetector2016_default,0.8603603603603603,0.9369369369369369
boeck2020/dar,0.8513513513513513,0.9414414414414415
boeck2019/multi_task_hjdb,0.8243243243243243,0.9279279279279279
boeck2019/multi_task,0.8153153153153153,0.9279279279279279
schreiber2018/ismir2018,0.8018018018018018,0.8738738738738738
schreiber2018/fcn,0.7927927927927928,0.8918918918918919
schreiber2018/cnn,0.7792792792792793,0.8693693693693694
davies2009/mirex_qm_tempotracker,0.7522522522522522,0.8558558558558559
schreiber2017/ismir2017,0.7477477477477478,0.8918918918918919
oliveira2010/ibt,0.7432432432432432,0.8378378378378378
schreiber2017/mirex2017,0.7432432432432432,0.8918918918918919
klapuri2006/percival2014,0.7297297297297297,0.8558558558558559
percival2014/stem,0.7117117117117117,0.8918918918918919
zplane/auftakt_v3,0.7117117117117117,0.8423423423423423
schreiber2014/default,0.7072072072072072,0.8828828828828829
echonest/version_3_2_1,0.6801801801801802,0.8783783783783784
gkiokas2012/default,0.6711711711711712,0.8783783783783784
scheirer1998/percival2014,0.5180180180180181,0.6891891891891891
