Estimator,Accuracy1,Accuracy2
schreiber2018/cnn,0.9684813753581661,0.9928366762177651
boeck2019/multi_task,0.9670487106017192,0.9813753581661891
boeck2019/multi_task_hjdb,0.9656160458452722,0.9799426934097422
schreiber2018/ismir2018,0.9469914040114613,0.994269340974212
schreiber2018/fcn,0.9455587392550143,0.9899713467048711
schreiber2017/mirex2017,0.9169054441260746,0.9885386819484241
schreiber2017/ismir2017,0.8681948424068768,0.9842406876790831
boeck2015/tempodetector2016_default,0.8452722063037249,1.0
davies2009/mirex_qm_tempotracker,0.6762177650429799,0.9240687679083095
schreiber2014/default,0.671919770773639,0.9727793696275072
zplane/auftakt_v3,0.667621776504298,0.9512893982808023
percival2014/stem,0.6575931232091691,0.9555873925501432
klapuri2006/percival2014,0.6461318051575932,0.9283667621776505
oliveira2010/ibt,0.6446991404011462,0.9068767908309455
gkiokas2012/default,0.6303724928366762,0.9813753581661891
echonest/version_3_2_1,0.5744985673352435,0.8739255014326648
scheirer1998/percival2014,0.5386819484240688,0.7607449856733525
