Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
boeck2019/multi_task_hjdb,0.009485035097829869,0.005653958377467252,0.009485035097829869,0.005653958377467252
schreiber2018/fcn,0.04254181614757973,0.17690223694037896,0.009575404558713812,0.00679025730848952
schreiber2018/cnn,0.06437780128234406,0.22555201745159534,0.009691983543197655,0.006338402996018055
boeck2015/tempodetector2016_default,0.07596869310197799,0.2702117147599596,0.002275602600653356,0.007147474063224469
schreiber2018/ismir2018,0.09452599776288181,0.2761225090991194,0.010483341553214365,0.018152310095740056
boeck2019/multi_task,0.16162739611447674,0.34129532064943785,0.025871777732904784,0.06946358355573783
schreiber2017/mirex2017,0.2608334213002025,0.42821414900930443,0.013675764170463182,0.03905661602639722
davies2009/mirex_qm_tempotracker,0.34883537378461377,0.3982134551571515,0.10809654618810187,0.1662401224414611
schreiber2017/ismir2017,0.4077396372555759,0.482778785329625,0.013675765042175403,0.03905661598741902
schreiber2014/default,0.5328501121224419,0.4925509170303073,0.012956147761996889,0.03076990900414477
percival2014/stem,0.7154916256526952,0.4465450729482344,0.0091849200188301,0.005636432107425908
