τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,
0.005,,,,,,,,,,,,,,,
0.01,-0.035423864984499884,0.13108042220381522,0.07368224843729193,0.14955232091206408,0.1114246497100197,0.10817464375508538,0.07386006288516882,0.08116587174090253,-2.2045821302967608e-05,0.03705767338505449,0.03705767338505449,0.07547824683798997,0.03916000530963854,0.03844120980095294,0.0740457221238171
0.015,-0.03454286083270621,0.05196720442506877,-0.04116225858525325,-0.008632616924069993,-0.005548512579172233,0.035923458763951165,-0.03012554187204155,-0.08391480897245765,-0.08088085902430155,-0.04058569564610098,-0.06120425234713192,0.03173702088723875,-0.002866742139525302,0.000703401605876052,0.0067976024885229355
0.02,-0.046530790583797256,0.05746544556591988,-0.1395738773739296,-0.09316627376172172,-0.028387938024527166,0.020483333131797565,-0.09512935838071165,-0.12236199601482783,-0.14187650754310516,-0.12674209056340466,-0.14155690537821944,0.020670088585936112,-0.03462550997751213,0.0055575511533326825,-0.04765258299598006
0.025,-0.025473619368608903,0.055053561612323255,-0.1445615616432414,-0.10978146551261952,-0.029667648615412056,0.02690859326393626,-0.09418729749309887,-0.11259101467678513,-0.1494566769824186,-0.1484703264231899,-0.1614573394102029,0.03984945174896785,-0.008985794758445128,0.02639813805947729,-0.0396111909655069
0.03,-0.03170753748038061,0.06050974687185876,-0.15816058864605279,-0.09972892958087609,-0.04125488452586,0.013604789402630704,-0.11377497976736728,-0.11825351726111592,-0.15902921385393634,-0.1560747588292665,-0.17946657169476357,0.030772099432002063,-0.013846537970994709,0.013207706477639792,-0.049796034078767044
0.035,-0.035469242689014746,0.06996998792080393,-0.16184163571956336,-0.09633818103076384,-0.03102455750036788,0.01672606248159604,-0.112992963600349,-0.1078489853870869,-0.1566631368452942,-0.14768353934867456,-0.1699057615708968,0.02619364892230747,-0.012299839569996251,0.013027855843992384,-0.049436175478986204
0.04,-0.038156803644371434,0.08083689006473835,-0.17504876917022602,-0.10090330030639388,-0.025403148838588546,0.021544245306564305,-0.11510395383826683,-0.10276321206675439,-0.1699940757360587,-0.1549538952452155,-0.18653284261363656,0.01690832032046882,-0.016289275805743842,0.007983971547037966,-0.045034123255662785
0.045,-0.037902528549948404,0.08345858591534656,-0.17601475251143636,-0.09474189902554082,-0.024279227549315913,0.02410497810326859,-0.11393013114493175,-0.09726152030819699,-0.169027368610387,-0.15147532135455827,-0.1828889339200033,0.01687776995222852,-0.01614601677018198,0.007077857794607112,-0.04180027393823636
0.05,-0.037232742377386434,0.09438716269813587,-0.1740000537674538,-0.07993530480728182,-0.01577744382205844,0.03142154131179959,-0.10563869332864596,-0.08741773288267868,-0.1664820524561603,-0.1523746893447796,-0.183302524396326,0.020018253654851204,-0.008229506019936201,0.010685417773047103,-0.03292664476773234
0.055,-0.0364136278561755,0.09803250617624575,-0.17226515385837754,-0.07366583542009537,-0.010401965228534702,0.03544172935983081,-0.1028343462563976,-0.08339015321559741,-0.164463766591255,-0.1557111895008954,-0.1863234343988546,0.022494778709192805,-0.006865337491769393,0.012570635373124896,-0.029671686225687124
0.06,-0.03616267705867383,0.10492458085249452,-0.17131881156404924,-0.06978811339177933,-0.005123241167184317,0.038450575586562195,-0.09999878501957703,-0.0798237590371652,-0.16323388300520753,-0.15454434611782492,-0.18500119890970307,0.025240151871460583,-0.0069402810021929546,0.016087293551679455,-0.025554290480205643
0.065,-0.03616267705867383,0.10492458085249452,-0.17131881156404924,-0.06978811339177933,-0.005123241167184317,0.038450575586562195,-0.09999878501957703,-0.0798237590371652,-0.16323388300520753,-0.15454434611782492,-0.18500119890970307,0.025240151871460583,-0.0069402810021929546,0.016087293551679455,-0.025554290480205643
0.07,-0.03517273605045228,0.10482017140310576,-0.1822191635103546,-0.06833025738753154,-0.0062911325328545665,0.03387965765278305,-0.10843803124084973,-0.08277424187962384,-0.1663720735155461,-0.16785419611874036,-0.19800494988758463,0.022218416067104278,-0.01455940662607638,0.007403123863435507,-0.03343577510143457
0.075,-0.029216031444578818,0.11356028301766519,-0.18483411257368385,-0.05366114573626746,0.0023572780522931507,0.04027918244611427,-0.10607916108833827,-0.0790793280906204,-0.16396589742753673,-0.1707417725867029,-0.2004447428837326,0.02655422704172174,-0.004121840103378107,0.013317956546574713,-0.02219266783174407
0.08,-0.029216031444578818,0.11356028301766519,-0.18483411257368385,-0.05366114573626746,0.0023572780522931507,0.04027918244611427,-0.10607916108833827,-0.0790793280906204,-0.16396589742753673,-0.1707417725867029,-0.2004447428837326,0.02655422704172174,-0.004121840103378107,0.013317956546574713,-0.02219266783174407
0.085,-0.029216031444578818,0.11356028301766519,-0.18483411257368385,-0.05366114573626746,0.0023572780522931507,0.04027918244611427,-0.10607916108833827,-0.0790793280906204,-0.16396589742753673,-0.1707417725867029,-0.2004447428837326,0.02655422704172174,-0.004121840103378107,0.013317956546574713,-0.02219266783174407
0.09,-0.029216031444578818,0.11356028301766519,-0.18483411257368385,-0.05366114573626746,0.0023572780522931507,0.04027918244611427,-0.10607916108833827,-0.0790793280906204,-0.16396589742753673,-0.1707417725867029,-0.2004447428837326,0.02655422704172174,-0.004121840103378107,0.013317956546574713,-0.02219266783174407
0.095,-0.029216031444578818,0.11356028301766519,-0.18483411257368385,-0.05366114573626746,0.0023572780522931507,0.04027918244611427,-0.10607916108833827,-0.0790793280906204,-0.16396589742753673,-0.1707417725867029,-0.2004447428837326,0.02655422704172174,-0.004121840103378107,0.013317956546574713,-0.02219266783174407
0.1,-0.027600586645146273,0.1263188795032647,-0.18458048129051913,-0.05100970282834306,0.00542732184635707,0.040345703303367134,-0.10344092655580998,-0.08035156615077395,-0.16014547236935067,-0.1620269083389295,-0.1961732502014691,0.02677382787945567,-3.059571995854907e-05,0.014652298983512595,-0.01831626364978215
0.105,-0.027936215029864365,0.13264492485995458,-0.1836149788089667,-0.04638607454534654,0.01031204967027737,0.04344628388020755,-0.10046004009869887,-0.07569309627991448,-0.1596150542083338,-0.15740913668954537,-0.19624408881339706,0.029250878701691647,0.004591318805569936,0.01787760482404163,-0.014444815897026203
0.11,-0.026446143973109452,0.1476823181465724,-0.18085031538521606,-0.02968659048603563,0.023726123743590684,0.05124573469647883,-0.09035485491123764,-0.0581441141983732,-0.1494291822406509,-0.16482708628543574,-0.20310459890511734,0.03515884991773214,0.015389414033704463,0.02622106341156481,-0.004083952783285665
0.115,-0.026446143973109452,0.1476823181465724,-0.18085031538521606,-0.02968659048603563,0.023726123743590684,0.05124573469647883,-0.09035485491123764,-0.0581441141983732,-0.1494291822406509,-0.16482708628543574,-0.20310459890511734,0.03515884991773214,0.015389414033704463,0.02622106341156481,-0.004083952783285665
0.12,-0.02630215839158359,0.15098629632758923,-0.18113068194194593,-0.023816149226035623,0.027706797090751425,0.05432757101864058,-0.08519351554107597,-0.05605965542090943,-0.14875768757889007,-0.15928079899328923,-0.19737603774335324,0.036281951292484696,0.02025670257828678,0.028063006650024962,-0.0011313187121344316
0.125,-0.02630215839158359,0.15098629632758923,-0.18113068194194593,-0.023816149226035623,0.027706797090751425,0.05432757101864058,-0.08519351554107597,-0.05605965542090943,-0.14875768757889007,-0.15928079899328923,-0.19737603774335324,0.036281951292484696,0.02025670257828678,0.028063006650024962,-0.0011313187121344316
0.13,-0.021435565362239038,0.15488388206882334,-0.18310542785784886,-0.015700279497969087,0.03096556307778272,0.0578911113962666,-0.08283646813713642,-0.05132375015418455,-0.14597678390527496,-0.16488448581036744,-0.2026203355156195,0.03690616885866409,0.02219359553061655,0.027714076109410606,0.00023701206435166735
0.135,-0.021435565362239038,0.15488388206882334,-0.18310542785784886,-0.015700279497969087,0.03096556307778272,0.0578911113962666,-0.08283646813713642,-0.05132375015418455,-0.14597678390527496,-0.16488448581036744,-0.2026203355156195,0.03690616885866409,0.02219359553061655,0.027714076109410606,0.00023701206435166735
0.14,-0.020552804792376384,0.15510154342868773,-0.18667452105463964,-0.014812729713406752,0.031584362608209626,0.05802562729147912,-0.08159369857864776,-0.05001775953047161,-0.1463846425271577,-0.16329000645428607,-0.20084869254589854,0.03739677338097579,0.02295249976958761,0.0283978026282106,0.0010200100161157095
