Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0,0.03648980819824235,0.027611389679336986,-0.017900129015361088,-4.805364279834213e-05,-4.805364279834213e-05,-4.805364279834213e-05,0.0,0.0
1,-0.5882238827934916,0.014863594839644058,0.0018076653428610822,-0.0010411326805336975,-0.0004292113199623707,-0.5853917430760505,-0.5849625007211563,-0.5849625007211563
2,1.0115999966837925,0.10655770616766541,-0.030940094773480684,0.3582117401144684,0.3582117401144684,0.3582117401144684,0.7369655941662062,0.058893689053568614
3,-1.0,-0.9808959227674721,-0.9949737600032991,-0.9989981653898388,-0.9989981653898388,-0.9989981653898388,-1.0,-1.0
4,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,0.00038947508426937465,0.00038947508426937465,0.0,0.0
5,-0.7820039176170284,0.4538886658481796,0.9705668457432254,0.23350197065086606,0.23098637089646631,-0.7690136291035337,0.5911944544326708,0.5911944544326708
6,0.004759307341953563,0.030461985274524088,-0.001958375776071256,-0.0008282191873643972,-0.0008282191873643972,-0.0008282191873643972,0.0,0.012490944183196828
7,-0.007231569231075703,0.021363042701795433,-1.0021699802464552,-0.0019368795485902774,-0.0019368795485902774,-0.0019368795485902774,0.0,0.0
8,0.9643760902692786,0.43867367661149925,0.017823437043903965,0.0011219334675876816,-0.0025796855512472887,-0.0025796855512472887,-0.08453351021166772,-0.08453351021166772
9,-1.007649883168445,-0.9797645115980113,-0.994420360300153,-0.9992824376959843,0.0007176316298628838,-0.9992824376959843,-1.0,-1.0
10,-0.9884120257247881,-0.7887398902591478,-0.991679676747488,-0.9992061156823917,-0.9992061156823917,-0.9992061156823917,0.0,-1.0
11,-0.011466785225546831,0.9955297437185285,-0.030940094773480684,-0.02196488212183717,-0.02136335996352404,-0.02136335996352404,0.0,0.0
12,0.0,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,-0.00013547542501019682,0.0,0.0
13,0.0,0.03617507814770278,0.0022224421620449684,0.0007174421392058368,0.0007174421392058368,0.0007174421392058368,0.0,0.0
