Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.0,0.03617507814770278,-0.0019609929066089007,0.00024367465754749417,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
1,-0.014177792294516073,0.016577735139112076,-9.570194519804844e-05,0.022162195245184695,-0.020420681527407555,-0.020420681527407555,0.0143552929770672,-0.009892253269610006,0.0143552929770672
2,0.0,0.03617507814770278,0.0022224421620449684,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0,0.0
3,-0.00564656314113563,0.02410040338559138,-0.002370942576703307,-0.002448481586636357,-0.001843173870532021,-0.001843173870532021,-0.001804496846741462,-0.001804496846741462,-0.001804496846741462
4,0.02032479335504662,0.001991467625942384,0.010811898286820684,-0.0011155791688330866,0.012836627185636666,0.012836627185636666,0.024162050673986323,0.024162050673986323,0.024162050673986323
5,1.2813706015259665e-15,0.012045132289870187,0.0032740851789381064,0.00031955041336176424,-0.0001356197080684819,-0.0001356197080684819,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
6,-0.0052338416712527595,0.050776627853353413,0.0018653524074652428,0.0015133321269592721,0.0001915934091502731,0.0001915934091502731,-0.0003607188519581554,-0.0003607188519581554,-0.0003607188519581554
7,0.18068865871662948,0.2940217636768235,0.11049652657260946,-0.16775891720237313,0.3713420637172976,0.3713420637172976,0.13979622806972866,0.17932459225636602,0.17932459225636602
8,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.002954434518720495,0.002954434518720495,0.002954434518720495,0.003002488161518767,0.003002488161518767,0.003002488161518767
9,-6.25181396734723e-05,0.03839122843258063,0.010910045352827472,0.009126525054597446,0.030001897135942635,0.030001897135942635,0.0033623671907608917,0.0033623671907608917,-0.011587974275210714
10,-0.007367507957014669,0.03441294531832576,-0.00035079787740920987,-0.00024223079800567276,-0.0007045768915919906,-0.0007045768915919906,-0.000901966294390558,-0.000901966294390558,-0.000901966294390558
11,0.0,0.03617507814770278,0.0022224421620449684,0.0007174421392058368,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
12,0.013282395590899214,0.029255329939809272,0.005927502053546711,0.0004189795478227018,-0.0011314010183740937,-0.0011314010183740937,-0.0012027470816715574,-0.0012027470816715574,-0.0012027470816715574
13,0.004513377190691033,0.03366050905982471,0.002638359173661038,0.42141053778004295,0.0032737781016414736,0.0032737781016414736,0.0032024320383440713,0.0032024320383440713,0.0032024320383440713
