T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
58.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
59.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
60.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
61.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
62.0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25
63.0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25
64.0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4
65.0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4
66.0,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.8,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7
67.0,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.8,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7
68.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
69.0,0.8,0.8,0.8,0.8,0.9,0.7,0.8,0.8,0.6,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
70.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
71.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334
72.0,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461
73.0,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461
74.0,0.9795918367346939,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.7551020408163265,0.4897959183673469,0.9387755102040817,0.6326530612244898,0.5714285714285714,0.7959183673469388,0.6938775510204082,0.8571428571428571,0.9387755102040817,0.9795918367346939,0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9591836734693877,0.8571428571428571
75.0,0.98,0.96,0.96,0.96,0.76,0.5,0.94,0.62,0.58,0.8,0.7,0.86,0.94,0.96,0.96,0.98,0.98,0.96,0.86
76.0,0.98,0.96,0.96,0.96,0.76,0.5,0.94,0.62,0.58,0.8,0.7,0.86,0.94,0.96,0.96,0.98,0.98,0.96,0.86
77.0,0.9818181818181818,0.9727272727272728,0.9727272727272728,0.9818181818181818,0.7363636363636363,0.4636363636363636,0.9636363636363636,0.7090909090909091,0.6454545454545455,0.8,0.6363636363636364,0.8909090909090909,0.9363636363636364,0.9727272727272728,0.9818181818181818,0.990909090909091,0.990909090909091,0.9818181818181818,0.8
78.0,0.9826086956521739,0.9739130434782609,0.9739130434782609,0.9826086956521739,0.7478260869565218,0.4782608695652174,0.9565217391304348,0.7130434782608696,0.6521739130434783,0.808695652173913,0.6521739130434783,0.8956521739130435,0.9391304347826087,0.9739130434782609,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9652173913043478,0.808695652173913
79.0,0.9827586206896551,0.9741379310344828,0.9741379310344828,0.9827586206896551,0.7413793103448276,0.46551724137931033,0.9568965517241379,0.7068965517241379,0.646551724137931,0.8017241379310345,0.646551724137931,0.896551724137931,0.9396551724137931,0.9741379310344828,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8017241379310345
80.0,0.9833333333333333,0.9666666666666667,0.9666666666666667,0.975,0.75,0.4666666666666667,0.9583333333333334,0.7166666666666667,0.6583333333333333,0.8083333333333333,0.65,0.8916666666666667,0.9333333333333333,0.9666666666666667,0.9833333333333333,0.975,0.9833333333333333,0.9666666666666667,0.8083333333333333
81.0,0.9834710743801653,0.9669421487603306,0.9669421487603306,0.9752066115702479,0.7520661157024794,0.4628099173553719,0.9586776859504132,0.71900826446281,0.6611570247933884,0.8099173553719008,0.6446280991735537,0.8925619834710744,0.9338842975206612,0.9669421487603306,0.9834710743801653,0.9669421487603306,0.9834710743801653,0.9586776859504132,0.8099173553719008
82.0,0.9846153846153847,0.9692307692307692,0.9692307692307692,0.9769230769230769,0.7461538461538462,0.46153846153846156,0.9615384615384616,0.7307692307692307,0.6846153846153846,0.823076923076923,0.6461538461538462,0.9,0.9384615384615385,0.9692307692307692,0.9846153846153847,0.9692307692307692,0.9846153846153847,0.9615384615384616,0.8076923076923077
83.0,0.9922480620155039,0.9767441860465116,0.9767441860465116,0.9844961240310077,0.7441860465116279,0.46511627906976744,0.9689922480620154,0.7286821705426356,0.689922480620155,0.8294573643410853,0.6511627906976745,0.9069767441860465,0.9457364341085271,0.9767441860465116,0.9922480620155039,0.9767441860465116,0.9922480620155039,0.9612403100775194,0.813953488372093
84.0,0.9923076923076923,0.9769230769230769,0.9769230769230769,0.9846153846153847,0.7461538461538462,0.46153846153846156,0.9615384615384616,0.7230769230769231,0.6846153846153846,0.823076923076923,0.6461538461538462,0.9076923076923077,0.9461538461538461,0.9769230769230769,0.9923076923076923,0.9769230769230769,0.9923076923076923,0.9538461538461539,0.8153846153846154
85.0,0.9922480620155039,0.9767441860465116,0.9767441860465116,0.9844961240310077,0.7441860465116279,0.4573643410852713,0.9612403100775194,0.7209302325581395,0.6821705426356589,0.8217054263565892,0.6434108527131783,0.9069767441860465,0.9457364341085271,0.9767441860465116,0.9922480620155039,0.9767441860465116,0.9922480620155039,0.9534883720930233,0.813953488372093
86.0,0.993006993006993,0.9790209790209791,0.9790209790209791,0.986013986013986,0.7692307692307693,0.4965034965034965,0.958041958041958,0.7482517482517482,0.7132867132867133,0.8391608391608392,0.6363636363636364,0.916083916083916,0.951048951048951,0.9790209790209791,0.986013986013986,0.9790209790209791,0.993006993006993,0.951048951048951,0.8321678321678322
87.0,0.9928057553956835,0.9784172661870504,0.9784172661870504,0.9856115107913669,0.762589928057554,0.4892086330935252,0.9568345323741008,0.7410071942446043,0.7122302158273381,0.8345323741007195,0.6258992805755396,0.9136690647482014,0.9496402877697842,0.9784172661870504,0.9856115107913669,0.9784172661870504,0.9928057553956835,0.9496402877697842,0.8273381294964028
