Estimator,rock,reggae,pop,metal,jazz,hip-hop,disco,country,classical,blues
boeck2015/tempodetector2016_default,0.65,0.6464646464646465,0.85,0.66,0.53,0.92,0.93,0.75,0.54,0.59
boeck2019/multi_task,0.69,0.6565656565656566,0.89,0.83,0.7,0.95,0.92,0.84,0.55,0.66
boeck2019/multi_task_hjdb,0.66,0.6666666666666666,0.89,0.82,0.74,0.97,0.92,0.82,0.56,0.69
davies2009/mirex_qm_tempotracker,0.58,0.40404040404040403,0.75,0.62,0.49,0.93,0.89,0.53,0.24,0.57
echonest/version_3_2_1,0.68,0.6262626262626263,0.76,0.69,0.6,0.94,0.91,0.63,0.38,0.58
gkiokas2012/default,0.64,0.6565656565656566,0.78,0.66,0.69,0.82,0.94,0.82,0.5,0.66
klapuri2006/percival2014,0.66,0.5555555555555556,0.79,0.77,0.67,0.97,0.92,0.68,0.37,0.65
oliveira2010/ibt,0.62,0.40404040404040403,0.73,0.69,0.45,0.96,0.91,0.51,0.3,0.52
percival2014/stem,0.71,0.7777777777777778,0.84,0.82,0.79,0.98,0.93,0.77,0.48,0.71
scheirer1998/percival2014,0.57,0.5656565656565656,0.59,0.58,0.48,0.77,0.76,0.61,0.28,0.46
schreiber2014/default,0.71,0.7777777777777778,0.85,0.74,0.83,0.97,0.93,0.79,0.49,0.65
schreiber2017/ismir2017,0.75,0.7878787878787878,0.9,0.75,0.75,0.99,0.93,0.74,0.56,0.65
schreiber2017/mirex2017,0.87,0.9393939393939394,0.92,0.9,0.91,0.99,0.96,0.88,0.66,0.87
schreiber2018/cnn,0.71,0.6868686868686869,0.84,0.67,0.58,0.94,0.91,0.71,0.49,0.63
schreiber2018/fcn,0.7,0.7676767676767676,0.85,0.68,0.62,0.95,0.9,0.67,0.5,0.63
schreiber2018/ismir2018,0.67,0.5454545454545454,0.83,0.74,0.55,0.93,0.91,0.67,0.46,0.55
zplane/auftakt_v3,0.66,0.6363636363636364,0.78,0.7,0.61,0.94,0.91,0.68,0.37,0.6
