τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0.0,,,,,,,,,,,,,
0.005,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.0020758664553490254,0.031635707745692555,0.0011109902633366137,0.0010625756730793792,0.0010625756730793792,0.0010625756730793792,0.002538971614169904,0.002538971614169904,0.002538971614169904,0.016614156825892686
0.01,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.0020758664553490254,0.031635707745692555,0.0011109902633366137,0.0010625756730793792,0.0010625756730793792,0.0010625756730793792,0.002538971614169904,0.002538971614169904,0.002538971614169904,0.016614156825892686
0.015,0.0037503361752588647,0.0027737983739913323,0.0026342389987058165,0.0020758664553490254,0.031635707745692555,0.0011109902633366137,0.0010625756730793792,0.0010625756730793792,0.0010625756730793792,0.002538971614169904,0.002538971614169904,0.002538971614169904,0.016614156825892686
0.02,0.0045701266769700745,0.002664563939703324,0.0037922629690124595,0.002400558795161935,0.028578704536059152,0.0021138207275287315,0.0011502857123806547,0.0011740037216712504,0.0011740037216712504,0.0016163774337921045,0.0016163774337921045,0.0016163774337921045,0.14465393893064762
0.025,0.005838317724552726,0.004213786507975226,0.004602190704914325,0.002202666707536236,0.024605983535298494,0.0021659048406279377,0.0021941068982879713,0.002126073575838333,0.002126073575838333,0.0023493595129496776,0.0023493595129496776,0.0023493595129496776,0.0817260726518538
0.03,0.005838317724552726,0.004213786507975226,0.004602190704914325,0.002202666707536236,0.024605983535298494,0.0021659048406279377,0.0021941068982879713,0.002126073575838333,0.002126073575838333,0.0023493595129496776,0.0023493595129496776,0.0023493595129496776,0.0817260726518538
0.035,0.04533671843249948,0.027546797788237886,0.014207170478392383,0.004963441846635209,0.10517721931869826,0.040138655555200936,0.023375488308878457,0.004422957978885912,0.041080155863895886,0.02601077353790978,0.09672890583121446,0.10310636842500592,0.06890285042890752
0.04,0.07359628560175907,0.05815996685321862,0.04726782224050758,0.03795496735018402,0.09551355124579432,0.05266683405131482,0.0540900313121763,0.03774973722812765,0.06876736620775148,0.02431890509549841,0.11692084899149315,0.0919927822866827,0.08834671915007074
0.045,0.059879733888947774,0.05812220518205663,0.04560135526623065,0.041686321445787045,0.1183137414814213,0.07806090758732882,0.08112038073487242,0.056844035915442785,0.07364525161273902,0.04685100770039474,0.1122866626807811,0.11377919916628938,0.11590215422069927
0.05,0.041996484595421664,0.0702223324734296,0.0606164680227814,0.05943086611366431,0.11728688168324043,0.08517369108693447,0.0781168807569764,0.053302801416167556,0.06420088733283488,0.044898539125254266,0.08781675591558818,0.09104428071187946,0.09198072537242577
0.055,0.03516681630461735,0.05764285384248928,0.050534222063645995,0.05746655002282504,0.12519818142678127,0.08965815143592377,0.07703675424894982,0.06241253009597446,0.0706416963970287,0.06027563856770917,0.0878930338114298,0.10928388307684045,0.0767716724004012
0.06,0.03283534856850418,0.05202161448228528,0.04670213643465342,0.05034573775352676,0.13292126883619262,0.10288687020615328,0.08690689527922493,0.08010074519353497,0.07462008331716244,0.08147605232384286,0.09595777315686631,0.11513943477227019,0.08709826738436793
0.065,0.03069438917151977,0.05822523786562387,0.046948053758576185,0.055638384489037226,0.13202285045777745,0.10802740710608043,0.08443107970346597,0.0773518323812193,0.07273241893811526,0.0834287042874908,0.08888976031237837,0.10616044769276152,0.08534503193905241
0.07,0.033772235498364375,0.0604291443505823,0.053512603487635244,0.05354437277310385,0.13931630586830177,0.10759223451929974,0.08438006539575256,0.0819114046959713,0.08185845487431358,0.09019370398270841,0.09710356829311013,0.10894986239944386,0.09047179753815322
0.075,0.03284492946838594,0.05715254936765609,0.05116238859314185,0.05022488042251778,0.13700161678088948,0.10769142224220765,0.07928880192201741,0.07828899450033025,0.07824011774187696,0.09031655178880679,0.09213893112907431,0.10350446172321454,0.08561405615820067
0.08,0.03612895108727096,0.05473158993910367,0.04925263451171425,0.04792714590208568,0.14177466574281009,0.11497442403855282,0.08133370280108779,0.0814372019063899,0.07814692927581211,0.09943121821736187,0.09377320054548498,0.11344885499675245,0.08657248745664542
0.085,0.03597874442453334,0.06013148237081943,0.058512336742407446,0.054489604794333284,0.14939109802746914,0.1262431503662366,0.08649782957828443,0.09317434918812766,0.08294327391406076,0.10676577412786416,0.0950674615039703,0.12124205571035186,0.0891386495846325
0.09,0.036881857248798576,0.059116733000275715,0.057498094668778664,0.05408580715187974,0.14979036359192985,0.1289655609190168,0.08641784844620322,0.09364146594684715,0.08739494394655016,0.10812542747812498,0.09803238795742716,0.12217107091585315,0.09155364855441735
0.095,0.03792653623776506,0.05963482135256458,0.06433260142469886,0.05443579102271621,0.14937218631744725,0.1289730860552388,0.0881942534116882,0.09583874533553173,0.09008407546124239,0.11110263881259504,0.106309698484603,0.12833934744373515,0.08906332699535593
0.1,0.04089792085998229,0.0590318739636524,0.06731390912334895,0.05413386408432485,0.14894379553522683,0.12955347342402393,0.08695273279158347,0.09661221533367552,0.09423773732799202,0.11122785636868633,0.11199326501159643,0.13152804296400802,0.09263228407747368
0.105,0.0426981817031618,0.06105929768100006,0.06766686015386802,0.0564225537462061,0.15204775894212985,0.12968291141216767,0.09105091900837846,0.09782893252480583,0.09552378234410581,0.10923897377899694,0.11377177455949684,0.13154981097119992,0.09669952280806136
0.11,0.04378462196238485,0.06314872108241103,0.07017120492514466,0.05601896712218668,0.15220739773953576,0.13168581790569148,0.09437688561638094,0.0989334132419445,0.09669365739261186,0.11197544139495091,0.11462679283223035,0.13204847161422148,0.0995732735480211
0.115,0.045775342830333035,0.06493664660325342,0.07179183332875952,0.05676416571936311,0.1559820222208595,0.1359451798025786,0.09527672517674353,0.10246481961989916,0.09757657918871433,0.111372171162817,0.11390563521645686,0.1312309585004275,0.10428410736021199
0.12,0.04635554755982535,0.06517724098068832,0.07143654507071906,0.05712908424939755,0.15461537675958734,0.13668117743745975,0.09428702844687936,0.104488738950025,0.0969639340954402,0.11334751994164688,0.11514007627680944,0.13405826713046629,0.10541357548549495
0.125,0.04647376802102017,0.06474999339904278,0.07120011512366685,0.0567809462761936,0.1543714187913416,0.136382820924278,0.09611196144237318,0.10421158536536682,0.09673661365551436,0.11290706551958993,0.11460779808895287,0.1334806554422582,0.10502566374195553
0.13,0.047780975000778526,0.0657531325674388,0.0722775999987772,0.06099311967000123,0.15379976075042345,0.13891260853666396,0.09922983402891827,0.10715763381864411,0.09788504718703381,0.11546396136145544,0.11815084424659962,0.1358281136805258,0.10764592762978174
0.135,0.04794802604157294,0.06576241627645352,0.07211462417892064,0.06068373087473022,0.15323520063564317,0.13826778561069356,0.10121494333701103,0.10876350217205304,0.09960979485623263,0.11512316030045693,0.11796760380310974,0.13522623374364182,0.10746980433882988
0.14,0.04729607363344657,0.06599843414661315,0.07668167619123809,0.05993257404731371,0.15296006961140313,0.14343364494269525,0.10745752956812198,0.11128331844753588,0.10428996317185277,0.11604472130198777,0.12050918631011891,0.13812115340985867,0.11205955533809361
0.145,0.049535434782309436,0.06720373987615277,0.07762619697926919,0.06282188091926723,0.15350060015120126,0.14365303042200284,0.10929896125810942,0.11360059395372628,0.10677780831891348,0.11628114709268224,0.12053231105199978,0.13749857804370777,0.11742208587727365
0.15,0.05061476749750091,0.0678738025330776,0.07822362532787039,0.06343291782293285,0.1548383386430606,0.14392731271151157,0.11144288224338221,0.11571844458535753,0.10893700901896927,0.11642366273496738,0.12279621142824447,0.1373655483696432,0.11765430215643412
0.155,0.04963596375567961,0.06754992967214096,0.07777927120331098,0.06289963876572638,0.15510303453880378,0.14209468440918216,0.11101766770711312,0.11490599838703279,0.10832401680789128,0.11462889087294816,0.12020516121787087,0.1375176832537725,0.11608280516375649
0.16,0.05376542481880027,0.07034711770521658,0.07992774162289447,0.06454150781236205,0.15422017129703908,0.13994234841379108,0.11221487788746866,0.11448351607453203,0.1080895911119374,0.11557865129419213,0.11965804316971661,0.14001075380986688,0.115790952639748
0.165,0.055313953608536054,0.07054563663952602,0.07963779999722055,0.06413274992334829,0.15414684443424415,0.14074243154382274,0.11289971390672644,0.11390617965349228,0.10762001765007197,0.11525217973582694,0.12201029909328921,0.1401031990472144,0.11718382612156124
0.17,0.061238179363931264,0.07601058487048254,0.08336344523507838,0.06531259784836936,0.15841074568518976,0.14354673950154728,0.1150948719493988,0.11511365808334152,0.1090324795504008,0.11863230217070306,0.12511717800880445,0.14222295562026738,0.1183086799255264
