τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,
0.005,0.009339305752305401,0.020613426743182294,0.015749202327361565,0.004134211484243291,0.010655337349943127,0.01456969729023741,0.007423652046949165,0.09914040995699776,0.009296478343058754,0.009237916128989136,0.009237916128989136,0.0033697838876119842,0.003408377622004708,0.0032767262671120445,0.007018945098200461
0.01,0.009120371734892519,0.022411892619527238,0.020791713486098404,0.006029255510222077,0.014182390257415928,0.017054617290435007,0.007160111801190133,0.07486722773705681,0.007580378851382123,0.007532164053890309,0.008676581511715372,0.00430369302229714,0.004201345493947458,0.003967296212173268,0.00831113143264681
0.015,0.009414080343563724,0.026617306516803444,0.029895940197896438,0.008174843245082457,0.016564124787375074,0.02046678763004263,0.010495004866492214,0.06948590605380758,0.010827140456856937,0.010051312245894707,0.010854178724205644,0.006365722284482618,0.005756761885064439,0.005462549109575214,0.010824477148999
0.02,0.010497440216453473,0.029970160531160712,0.03556833682587885,0.008998491096393873,0.019732335922957894,0.02547261051137855,0.013725921755680546,0.0672347102982765,0.01467340856629033,0.014720601489551715,0.016098203818600363,0.008103944124490397,0.00757549692664888,0.007400649878370807,0.014937725596528943
0.025,0.011446381036217666,0.03459572725240725,0.04468388904778866,0.010716202695840607,0.02424181269462683,0.030752650222502495,0.01753384264547253,0.07049521532579288,0.0174869628918513,0.016403986874129164,0.01830086806133742,0.008974485533477796,0.008646858339509206,0.008427370403791847,0.019348203014065455
0.03,0.01172444883254727,0.03653123650994941,0.04769290921785041,0.0107486871270539,0.027136296236465747,0.03395889628181712,0.019708728468052654,0.0706959322651777,0.019163228171467178,0.01759142577425151,0.019426756495739335,0.009899712744022567,0.008937940557716318,0.008487699438371767,0.019817559546719238
0.035,0.011808457595743714,0.03698174233221609,0.04783969976090674,0.011843875415599874,0.02816876982436847,0.03465890128359235,0.01970656092793104,0.07021650345418627,0.019074051297993177,0.01756314407878693,0.019382375407981,0.00990799034401608,0.008995611446141753,0.008550130886363343,0.020537193896094343
0.04,0.011870383250286104,0.03769177324198753,0.0479219663883935,0.012011491162635318,0.028653931257199783,0.03504177345079649,0.019798255371939938,0.07046362011383506,0.019137556835536727,0.018223867076408034,0.02003252147926958,0.009930738126174694,0.009023663756776377,0.008606822485132237,0.020539031677289415
0.045,0.011870383250286104,0.03769177324198753,0.0479219663883935,0.012011491162635318,0.028653931257199783,0.03504177345079649,0.019798255371939938,0.07046362011383506,0.019137556835536727,0.018223867076408034,0.02003252147926958,0.009930738126174694,0.009023663756776377,0.008606822485132237,0.020539031677289415
0.05,0.011954011698934572,0.03766261742796797,0.047881337550285716,0.012062028418763285,0.028607367053583164,0.0350738500077811,0.019867619987556852,0.07038556684223685,0.019178271266798972,0.01827162479291976,0.020075036719251274,0.010042332420377938,0.009137887252050343,0.008742854011946766,0.020594550162923903
0.055,0.011954011698934572,0.03766261742796797,0.047881337550285716,0.012062028418763285,0.028607367053583164,0.0350738500077811,0.019867619987556852,0.07038556684223685,0.019178271266798972,0.01827162479291976,0.020075036719251274,0.010042332420377938,0.009137887252050343,0.008742854011946766,0.020594550162923903
0.06,0.011994183196456046,0.03765692391107787,0.04852965798123169,0.012075653422915741,0.02942235042369123,0.035725775693922976,0.019965636612253524,0.0709490892301766,0.019718631141741175,0.01881271701572241,0.020610916768856437,0.010013308338238118,0.009111477173287192,0.008717585647750388,0.0210585701159929
0.065,0.011997819290795056,0.03765478447758084,0.04847558900002955,0.012092639120652327,0.02939524532026092,0.035697227018850974,0.019939657043540688,0.070940556252778,0.019705973186008394,0.01880046113493523,0.020596066083230676,0.010010392728447776,0.009109862907169218,0.008728009829887863,0.021044311788713667
0.07,0.012078233438301582,0.03818785246912636,0.04939097003582868,0.012365838782139925,0.02992642622487073,0.03595973257866537,0.020240150560084224,0.07147088738177763,0.01970975332949841,0.018765052130034557,0.020555489869845702,0.010123430196215193,0.009373827788759167,0.009420476633909419,0.021405529020241072
0.075,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.08,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.085,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.09,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.095,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.1,0.012102652943568453,0.03825523296648199,0.04971369922526188,0.012491082797612303,0.030209377894454832,0.03593259720622324,0.020228780925022557,0.07137621384974059,0.01974520381882457,0.018804688584154707,0.020592553855948877,0.01018162364862001,0.009433098256117226,0.009479680077064675,0.02141872268520254
0.105,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.11,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.115,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.12,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.125,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.13,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.135,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.14,0.012097255703787637,0.03822775521438052,0.049647887953617104,0.012497370797277703,0.030560547674372572,0.035881043982111005,0.020244482298696985,0.07130080333736154,0.019720529073412152,0.01878136321497567,0.020566663424691052,0.01019151158220727,0.009467702935392562,0.009514217924459167,0.02140265542499117
0.145,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.15,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.155,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.16,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.165,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.17,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.175,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.18,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
0.185,0.012121698558177766,0.03822481681595118,0.049592563370766236,0.012503926875446275,0.031135340276259308,0.035878273620995285,0.020231428172797744,0.0712185240207386,0.019703460987005587,0.0187646754371702,0.02054741791019544,0.01017691056274852,0.009454138891072515,0.009500587239753638,0.021396453215727494
