Estimator,trance,techno,tech-house,reggae-dub,psy-trance,progressive-house,pop-rock,minimal,indie-dance-nu-disco,house,hip-hop,hardcore-hard-techno,hard-dance,glitch-hop,funk-r-and-b,electronica,electro-house,dubstep,drum-and-bass,dj-tools,deep-house,chill-out,breaks
boeck2015/tempodetector2016_default,0.9864864864864865,0.9836065573770492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9411764705882353,1.0,0.9038461538461539,0.9545454545454546,0.9078947368421053,0.8705035971223022,0.625,1.0,0.9333333333333333,1.0
boeck2019/multi_task,0.9864864864864865,0.9344262295081968,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9230769230769231,1.0,0.8947368421052632,0.9784172661870504,0.75,1.0,1.0,0.9615384615384616
boeck2019/multi_task_hjdb,1.0,0.9508196721311475,0.9545454545454546,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9230769230769231,1.0,0.8947368421052632,0.9784172661870504,0.625,1.0,1.0,0.9615384615384616
boeck2020/dar,1.0,0.9672131147540983,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9411764705882353,1.0,0.9423076923076923,1.0,0.9078947368421053,0.9784172661870504,0.75,1.0,1.0,1.0
davies2009/mirex_qm_tempotracker,0.24324324324324326,0.6721311475409836,0.7727272727272727,0.5,0.4117647058823529,0.6842105263157895,1.0,0.875,0.6363636363636364,0.6956521739130435,0.0,0.42857142857142855,0.375,0.6470588235294118,1.0,0.4807692307692308,0.6818181818181818,0.47368421052631576,0.5323741007194245,0.5,0.7916666666666666,0.8,0.34615384615384615
percival2014/stem,0.9864864864864865,0.8852459016393442,1.0,0.5,1.0,0.8947368421052632,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9615384615384616,0.9090909090909091,0.9473684210526315,0.9928057553956835,0.625,1.0,1.0,0.9615384615384616
schreiber2014/default,0.9324324324324325,0.9836065573770492,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.782608695652174,1.0,0.7857142857142857,1.0,0.9411764705882353,1.0,0.9615384615384616,0.9090909090909091,0.8947368421052632,0.9064748201438849,0.625,1.0,1.0,1.0
schreiber2017/ismir2017,0.9864864864864865,0.9508196721311475,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9130434782608695,1.0,0.9285714285714286,0.875,1.0,1.0,0.9615384615384616,1.0,0.8947368421052632,0.9496402877697842,0.75,1.0,1.0,1.0
schreiber2017/mirex2017,0.9864864864864865,0.9672131147540983,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9130434782608695,1.0,0.9285714285714286,0.875,1.0,1.0,0.9807692307692307,1.0,0.8947368421052632,0.9496402877697842,0.875,1.0,1.0,1.0
schreiber2018/cnn,1.0,0.9672131147540983,1.0,0.5,0.9705882352941176,0.9473684210526315,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9807692307692307,1.0,0.9473684210526315,0.9712230215827338,1.0,1.0,1.0,1.0
schreiber2018/fcn,0.9864864864864865,0.9836065573770492,1.0,1.0,0.9411764705882353,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9605263157894737,0.9784172661870504,0.875,1.0,1.0,1.0
schreiber2018/ismir2018,1.0,0.9672131147540983,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9807692307692307,1.0,0.9473684210526315,0.9640287769784173,0.75,1.0,1.0,1.0
