Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
boeck2015/tempodetector2016_default,217,40.82,240.0,102.3,44.731257672492994,58.0,0.5806451612903226
boeck2019/multi_task,217,33.74,188.73,74.51576036866359,22.090972944757656,53.0,0.8525345622119815
boeck2019/multi_task_hjdb,217,34.66,179.94,76.43299539170506,21.453359137927666,53.0,0.847926267281106
boeck2020/dar,217,33.62,199.66,74.91396313364055,25.544211889833452,53.0,0.7465437788018433
davies2009/mirex_qm_tempotracker,217,71.7773,215.332,136.09812396313365,31.828796590601797,96.0,0.8571428571428571
percival2014/stem,217,51.9394,150.89,92.58095668202765,20.305178440214412,69.0,0.8755760368663594
schreiber2014/default,217,47.787308,154.04704,88.34348995852534,20.461688199704824,61.0,0.880184331797235
schreiber2017/ismir2017,217,22.395372,149.8282,90.05008857142857,23.37869726903137,58.0,0.8110599078341014
schreiber2017/mirex2017,217,11.197686,176.63956,82.92116635023042,28.18107725048298,56.0,0.6728110599078341
schreiber2018/cnn,217,49.0,224.0,96.84331797235023,27.938480102209812,61.0,0.8525345622119815
schreiber2018/fcn,217,38.0,198.0,94.94930875576037,31.03212511046933,63.0,0.7465437788018433
schreiber2018/ismir2018,217,53.0,205.0,96.91244239631337,26.046373921719816,67.0,0.8940092165898618
sun2021/default,217,40.0,232.0,91.19354838709677,34.11784255204618,59.0,0.8248847926267281
