Estimator,Accuracy1,Accuracy2
sun2021/default,0.9441260744985673,0.9584527220630372
boeck2019/multi_task,0.9369627507163324,0.9498567335243553
boeck2020/dar,0.9369627507163324,0.9455587392550143
schreiber2018/cnn,0.9340974212034384,0.9570200573065902
boeck2019/multi_task_hjdb,0.9326647564469914,0.9469914040114613
schreiber2018/fcn,0.9154727793696275,0.9613180515759312
schreiber2018/ismir2018,0.9126074498567335,0.9598853868194842
schreiber2017/mirex2017,0.8825214899713467,0.9527220630372493
schreiber2017/ismir2017,0.830945558739255,0.9484240687679083
boeck2015/tempodetector2016_default,0.8051575931232091,0.9541547277936963
davies2009/mirex_qm_tempotracker,0.66189111747851,0.8968481375358166
schreiber2014/default,0.6432664756446992,0.9383954154727794
zplane/auftakt_v3,0.6418338108882522,0.9212034383954155
percival2014/stem,0.6275071633237822,0.9197707736389685
klapuri2006/percival2014,0.6232091690544412,0.9011461318051576
oliveira2010/ibt,0.6203438395415473,0.8782234957020058
gkiokas2012/default,0.6002865329512894,0.9441260744985673
echonest/version_3_2_1,0.5515759312320917,0.8409742120343839
scheirer1998/percival2014,0.5257879656160458,0.7363896848137536
