Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.12,0.0,0.0,0.0,0.0,0.0
0.0005,0.12,0.0,0.18,0.54,0.67,0.67
0.001,0.18,0.0,0.32,0.7,0.71,0.71
0.0015,0.21,0.0,0.56,0.73,0.73,0.73
0.002,0.21,0.02,0.71,0.73,0.73,0.73
0.0025,0.25,0.02,0.74,0.73,0.73,0.73
0.003,0.3,0.02,0.74,0.73,0.73,0.73
0.0035,0.43,0.07,0.76,0.73,0.73,0.73
0.004,0.49,0.1,0.76,0.74,0.74,0.74
0.0045,0.51,0.1,0.76,0.74,0.74,0.74
0.005,0.53,0.1,0.77,0.74,0.74,0.74
0.0055,0.6,0.11,0.77,0.74,0.74,0.74
0.006,0.6,0.11,0.77,0.75,0.75,0.75
0.0065,0.6,0.11,0.77,0.75,0.75,0.75
0.007,0.61,0.11,0.77,0.75,0.75,0.75
0.0075,0.61,0.2,0.77,0.75,0.75,0.75
0.008,0.62,0.2,0.77,0.75,0.76,0.76
0.0085,0.63,0.25,0.77,0.76,0.77,0.77
0.009,0.63,0.28,0.79,0.76,0.77,0.77
0.0095,0.63,0.31,0.79,0.76,0.78,0.78
0.01,0.63,0.31,0.8,0.77,0.78,0.78
0.0105,0.64,0.32,0.8,0.77,0.78,0.78
0.011,0.64,0.32,0.8,0.77,0.78,0.78
0.0115,0.64,0.33,0.8,0.77,0.78,0.78
0.012,0.64,0.33,0.8,0.77,0.78,0.78
0.0125,0.64,0.34,0.8,0.77,0.78,0.78
0.013,0.64,0.36,0.8,0.77,0.78,0.78
0.0135,0.64,0.4,0.8,0.77,0.78,0.78
0.014,0.64,0.4,0.8,0.77,0.78,0.78
0.0145,0.64,0.45,0.81,0.77,0.78,0.78
0.015,0.64,0.47,0.81,0.78,0.79,0.79
0.0155,0.64,0.47,0.81,0.78,0.79,0.79
0.016,0.64,0.47,0.81,0.78,0.79,0.79
0.0165,0.64,0.47,0.81,0.78,0.79,0.79
0.017,0.64,0.51,0.81,0.78,0.79,0.79
0.0175,0.64,0.53,0.81,0.78,0.79,0.79
0.018,0.64,0.53,0.81,0.78,0.79,0.79
0.0185,0.64,0.57,0.81,0.78,0.79,0.79
0.019,0.64,0.59,0.81,0.78,0.79,0.79
0.0195,0.64,0.62,0.81,0.78,0.79,0.79
0.02,0.64,0.62,0.81,0.78,0.79,0.79
0.0205,0.64,0.62,0.81,0.78,0.79,0.79
0.021,0.64,0.62,0.81,0.78,0.79,0.79
0.0215,0.64,0.62,0.81,0.78,0.79,0.79
0.022,0.64,0.62,0.81,0.78,0.79,0.79
0.0225,0.64,0.63,0.81,0.78,0.79,0.79
0.023,0.64,0.64,0.81,0.78,0.79,0.79
0.0235,0.64,0.64,0.81,0.78,0.79,0.79
0.024,0.64,0.65,0.81,0.79,0.79,0.79
0.0245,0.64,0.65,0.81,0.79,0.79,0.79
0.025,0.64,0.65,0.81,0.79,0.79,0.79
0.0255,0.64,0.71,0.81,0.79,0.79,0.79
0.026,0.64,0.71,0.81,0.79,0.79,0.79
0.0265,0.64,0.71,0.81,0.8,0.79,0.79
0.027,0.64,0.71,0.81,0.8,0.79,0.79
0.0275,0.64,0.71,0.81,0.8,0.8,0.8
0.028,0.64,0.72,0.82,0.8,0.8,0.8
0.0285,0.64,0.72,0.82,0.8,0.8,0.8
0.029,0.64,0.72,0.82,0.81,0.81,0.81
0.0295,0.64,0.72,0.82,0.81,0.81,0.81
0.03,0.64,0.72,0.83,0.81,0.81,0.81
0.0305,0.65,0.72,0.83,0.81,0.81,0.81
0.031,0.65,0.72,0.83,0.81,0.81,0.81
0.0315,0.65,0.72,0.83,0.81,0.81,0.81
