Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0,0.0030160165516677794,0.020304367263670995,-0.0020557688462187742,0.0,0.0,0.0068532738706074394,-0.004462039357226669,-0.004462039357226669
1,-0.0036662652816699536,0.013622085430333145,0.00015972093823490345,0.0,0.0,0.0001709920372696566,0.0001709920372696566,0.0001709920372696566
2,0.019608556459292947,0.03870788796103298,-0.9979506314710076,0.0,0.0,0.00024323159236192484,0.009958386425573678,0.00024323159236192484
3,-0.0017766989226107941,0.016093097635790348,-0.008997743746545819,-0.0012694685377623934,-0.0012694685377623934,0.005454870308465089,0.005454870308465089,0.005454870308465089
4,-0.0072251930279893075,0.013068559557706461,0.0014811854786514827,0.0,0.0,0.00692327054689962,0.00692327054689962,0.00692327054689962
5,-0.006387465523743182,0.0065283520691006135,-0.9986123410499638,-1.0,-1.0,0.000104525570005866,0.000104525570005866,0.000104525570005866
6,-0.0036662652816699536,0.013622085430333145,0.00015972093823490345,0.0,0.0,0.0001709920372696566,0.0001709920372696566,0.0001709920372696566
7,-0.0030611947445152556,0.012911739604394347,0.00509586423755822,0.0,0.0,0.00844887111585827,-0.00449018459163986,0.00844887111585827
8,-0.009885562220162129,0.022719868910672132,0.0003574995111685781,0.0,0.0,0.000221402624987808,0.000221402624987808,0.000221402624987808
9,-0.004408337651021892,0.014695739581505857,-0.006370293662863824,0.0,0.0,-0.004408337651021892,-0.004408337651021892,-0.004408337651021892
10,0.0010460444979727421,0.013091176787841621,-3.92703023057715e-05,0.0,0.0,0.0010460444979727421,0.0010460444979727421,0.0010460444979727421
11,0.0030160165516677794,0.020304367263670995,0.002383017589136032,0.0,0.0,0.0068532738706074394,0.0068532738706074394,0.0068532738706074394
12,0.004812170152572988,0.027659443322135296,0.00018121934671160153,0.00043752872706757787,0.00043752872706757787,4.805364279817974e-05,4.805364279817974e-05,4.805364279817974e-05
