Estimator,Accuracy1,Accuracy2
boeck2015/tempodetector2016_default,0.8063063063063063,0.8828828828828829
boeck2019/multi_task_hjdb,0.7972972972972973,0.8873873873873874
boeck2019/multi_task,0.7972972972972973,0.8963963963963963
schreiber2018/ismir2018,0.7747747747747747,0.8423423423423423
schreiber2018/fcn,0.7702702702702703,0.8648648648648649
schreiber2018/cnn,0.7657657657657657,0.8468468468468469
schreiber2017/mirex2017,0.7387387387387387,0.8603603603603603
schreiber2017/ismir2017,0.7297297297297297,0.8513513513513513
oliveira2010/ibt,0.7252252252252253,0.8198198198198198
davies2009/mirex_qm_tempotracker,0.7207207207207207,0.8288288288288288
klapuri2006/percival2014,0.7162162162162162,0.8423423423423423
schreiber2014/default,0.7072072072072072,0.8693693693693694
zplane/auftakt_v3,0.6981981981981982,0.8243243243243243
percival2014/stem,0.6981981981981982,0.8693693693693694
echonest/version_3_2_1,0.6666666666666666,0.8558558558558559
gkiokas2012/default,0.6441441441441441,0.8468468468468469
scheirer1998/percival2014,0.49099099099099097,0.6531531531531531
