Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,0.03404255319148936,0.005673758865248227,0.004964539007092199,0.0070921985815602835,0.0,0.0007092198581560284,0.3617021276595745,0.0007092198581560284,0.1723404255319149,0.0,0.0,0.0,0.0,0.0,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.11914893617021277
0.0005,0.05035460992907802,0.05815602836879433,0.05390070921985816,0.0673758865248227,0.02269503546099291,0.10070921985815603,0.3617021276595745,0.04184397163120567,0.1723404255319149,0.07446808510638298,0.02553191489361702,0.16170212765957448,0.16950354609929077,0.1900709219858156,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.11914893617021277
0.001,0.09858156028368795,0.10851063829787234,0.11205673758865248,0.1347517730496454,0.02269503546099291,0.15319148936170213,0.3617021276595745,0.0524822695035461,0.1723404255319149,0.12411347517730496,0.05531914893617021,0.20921985815602837,0.225531914893617,0.251063829787234,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.16595744680851063
0.0015,0.12127659574468085,0.1652482269503546,0.16879432624113475,0.18936170212765957,0.031914893617021274,0.20141843971631207,0.3617021276595745,0.10638297872340426,0.1723404255319149,0.19432624113475178,0.06524822695035461,0.24113475177304963,0.2624113475177305,0.2950354609929078,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.22624113475177304
0.002,0.12978723404255318,0.2099290780141844,0.2226950354609929,0.24822695035460993,0.0524822695035461,0.23191489361702128,0.3617021276595745,0.16950354609929077,0.1723404255319149,0.25886524822695034,0.09432624113475177,0.27163120567375887,0.2929078014184397,0.3262411347517731,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.24609929078014184
0.0025,0.15602836879432624,0.26170212765957446,0.26099290780141843,0.2851063829787234,0.06028368794326241,0.25673758865248225,0.3617021276595745,0.18014184397163122,0.1723404255319149,0.27872340425531916,0.10851063829787234,0.30638297872340425,0.3312056737588652,0.3702127659574468,0.4078014184397163,0.38865248226950355,0.3595744680851064,0.2723404255319149
0.003,0.2,0.2907801418439716,0.29716312056737587,0.3276595744680851,0.06312056737588652,0.29219858156028367,0.36312056737588655,0.19078014184397163,0.1723404255319149,0.30638297872340425,0.14042553191489363,0.3312056737588652,0.3546099290780142,0.3964539007092199,0.4106382978723404,0.39290780141843973,0.3617021276595745,0.30141843971631205
0.0035,0.24609929078014184,0.32269503546099293,0.324113475177305,0.3624113475177305,0.09787234042553192,0.31560283687943264,0.36737588652482267,0.24609929078014184,0.17801418439716313,0.3333333333333333,0.15319148936170213,0.35390070921985817,0.38085106382978723,0.4276595744680851,0.4177304964539007,0.39858156028368796,0.36737588652482267,0.3219858156028369
0.004,0.2624113475177305,0.3432624113475177,0.3524822695035461,0.39290780141843973,0.12907801418439716,0.3446808510638298,0.3822695035460993,0.3099290780141844,0.1921985815602837,0.3617021276595745,0.17375886524822695,0.3872340425531915,0.4148936170212766,0.46170212765957447,0.43617021276595747,0.4156028368794326,0.3851063829787234,0.34893617021276596
0.0045,0.2936170212765957,0.36666666666666664,0.3730496453900709,0.43120567375886526,0.150354609929078,0.37375886524822693,0.3943262411347518,0.34822695035460993,0.20212765957446807,0.38581560283687943,0.18368794326241134,0.4056737588652482,0.4375886524822695,0.48652482269503544,0.4482269503546099,0.42836879432624114,0.39787234042553193,0.37375886524822693
0.005,0.30921985815602837,0.3971631205673759,0.39361702127659576,0.46808510638297873,0.15673758865248227,0.4049645390070922,0.4106382978723404,0.3680851063829787,0.2170212765957447,0.4056737588652482,0.22056737588652484,0.42907801418439717,0.4581560283687943,0.5099290780141844,0.4645390070921986,0.44397163120567373,0.4134751773049645,0.40283687943262414
0.0055,0.3326241134751773,0.41914893617021276,0.41843971631205673,0.4921985815602837,0.1702127659574468,0.424822695035461,0.41702127659574467,0.38581560283687943,0.22198581560283687,0.42624113475177305,0.251063829787234,0.45177304964539006,0.48226950354609927,0.5361702127659574,0.47375886524822697,0.45177304964539006,0.42127659574468085,0.4198581560283688
0.006,0.35390070921985817,0.44113475177304967,0.4453900709219858,0.5205673758865248,0.1723404255319149,0.4418439716312057,0.43049645390070923,0.4198581560283688,0.23687943262411348,0.4553191489361702,0.2886524822695035,0.47375886524822697,0.5056737588652482,0.5638297872340425,0.4929078014184397,0.47092198581560285,0.4390070921985816,0.44042553191489364
