Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
schreiber2017/mirex2017,0.08864045267969473,0.2709574794506535,0.018385179146670937,0.04859794958145021
schreiber2014/default,0.24266814359712874,0.41552574635503237,0.032705294382561256,0.08951030461274306
schreiber2017/ismir2017,0.29840905348375946,0.4479971684058757,0.03218697244871419,0.08689718826023124
echonest/version_3_2_1,0.31422868406526583,0.43162588681600467,0.06758941048645702,0.1274949248141148
schreiber2018/fcn,0.31478533051404123,0.4829468949855871,0.025454909574730896,0.07299782476168151
percival2014/stem,0.3342085021778826,0.4536326861504267,0.04793204058781196,0.1092738954468481
schreiber2018/cnn,0.3447185967858571,0.4880772194237775,0.026267593607669698,0.07262206795622948
sun2021/default,0.37742529285424314,0.47497673175122634,0.03776487629489104,0.08534808542414167
zplane/auftakt_v3,0.38407596116366927,0.4781395302616922,0.060465843776995994,0.12679820986670062
klapuri2006/percival2014,0.3905194093365891,0.49200145653314564,0.03714384226473302,0.09855456090653351
klapuri2006/ismir2004,0.39775880340800046,0.49419025191934335,0.03647431310134592,0.10015850745138075
schreiber2018/ismir2018,0.3989587452008496,0.4960060854016935,0.034312667231914035,0.09254682318782469
scheirer1998/percival2014,0.4118969581789649,0.4659150855928999,0.10400518430286644,0.16161262695949083
gkiokas2012/default,0.42473191681296113,0.513217232372912,0.03347994455161889,0.08829741688737436
oliveira2010/ibt,0.4510900464963931,0.4878473267923552,0.07464503574663309,0.1337967909958467
boeck2015/tempodetector2016_default,0.4598805535416953,0.5308864894053541,0.024810949401358494,0.07738043989405127
alonso2004/ismir2004_spec,0.4764329288289227,0.47065595594847964,0.09958011104680643,0.15038913491366884
scheirer1998/ismir2004,0.4895651294536172,0.4703412399981625,0.10988815250937432,0.16089958635665425
uhle2004/ismir2004,0.559706195066337,0.5655951841333802,0.0930782418551832,0.14959985435898412
davies2009/mirex_qm_tempotracker,0.5616370369268132,0.546228474927923,0.07217283138086505,0.13536805561556073
alonso2004/ismir2004_corr,0.6621468407894546,0.5333450801080013,0.13478769750823114,0.16503887734019226
tzanetakis2002/ismir2004_msum,0.7047599705781379,0.6043983046266747,0.13908598711337705,0.17995436124122932
dixon2001/ismir2004_indu,0.7130195542104026,0.5868056772923572,0.1195525160650815,0.17427624374805245
tzanetakis2002/ismir2004_mmul,0.7608087317378802,0.5884364799577743,0.17018148386249699,0.18114644169777916
dixon2001/ismir2004_trac,0.8342469753122425,0.5431103047402068,0.09070353705367548,0.1539368748894868
dixon2003/ismir2004_auco,0.894381742379758,0.5220561558027884,0.0838403027965531,0.15168094945000263
tzanetakis2002/ismir2004_hist,1.0446859157935955,0.7207528000187904,0.1742401729158148,0.219482542925589
