T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
106.0,0.06082664033540667,0.12406076591505773,0.097876227403941,0.10138269474668189,0.09697227701070152,0.09697227701070152,0.0681112517032333,0.06666619515461221,0.11506034700963105
107.0,0.06301926155128156,0.12789428253351898,0.10122505918027326,0.11546645416656318,0.09923976927509995,0.09923976927509995,0.06950664743010335,0.06759725117761398,0.11669256205250599
108.0,0.05786109090360783,0.12155664789470985,0.09774165576046931,0.11575225606189518,0.10469498608793894,0.10469498608793894,0.0709681865098111,0.06749075870324875,0.11330011559325241
109.0,0.05142733538168385,0.11029512821617056,0.09617731420693983,0.11521368192979886,0.10313119698487005,0.10313119698487005,0.06817427149408954,0.06425765762150297,0.117913419850796
110.0,0.03795296991219511,0.10246946130107247,0.08639957292989936,0.11067046061545835,0.11142158986585465,0.11142158986585465,0.05712274026573674,0.059446566997011716,0.12652573399542683
111.0,0.024694256936638636,0.09411771731723642,0.09328425642684642,0.10462115259236607,0.10456584083267498,0.10456584083267498,0.057954474460989315,0.04929481895234476,0.1363491309766511
112.0,0.02070797276470735,0.10364099683162577,0.10807359156576597,0.10955634295908986,0.1254961718972028,0.1254961718972028,0.05851550464468111,0.04457865356117601,0.15738852436499107
113.0,0.02070797276470735,0.10364099683162577,0.10807359156576597,0.10955634295908986,0.1254961718972028,0.1254961718972028,0.05851550464468111,0.04457865356117601,0.15738852436499107
114.0,0.02295462761335334,0.11251368905775169,0.12341688353116027,0.1241474472906395,0.14267977476660668,0.14267977476660668,0.06659083292895676,0.050663003119236646,0.17958856975216814
115.0,0.03322788690654279,0.0945964922679653,0.1322690146062725,0.1256076903262919,0.1790940802443245,0.1790940802443245,0.10084393060133749,0.06891340779898347,0.2321408864938698
116.0,0.03322788690654279,0.0945964922679653,0.1322690146062725,0.1256076903262919,0.1790940802443245,0.1790940802443245,0.10084393060133749,0.06891340779898347,0.2321408864938698
117.0,0.03322788690654279,0.0945964922679653,0.1322690146062725,0.1256076903262919,0.1790940802443245,0.1790940802443245,0.10084393060133749,0.06891340779898347,0.2321408864938698
118.0,0.03624493153688034,0.10255752484404045,0.14365482194037557,0.13569732461343942,0.19424099604195255,0.19424099604195255,0.10896667745184781,0.07127334771010446,0.2163033913945
119.0,0.03468792135346927,0.0973784046491629,0.13466617250489213,0.1279417132613596,0.2481625374251096,0.2481625374251096,0.1036953972724362,0.06914317834250477,0.20208738505320067
120.0,0.03659902584475504,0.06026895273566069,0.11681257457468167,0.12183833916345459,0.17853302124599815,0.17853302124599815,0.06739189694707637,0.04165391120198469,0.1464479672785409
121.0,0.03659902584475504,0.06026895273566069,0.11681257457468167,0.12183833916345459,0.17853302124599815,0.17853302124599815,0.06739189694707637,0.04165391120198469,0.1464479672785409
122.0,0.034340130615221065,0.05948220838527157,0.10896433593847017,0.11510737600308907,0.16707750124542065,0.16707750124542065,0.06512518757000788,0.03973760384120372,0.1348914622328189
123.0,0.03398335713163616,0.05605983474585174,0.10773221840147498,0.12108014191917592,0.17795283673841147,0.17795283673841147,0.06686417955129055,0.03916863366532237,0.11280524611504393
124.0,0.035686426293671046,0.06157327875625697,0.08760554123913368,0.14525620844939652,0.1726641685264373,0.1726641685264373,0.07627949714099229,0.04169878415720149,0.09157607063465961
125.0,0.07557715361612208,0.06083161254880961,0.08136530064737306,0.17269972814739804,0.15611580044011106,0.15611580044011106,0.06915576779348784,0.07953687603596052,0.08609356991052225
126.0,0.09422746240409799,0.0706242094619707,0.09531433516432047,0.20576884921317987,0.18531990555984962,0.18531990555984962,0.0803604302241684,0.09333681552725925,0.10153268287046141
127.0,0.09851543865159519,0.06388867765895109,0.09584144697698835,0.182327727352517,0.20284649832621873,0.20284649832621873,0.08514990443623952,0.10170474939699695,0.10934676460343153
128.0,0.11398654749714394,0.051073062496371134,0.08984852826407629,0.1796003571865752,0.2036799725885913,0.2036799725885913,0.07439170713064248,0.11095645554383611,0.09533448108748017
129.0,0.10847301520896728,0.050587087538740715,0.08453950856228105,0.21179247824662736,0.2373228598686588,0.17803178854310975,0.06977614961421945,0.10539639426861794,0.08772709872008033
130.0,0.10847301520896728,0.050587087538740715,0.08453950856228105,0.21179247824662736,0.2373228598686588,0.17803178854310975,0.06977614961421945,0.10539639426861794,0.08772709872008033
