Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,0.05106382978723404,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.13191489361702127,0.11914893617021277,0.11914893617021277
0.0005,0.30638297872340425,0.07659574468085106,0.17872340425531916,0.00851063829787234,0.251063829787234,0.20851063829787234,0.2127659574468085,0.2127659574468085,0.28936170212765955,0.2851063829787234,0.2425531914893617
0.001,0.3148936170212766,0.14468085106382977,0.3276595744680851,0.00851063829787234,0.37446808510638296,0.41702127659574467,0.4340425531914894,0.4340425531914894,0.42127659574468085,0.41702127659574467,0.39148936170212767
0.0015,0.3148936170212766,0.23829787234042554,0.5063829787234042,0.00851063829787234,0.5234042553191489,0.5574468085106383,0.5659574468085107,0.5659574468085107,0.6127659574468085,0.5617021276595745,0.49361702127659574
0.002,0.3191489361702128,0.2723404255319149,0.6085106382978723,0.01276595744680851,0.6085106382978723,0.6978723404255319,0.7191489361702128,0.7191489361702128,0.6595744680851063,0.5914893617021276,0.5234042553191489
0.0025,0.3191489361702128,0.33617021276595743,0.6851063829787234,0.01276595744680851,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.7063829787234043,0.6425531914893617,0.5829787234042553
0.003,0.3191489361702128,0.37872340425531914,0.774468085106383,0.03404255319148936,0.851063829787234,0.8851063829787233,0.9148936170212766,0.9148936170212766,0.7531914893617021,0.7063829787234043,0.6510638297872341
0.0035,0.3276595744680851,0.40425531914893614,0.851063829787234,0.03404255319148936,0.902127659574468,0.9446808510638298,0.9617021276595744,0.9617021276595744,0.7914893617021277,0.7489361702127659,0.6893617021276596
0.004,0.3276595744680851,0.46808510638297873,0.8978723404255319,0.03829787234042553,0.948936170212766,0.9531914893617022,0.9787234042553191,0.9787234042553191,0.851063829787234,0.7872340425531915,0.723404255319149
0.0045,0.3276595744680851,0.5063829787234042,0.9276595744680851,0.0425531914893617,0.9829787234042553,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.8765957446808511,0.8170212765957446,0.7489361702127659
0.005,0.3276595744680851,0.5319148936170213,0.948936170212766,0.06382978723404255,0.9914893617021276,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.8808510638297873,0.8297872340425532,0.7531914893617021
0.0055,0.3617021276595745,0.5702127659574469,0.9531914893617022,0.06382978723404255,0.9957446808510638,0.9617021276595744,0.9787234042553191,0.9787234042553191,0.9148936170212766,0.8893617021276595,0.8553191489361702
0.006,0.41702127659574467,0.5914893617021276,0.9702127659574468,0.06382978723404255,1.0,0.9617021276595744,0.9787234042553191,0.9787234042553191,0.9361702127659575,0.9148936170212766,0.8936170212765957
0.0065,0.6042553191489362,0.6170212765957447,0.9787234042553191,0.06382978723404255,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,0.9446808510638298,0.9361702127659575,0.9106382978723404
0.007,0.7531914893617021,0.6553191489361702,0.9914893617021276,0.07659574468085106,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9617021276595744,0.948936170212766
0.0075,0.7702127659574468,0.6680851063829787,0.9957446808510638,0.10638297872340426,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,0.9957446808510638,0.9914893617021276,0.9829787234042553
0.008,0.7702127659574468,0.6936170212765957,0.9957446808510638,0.10638297872340426,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,0.9957446808510638,1.0,0.9914893617021276
0.0085,0.7702127659574468,0.7106382978723405,0.9957446808510638,0.11063829787234042,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.009,0.774468085106383,0.7148936170212766,0.9957446808510638,0.13617021276595745,1.0,0.9659574468085106,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0095,0.7787234042553192,0.7191489361702128,0.9957446808510638,0.20851063829787234,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.01,0.7829787234042553,0.7276595744680852,1.0,0.20851063829787234,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0105,0.7872340425531915,0.7404255319148936,1.0,0.2170212765957447,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.011,0.7957446808510639,0.7531914893617021,1.0,0.2297872340425532,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0115,0.8085106382978723,0.7659574468085106,1.0,0.3702127659574468,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.012,0.825531914893617,0.7702127659574468,1.0,0.3829787234042553,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0125,0.851063829787234,0.774468085106383,1.0,0.40425531914893614,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.013,0.8723404255319149,0.7914893617021277,1.0,0.41702127659574467,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0135,0.9659574468085106,0.8,1.0,0.4808510638297872,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.014,0.9957446808510638,0.8085106382978723,1.0,0.4851063829787234,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0145,1.0,0.8297872340425532,1.0,0.5234042553191489,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.015,1.0,0.8382978723404255,1.0,0.5276595744680851,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0155,1.0,0.8468085106382979,1.0,0.5319148936170213,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.016,1.0,0.8553191489361702,1.0,0.5446808510638298,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0165,1.0,0.8638297872340426,1.0,0.5957446808510638,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.017,1.0,0.8680851063829788,1.0,0.6085106382978723,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0175,1.0,0.8723404255319149,1.0,0.6127659574468085,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.018,1.0,0.8851063829787233,1.0,0.6297872340425532,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
0.0185,1.0,0.8936170212765957,1.0,0.6382978723404256,1.0,0.9702127659574468,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9914893617021276
