Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0,0.971309498008222,0.9576768791218372,0.9563145229203293,0.01275070202345374,0.9929666713279791,0.0451662940594259,0.0429607838395268,3.733687649496223e-06,3.733687649496223e-06,0.019531256782795114,0.019531256782795114,0.019531256782795114,0.09211409904611413
1,2.047542175842813,0.5483442288999711,0.5633891667718208,0.7437324883375963,1.0166036164531942,0.04140489979004789,0.3986175166311168,0.7322419927294604,0.7322419927294604,0.5835950760830231,1.3501049458632446,0.4074381209291962,0.1179315037342114
2,1.0037511830548889,0.006580982201113018,0.005668750086692074,0.004390655301307697,0.4513941134645673,0.002934073263825901,0.018637429818950942,0.014709721745918362,0.014709721745918362,1.0047559407927866,0.004755940792786622,0.9393799319407626,1.0229032875030462
3,0.04101250875071193,0.05588549835807974,0.05006512944699408,0.05114120545786456,1.0886504638694054,0.3475704501565568,0.6845222970271714,0.954337873725545,0.04566201903476724,0.4371431442115836,0.03230141203862835,0.6374417946974147,0.03230141203862835
4,0.04657824075707396,0.049796747481526606,0.05060025351225966,0.05348917546279656,1.0899809798812967,0.026972871281085695,0.0502568094454102,0.048989190969162745,0.048989190969162745,0.06975135385717134,0.05380980998814994,0.05380980998814994,0.004900209507203355
5,0.9342126443037928,0.024151856786380328,0.027969403678098703,0.03731409694271586,0.9462577765936617,0.009072880953604772,0.07964116225233657,0.03352172313333147,0.03352172313333147,0.012822479000159145,0.4113718554904341,0.4113718554904341,0.05429171685837776
6,1.09695068737596,0.9969649451766007,1.0165218361569892,1.0019610689661635,0.47064297777764474,0.37263073688405146,1.0560310462831137,1.276986532874209,2.2769865010012262,0.3849576214412159,0.33433154837124796,0.5104885035250748,0.5874504853399591
7,0.0017380165649482724,0.01280399749818566,0.0019399756946806982,0.0077845260062422185,1.1342662650765687,0.9888349880713186,0.025299045052065768,0.024487621471445023,0.024487621471445023,0.0069730801471352055,0.02743718270685084,0.03310435922819986,0.02743718270685084
8,0.005688785578302607,0.8965342519269783,0.902965636745093,0.9301542194193929,0.14078236863443086,0.13179895925446072,0.801308051651832,0.8021543257812018,0.8021543257812018,0.14969908826982178,0.04619451251596193,0.8065795343008604,0.014687729631060489
9,1.4495589701235048,0.30417483742359336,0.12230578716332047,0.33026800142598,1.4793044291799464,0.6342802058010942,0.6146549118504753,0.6114043887077378,0.6114043887077378,1.5426683745149863,0.6267326393034607,0.6267326393034607,0.6801718982649211
10,7.093419087829389e-05,0.004603257355449785,0.00573411772367064,0.004320403704727208,0.023415268622053363,0.0019422410830368536,0.003783253419104295,0.003783253419104295,0.003783253419104295,0.004320403704727208,0.004320403704727208,0.004320403704727208,0.004320403704727208
11,1.360442210207088,0.04745758540757082,0.1534452193458446,0.0054271995858604545,1.1103275302206936,0.13398070043901228,0.17860049706537198,0.185638097325331,0.185638097325331,0.23335104692224504,0.025242851592044636,0.23335104692224504,0.07415245207299104
12,0.0423912636926205,0.02358099107009977,0.019658401026841035,0.01982205539045451,0.08579712942133517,0.01663400222830729,0.0016758686954985232,0.014091457724962926,0.014091457724962926,0.000713232442749927,0.000713232442749927,0.000713232442749927,0.000713232442749927
13,0.013214606520702924,1.000311920178951,0.02175678257469827,0.015252704265397871,0.828793631238346,0.2833573730816497,0.00901354745418936,0.011928012015251514,0.011928012015251514,0.030349838133418936,0.596696660687228,0.030349838133418936,0.024791716059041846
14,0.0,0.0013471441365983125,0.0036594647185143794,0.004609253252589353,0.43414157651137164,0.00717937216380902,0.00013542733066026794,0.0013806715437524287,0.0013806715437524287,0.037967850199020416,0.019365324866931058,0.037967850199020416,0.03899413161586357
15,1.0626948785456363,0.02509487787945817,0.06063752046238206,0.027841546574793933,1.017288350712003,1.0538164600267308,0.05160239876998468,0.9539287344828615,0.04607126551713847,0.0482313766773931,0.4956903536486142,0.06992644777671204,0.8618182524465117
16,0.6589198006644806,0.9450820808710421,0.9381546929289305,0.9481407011647501,0.6471302749536614,0.02619098957508047,0.3347770694493159,0.3535512290163595,0.3535512290163595,0.09761079662642233,0.6780719051126377,0.056583528366367514,0.056583528366367514
17,1.1270071630096636,0.45724830753763135,0.46089757277475923,0.5064379930742854,0.727884731067801,0.7591419461704686,0.44869258237817605,0.4718800368962637,0.4718800368962637,0.0858940174888979,0.5713208446591398,0.44065179700693635,0.0858940174888979
18,0.0021863752368572985,0.004362835287821357,0.005140526558277857,0.0007804679881383639,1.049890829922851,0.015398327249900375,0.011584434807648706,0.011584434807648706,0.011584434807648706,0.023987437160803846,0.023987437160803846,0.023987437160803846,0.008557396591197882
19,1.9716894662672802e-05,0.030909457091478285,0.03817949227870337,0.008721399450186932,0.9327299394293883,0.9924385584168688,0.00802233881162522,0.006069442136521009,0.006069442136521009,0.0033755117572609166,0.0033755117572609166,0.0033755117572609166,0.0033755117572609166
20,0.09423556068115313,0.10566948126520805,0.11810658450343048,0.09089899093800814,0.823764881766599,0.30020508920895217,0.1244059229674388,0.11795724454332342,0.11795724454332342,0.15016379125816026,0.13224188326089786,0.13224188326089786,0.07710032906843707
21,0.014197641190715753,0.0065372869302667115,0.009184621363778681,0.010067983180208101,0.5527876371685829,0.29578223928172914,0.5787326081369966,0.9943105647978688,0.005689435202131175,0.011014549784443132,0.009449552775272504,0.011014549784443132,0.03020811294206977
22,0.02913480405302278,0.028173327815577617,0.037817047152823725,0.030096921488406383,1.11395380304625,0.2095318259377169,0.01865913383889786,1.0539921985095406,1.0539921985095406,0.618563452016096,0.07804440453396921,0.618563452016096,0.005288062098655104
23,0.09840033776527211,0.8767173074374859,0.8424149618838922,0.8556580210441842,0.1631454688466744,0.8874783151014833,0.8261491975880783,0.8255374115777732,0.8255374115777732,0.9219353015274189,0.9219353015274189,0.9725613745973867,0.9219353015274189
24,0.13980122241781967,0.9114597930995227,0.07747535889227306,0.10187287051563233,0.30556086924346826,0.22236744816936355,0.191261099069536,0.056010015618169415,0.9439899843818306,0.11169907219742023,0.048963316849457726,0.2816240736397327,0.21123474574833476
